APVA Memory Dynamics Study v0.1
============================================================================================================
Diagnostics
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Node count: 41

1. Memory Stream Reconstruction
Bar | StateAgeNode | NodeCategory | MemoryStrength | HalfLife | EntropyGrowth | ForecastConfidence
82 | RecoveryResolution_Age2 | Secondary Node | 0.2814 | 3.00 | 2.3364 | 0.4808
83 | RecoveryResolution_Age3 | Secondary Node | 0.2098 | 3.00 | 1.9592 | 0.5657
84 | ExhaustionPersistence_Age1 | Secondary Node | 0.1775 | 11.00 | 1.2226 | 0.0600
85 | RecoveryResolution_Age1 | Secondary Node | 0.2497 | 5.00 | 1.9626 | 0.2484
86 | RecoveryResolution_Age2 | Secondary Node | 0.2814 | 3.00 | 2.3364 | 0.4808
87 | RecoveryResolution_Age3 | Secondary Node | 0.2098 | 3.00 | 1.9592 | 0.5657
88 | CompressionProcessing_Age1 | Secondary Node | 0.2107 | 3.00 | 1.7972 | 0.2623
89 | CompressionProcessing_Age2 | Weak Node | 0.2038 | 3.00 | 1.6725 | 0.1754
90 | CompressionProcessing_Age3 | Secondary Node | 0.2152 | 3.00 | 1.7733 | 0.4179
91 | CompressionProcessing_Age4 | Weak Node | 0.2023 | 2.00 | 1.6005 | 0.2652
92 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 1.6504 | 0.4161
93 | NeutralProcessing_Age2 | Core Node | 0.2651 | 5.00 | 1.6844 | 0.3685
94 | NeutralProcessing_Age3 | Core Node | 0.3511 | 5.00 | 2.0830 | 0.6385
95 | NeutralProcessing_Age4 | Core Node | 0.3683 | 5.00 | 2.4809 | 0.8841
96 | RecoveryResolution_Age1 | Secondary Node | 0.2497 | 5.00 | 1.9626 | 0.2484
97 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 1.6504 | 0.4161
98 | CompressionProcessing_Age1 | Secondary Node | 0.2107 | 3.00 | 1.7972 | 0.2623
99 | ExhaustionPersistence_Age1 | Secondary Node | 0.1775 | 11.00 | 1.2226 | 0.0600
100 | ExhaustionPersistence_Age2 | Secondary Node | 0.2372 | 3.00 | 2.3244 | 0.5493
101 | ExhaustionPersistence_Age3 | Weak Node | 0.1959 | 2.00 | 2.0053 | 0.3077
102 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 1.6504 | 0.4161
103 | DestructiveRotation_Age1 | Weak Node | 0.1720 | 3.00 | 1.0910 | 0.0251
104 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 1.1466 | 0.1706
105 | ExhaustionPersistence_Age1 | Secondary Node | 0.1775 | 11.00 | 1.2226 | 0.0600
106 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 1.7484 | 0.2611
107 | DestructiveRotation_Age1 | Weak Node | 0.1720 | 3.00 | 1.0910 | 0.0251
108 | ExhaustionPersistence_Age1 | Secondary Node | 0.1775 | 11.00 | 1.2226 | 0.0600
109 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 1.7484 | 0.2611
110 | DestructiveRotation_Age1 | Weak Node | 0.1720 | 3.00 | 1.0910 | 0.0251
111 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 1.7484 | 0.2611
112 | CompressionProcessing_Age1 | Secondary Node | 0.2107 | 3.00 | 1.7972 | 0.2623
113 | CompressionProcessing_Age2 | Weak Node | 0.2038 | 3.00 | 1.6725 | 0.1754
114 | CompressionProcessing_Age3 | Secondary Node | 0.2152 | 3.00 | 1.7733 | 0.4179
115 | ExhaustionPersistence_Age1 | Secondary Node | 0.1775 | 11.00 | 1.2226 | 0.0600
116 | CompressionProcessing_Age1 | Secondary Node | 0.2107 | 3.00 | 1.7972 | 0.2623
117 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 1.6504 | 0.4161
118 | NeutralProcessing_Age2 | Core Node | 0.2651 | 5.00 | 1.6844 | 0.3685
119 | NeutralProcessing_Age3 | Core Node | 0.3511 | 5.00 | 2.0830 | 0.6385
120 | NeutralProcessing_Age4 | Core Node | 0.3683 | 5.00 | 2.4809 | 0.8841
121 | NeutralProcessing_Age5 | Core Node | 0.3132 | 5.00 | 2.1684 | 0.7500
122 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 1.5273 | 0.0955
123 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 1.1466 | 0.1706
124 | ConstructiveEmergence_Age1 | Weak Node | 0.2062 | 3.00 | 1.7277 | 0.1446
125 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 1.1466 | 0.1706
126 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 1.6504 | 0.4161
127 | NeutralProcessing_Age2 | Core Node | 0.2651 | 5.00 | 1.6844 | 0.3685
128 | NeutralProcessing_Age3 | Core Node | 0.3511 | 5.00 | 2.0830 | 0.6385
129 | NeutralProcessing_Age4 | Core Node | 0.3683 | 5.00 | 2.4809 | 0.8841
130 | NeutralProcessing_Age5 | Core Node | 0.3132 | 5.00 | 2.1684 | 0.7500
131 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 1.1466 | 0.1706
132 | ExhaustionPersistence_Age1 | Secondary Node | 0.1775 | 11.00 | 1.2226 | 0.0600
133 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 1.7484 | 0.2611
134 | DestructiveRotation_Age1 | Weak Node | 0.1720 | 3.00 | 1.0910 | 0.0251
135 | ExhaustionPersistence_Age1 | Secondary Node | 0.1775 | 11.00 | 1.2226 | 0.0600
136 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 1.7484 | 0.2611
137 | DestructiveRotation_Age1 | Weak Node | 0.1720 | 3.00 | 1.0910 | 0.0251
138 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 1.7484 | 0.2611
139 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 1.1466 | 0.1706
140 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 1.7484 | 0.2611
141 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 1.1466 | 0.1706
142 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 1.7484 | 0.2611
143 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 1.6504 | 0.4161
144 | NeutralProcessing_Age2 | Core Node | 0.2651 | 5.00 | 1.6844 | 0.3685
145 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 1.1466 | 0.1706
146 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 1.6504 | 0.4161
147 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 1.5273 | 0.0955
148 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 1.1466 | 0.1706
149 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 1.6504 | 0.4161
150 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 1.5273 | 0.0955
151 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 1.6504 | 0.4161
152 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 1.5273 | 0.0955
153 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 1.1466 | 0.1706
154 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 1.5273 | 0.0955
155 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 1.1466 | 0.1706
156 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 1.6504 | 0.4161
157 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 1.5273 | 0.0955
158 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 1.1466 | 0.1706
159 | ExhaustionPersistence_Age1 | Secondary Node | 0.1775 | 11.00 | 1.2226 | 0.0600
160 | RecoveryResolution_Age1 | Secondary Node | 0.2497 | 5.00 | 1.9626 | 0.2484
161 | RecoveryResolution_Age2 | Secondary Node | 0.2814 | 3.00 | 2.3364 | 0.4808
162 | RecoveryResolution_Age3 | Secondary Node | 0.2098 | 3.00 | 1.9592 | 0.5657
163 | RecoveryResolution_Age4 | Insufficient Node | 0.2431 | 3.00 | 2.2443 | 0.2500
164 | CompressionProcessing_Age1 | Secondary Node | 0.2107 | 3.00 | 1.7972 | 0.2623
165 | ExhaustionPersistence_Age1 | Secondary Node | 0.1775 | 11.00 | 1.2226 | 0.0600
166 | ExhaustionPersistence_Age2 | Secondary Node | 0.2372 | 3.00 | 2.3244 | 0.5493
167 | ExhaustionPersistence_Age3 | Weak Node | 0.1959 | 2.00 | 2.0053 | 0.3077
168 | ExhaustionPersistence_Age4 | Weak Node | 0.1838 | 2.00 | 1.3685 | 0.1818
169 | ExhaustionPersistence_Age5 | Weak Node | 0.1513 | 5.00 | 1.2532 | 0.0690
170 | ExhaustionPersistence_Age6-10 | Insufficient Node | 0.1782 | 3.00 | 1.5124 | 0.0690
171 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 1.7484 | 0.2611
172 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 1.6504 | 0.4161
173 | NeutralProcessing_Age2 | Core Node | 0.2651 | 5.00 | 1.6844 | 0.3685
174 | NeutralProcessing_Age3 | Core Node | 0.3511 | 5.00 | 2.0830 | 0.6385
175 | NeutralProcessing_Age4 | Core Node | 0.3683 | 5.00 | 2.4809 | 0.8841
176 | NeutralProcessing_Age5 | Core Node | 0.3132 | 5.00 | 2.1684 | 0.7500
177 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 1.7671 | 0.5680
178 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 1.7671 | 0.5680
179 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 1.1466 | 0.1706
180 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 1.6504 | 0.4161
181 | NeutralProcessing_Age2 | Core Node | 0.2651 | 5.00 | 1.6844 | 0.3685
182 | NeutralProcessing_Age3 | Core Node | 0.3511 | 5.00 | 2.0830 | 0.6385
183 | NeutralProcessing_Age4 | Core Node | 0.3683 | 5.00 | 2.4809 | 0.8841
184 | NeutralProcessing_Age5 | Core Node | 0.3132 | 5.00 | 2.1684 | 0.7500
185 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 1.7671 | 0.5680
186 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 1.7671 | 0.5680
187 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 1.7671 | 0.5680
188 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 1.7671 | 0.5680
189 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 1.7671 | 0.5680
190 | NeutralProcessing_Age11-20 | Secondary Node | 0.2868 | 5.00 | 2.0203 | 0.6633
191 | NeutralProcessing_Age11-20 | Secondary Node | 0.2868 | 5.00 | 2.0203 | 0.6633
192 | RecoveryResolution_Age1 | Secondary Node | 0.2497 | 5.00 | 1.9626 | 0.2484
193 | CompressionProcessing_Age1 | Secondary Node | 0.2107 | 3.00 | 1.7972 | 0.2623
194 | CompressionProcessing_Age2 | Weak Node | 0.2038 | 3.00 | 1.6725 | 0.1754
195 | CompressionProcessing_Age3 | Secondary Node | 0.2152 | 3.00 | 1.7733 | 0.4179
196 | CompressionProcessing_Age4 | Weak Node | 0.2023 | 2.00 | 1.6005 | 0.2652
197 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 1.5273 | 0.0955
198 | ReassertionProcessing_Age2 | Weak Node | 0.1927 | 3.00 | 1.8779 | 0.0253
199 | CompressionProcessing_Age1 | Secondary Node | 0.2107 | 3.00 | 1.7972 | 0.2623
200 | CompressionProcessing_Age2 | Weak Node | 0.2038 | 3.00 | 1.6725 | 0.1754
201 | CompressionProcessing_Age3 | Secondary Node | 0.2152 | 3.00 | 1.7733 | 0.4179
202 | CompressionProcessing_Age4 | Weak Node | 0.2023 | 2.00 | 1.6005 | 0.2652
203 | CompressionProcessing_Age5 | Weak Node | 0.1950 | 3.00 | 1.3643 | 0.1809
204 | CompressionProcessing_Age6-10 | Weak Node | 0.1905 | 2.00 | 1.4210 | 0.2308
205 | CompressionProcessing_Age6-10 | Weak Node | 0.1905 | 2.00 | 1.4210 | 0.2308
206 | CompressionProcessing_Age6-10 | Weak Node | 0.1905 | 2.00 | 1.4210 | 0.2308
207 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 1.6504 | 0.4161
208 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 1.5273 | 0.0955
209 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 1.6504 | 0.4161
210 | NeutralProcessing_Age2 | Core Node | 0.2651 | 5.00 | 1.6844 | 0.3685
211 | NeutralProcessing_Age3 | Core Node | 0.3511 | 5.00 | 2.0830 | 0.6385
212 | NeutralProcessing_Age4 | Core Node | 0.3683 | 5.00 | 2.4809 | 0.8841
213 | NeutralProcessing_Age5 | Core Node | 0.3132 | 5.00 | 2.1684 | 0.7500
214 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 1.7671 | 0.5680
215 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 1.7671 | 0.5680
216 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 1.7671 | 0.5680
217 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 1.5273 | 0.0955
218 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 1.6504 | 0.4161
219 | NeutralProcessing_Age2 | Core Node | 0.2651 | 5.00 | 1.6844 | 0.3685
220 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 1.5273 | 0.0955
221 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 1.6504 | 0.4161
222 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 1.5273 | 0.0955
223 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 1.1466 | 0.1706
224 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 1.5273 | 0.0955
225 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 1.1466 | 0.1706
226 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 1.7484 | 0.2611
227 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 1.1466 | 0.1706
228 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 1.7484 | 0.2611
229 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 1.1466 | 0.1706
230 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 1.5273 | 0.0955
231 | DestructiveRotation_Age1 | Weak Node | 0.1720 | 3.00 | 1.0910 | 0.0251
232 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 1.7484 | 0.2611
233 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 1.6504 | 0.4161
234 | NeutralProcessing_Age2 | Core Node | 0.2651 | 5.00 | 1.6844 | 0.3685
235 | NeutralProcessing_Age3 | Core Node | 0.3511 | 5.00 | 2.0830 | 0.6385
236 | NeutralProcessing_Age4 | Core Node | 0.3683 | 5.00 | 2.4809 | 0.8841
237 | NeutralProcessing_Age5 | Core Node | 0.3132 | 5.00 | 2.1684 | 0.7500
238 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 1.7671 | 0.5680
239 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 1.7671 | 0.5680
240 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 1.1466 | 0.1706
241 | MixedStructure_Age2 | Secondary Node | 0.1852 | 11.00 | 1.2246 | 0.0141
242 | RecoveryResolution_Age1 | Secondary Node | 0.2497 | 5.00 | 1.9626 | 0.2484
243 | CompressionProcessing_Age1 | Secondary Node | 0.2107 | 3.00 | 1.7972 | 0.2623
244 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 1.6504 | 0.4161
245 | CompressionProcessing_Age1 | Secondary Node | 0.2107 | 3.00 | 1.7972 | 0.2623
246 | CompressionProcessing_Age2 | Weak Node | 0.2038 | 3.00 | 1.6725 | 0.1754
247 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 1.6504 | 0.4161
248 | NeutralProcessing_Age2 | Core Node | 0.2651 | 5.00 | 1.6844 | 0.3685
249 | NeutralProcessing_Age3 | Core Node | 0.3511 | 5.00 | 2.0830 | 0.6385
250 | NeutralProcessing_Age4 | Core Node | 0.3683 | 5.00 | 2.4809 | 0.8841
251 | NeutralProcessing_Age5 | Core Node | 0.3132 | 5.00 | 2.1684 | 0.7500
252 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 1.7671 | 0.5680
253 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 1.7671 | 0.5680
254 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 1.7671 | 0.5680
255 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 1.7671 | 0.5680
256 | NeutralProcessing_Age6-10 | Core Node | 0.2232 | 3.00 | 1.7671 | 0.5680
257 | NeutralProcessing_Age11-20 | Secondary Node | 0.2868 | 5.00 | 2.0203 | 0.6633
258 | NeutralProcessing_Age11-20 | Secondary Node | 0.2868 | 5.00 | 2.0203 | 0.6633
259 | NeutralProcessing_Age11-20 | Secondary Node | 0.2868 | 5.00 | 2.0203 | 0.6633
260 | NeutralProcessing_Age11-20 | Secondary Node | 0.2868 | 5.00 | 2.0203 | 0.6633
261 | NeutralProcessing_Age11-20 | Secondary Node | 0.2868 | 5.00 | 2.0203 | 0.6633
262 | NeutralProcessing_Age11-20 | Secondary Node | 0.2868 | 5.00 | 2.0203 | 0.6633
263 | NeutralProcessing_Age11-20 | Secondary Node | 0.2868 | 5.00 | 2.0203 | 0.6633
264 | NeutralProcessing_Age11-20 | Secondary Node | 0.2868 | 5.00 | 2.0203 | 0.6633
265 | NeutralProcessing_Age11-20 | Secondary Node | 0.2868 | 5.00 | 2.0203 | 0.6633
266 | NeutralProcessing_Age11-20 | Secondary Node | 0.2868 | 5.00 | 2.0203 | 0.6633
267 | NeutralProcessing_Age21+ | Secondary Node | 0.3218 | 5.00 | 2.1309 | 0.6951
268 | NeutralProcessing_Age21+ | Secondary Node | 0.3218 | 5.00 | 2.1309 | 0.6951
269 | NeutralProcessing_Age21+ | Secondary Node | 0.3218 | 5.00 | 2.1309 | 0.6951
270 | NeutralProcessing_Age21+ | Secondary Node | 0.3218 | 5.00 | 2.1309 | 0.6951
271 | NeutralProcessing_Age21+ | Secondary Node | 0.3218 | 5.00 | 2.1309 | 0.6951
272 | NeutralProcessing_Age21+ | Secondary Node | 0.3218 | 5.00 | 2.1309 | 0.6951
273 | NeutralProcessing_Age21+ | Secondary Node | 0.3218 | 5.00 | 2.1309 | 0.6951
274 | NeutralProcessing_Age21+ | Secondary Node | 0.3218 | 5.00 | 2.1309 | 0.6951
275 | NeutralProcessing_Age21+ | Secondary Node | 0.3218 | 5.00 | 2.1309 | 0.6951
