APVA Age Transition Matrix Study v0.1 - 6E
================================================================

Rows: 35260
Sources:
  .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv

State x Age Counts
==================
RecoveryResolution           1          1079
RecoveryResolution           2           339
RecoveryResolution           3           251
RecoveryResolution           4            16
RecoveryResolution           5             6
RecoveryResolution           6-10          5
ExhaustionPersistence        1          1116
ExhaustionPersistence        2           304
ExhaustionPersistence        3           234
ExhaustionPersistence        4           143
ExhaustionPersistence        5            58
ExhaustionPersistence        6-10         29
CompressionProcessing        1          2928
CompressionProcessing        2          1659
CompressionProcessing        3           840
CompressionProcessing        4           528
CompressionProcessing        5           282
CompressionProcessing        6-10        247
CompressionProcessing        11-20         5
NeutralProcessing            1          5672
NeutralProcessing            2          3205
NeutralProcessing            3          1754
NeutralProcessing            4          1312
NeutralProcessing            5          1192
NeutralProcessing            6-10       2884
NeutralProcessing            11-20       891
NeutralProcessing            21+          82
ReassertionProcessing        1          1759
ReassertionProcessing        2           237
ReassertionProcessing        3            15
DecayToNeutral               1          1486
DestructiveRotation          1           836
DestructiveRotation          2           100
DestructiveRotation          3            11
DestructiveRotation          4             1
ConstructiveEmergence        1            83
MixedStructure               1          3265
MixedStructure               2           355
MixedStructure               3            42
MixedStructure               4             8
MixedStructure               5             1

Transition Matrix Lag 1
================================
State                        Age    NextState                           N       Prob       Lift
NeutralProcessing            2      CompressionProcessing             425     13.26%      0.721
DecayToNeutral               1      MixedStructure                    423     28.47%      2.735
NeutralProcessing            2      ReassertionProcessing             406     12.67%      2.221
MixedStructure               1      ExhaustionPersistence             399     12.22%      2.288
MixedStructure               1      MixedStructure                    355     10.88%      1.045
RecoveryResolution           1      RecoveryResolution                339     31.42%      6.532
MixedStructure               1      RecoveryResolution                307      9.41%      1.955
ExhaustionPersistence        1      ExhaustionPersistence             304     27.24%      5.098
CompressionProcessing        4      CompressionProcessing             282     53.41%      2.902
NeutralProcessing            6-10   MixedStructure                    278      9.64%      0.926
NeutralProcessing            6-10   ReassertionProcessing             263      9.12%      1.599
RecoveryResolution           2      RecoveryResolution                251     74.04%     15.393
DestructiveRotation          1      DecayToNeutral                    249     29.78%      7.067
ExhaustionPersistence        1      RecoveryResolution                237     21.24%      4.415
NeutralProcessing            1      DestructiveRotation               237      4.18%      1.554
ReassertionProcessing        1      ReassertionProcessing             237     13.47%      2.362
ExhaustionPersistence        2      ExhaustionPersistence             234     76.97%     14.406
DestructiveRotation          1      NeutralProcessing                 228     27.27%      0.566
ExhaustionPersistence        1      DecayToNeutral                    218     19.53%      4.635
NeutralProcessing            3      MixedStructure                    192     10.95%      1.052
CompressionProcessing        1      ExhaustionPersistence             181      6.18%      1.157
CompressionProcessing        3      NeutralProcessing                 177     21.07%      0.437
RecoveryResolution           3      CompressionProcessing             173     68.92%      3.745
ExhaustionPersistence        1      NeutralProcessing                 164     14.70%      0.305
ExhaustionPersistence        1      CompressionProcessing             145     12.99%      0.706
MixedStructure               1      ReassertionProcessing             144      4.41%      0.774
NeutralProcessing            3      ReassertionProcessing             144      8.21%      1.439
ExhaustionPersistence        3      ExhaustionPersistence             143     61.11%     11.437
CompressionProcessing        4      NeutralProcessing                 142     26.89%      0.558
NeutralProcessing            6-10   CompressionProcessing             134      4.65%      0.252
RecoveryResolution           1      NeutralProcessing                 133     12.33%      0.256
ReassertionProcessing        1      DestructiveRotation               128      7.28%      2.706
CompressionProcessing        5      CompressionProcessing             127     45.04%      2.447
DecayToNeutral               1      DestructiveRotation               127      8.55%      3.179
CompressionProcessing        1      RecoveryResolution                126      4.30%      0.895
CompressionProcessing        6-10   CompressionProcessing             123     49.80%      2.706
CompressionProcessing        2      ExhaustionPersistence             115      6.93%      1.297
MixedStructure               2      NeutralProcessing                 111     31.27%      0.649
ReassertionProcessing        2      DestructiveRotation               109     45.99%     17.106
MixedStructure               2      DecayToNeutral                    106     29.86%      7.085
ReassertionProcessing        2      NeutralProcessing                 103     43.46%      0.902
NeutralProcessing            3      CompressionProcessing             102      5.82%      0.316
DecayToNeutral               1      CompressionProcessing             100      6.73%      0.366
DestructiveRotation          1      DestructiveRotation               100     11.96%      4.449
ReassertionProcessing        1      CompressionProcessing              96      5.46%      0.297
DestructiveRotation          1      ExhaustionPersistence              95     11.36%      2.127
MixedStructure               1      CompressionProcessing              91      2.79%      0.151
RecoveryResolution           2      NeutralProcessing                  88     25.96%      0.539
NeutralProcessing            11-20  MixedStructure                     79      8.87%      0.852
CompressionProcessing        2      RecoveryResolution                 77      4.64%      0.965
CompressionProcessing        5      NeutralProcessing                  76     26.95%      0.559
NeutralProcessing            5      MixedStructure                     74      6.21%      0.596
ExhaustionPersistence        3      NeutralProcessing                  71     30.34%      0.630
ExhaustionPersistence        2      RecoveryResolution                 67     22.04%      4.582
MixedStructure               1      DestructiveRotation                67      2.05%      0.763
CompressionProcessing        3      ExhaustionPersistence              65      7.74%      1.448
NeutralProcessing            21+    NeutralProcessing                  64     78.05%      1.620
CompressionProcessing        6-10   NeutralProcessing                  63     25.51%      0.529
NeutralProcessing            11-20  ReassertionProcessing              61      6.85%      1.200
ExhaustionPersistence        4      ExhaustionPersistence              58     40.56%      7.591
NeutralProcessing            5      CompressionProcessing              57      4.78%      0.260
NeutralProcessing            5      ReassertionProcessing              56      4.70%      0.824
DestructiveRotation          1      ReassertionProcessing              51      6.10%      1.070
ExhaustionPersistence        1      DestructiveRotation                48      4.30%      1.600
NeutralProcessing            11-20  CompressionProcessing              46      5.16%      0.281
DestructiveRotation          2      DecayToNeutral                     45     45.00%     10.677
DestructiveRotation          1      RecoveryResolution                 43      5.14%      1.069
MixedStructure               2      ExhaustionPersistence              43     12.11%      2.267
DestructiveRotation          1      MixedStructure                     42      5.02%      0.483
MixedStructure               2      MixedStructure                     42     11.83%      1.137
CompressionProcessing        2      DecayToNeutral                     41      2.47%      0.586
NeutralProcessing            6-10   ExhaustionPersistence              41      1.42%      0.266
NeutralProcessing            2      DestructiveRotation                40      1.25%      0.464
ConstructiveEmergence        1      MixedStructure                     39     46.99%      4.514
CompressionProcessing        4      ExhaustionPersistence              35      6.63%      1.241
CompressionProcessing        3      RecoveryResolution                 34      4.05%      0.841
ExhaustionPersistence        4      DecayToNeutral                     32     22.38%      5.310
NeutralProcessing            4      MixedStructure                     32      2.44%      0.234
RecoveryResolution           3      ExhaustionPersistence              31     12.35%      2.311
RecoveryResolution           3      NeutralProcessing                  31     12.35%      0.256
CompressionProcessing        1      MixedStructure                     28      0.96%      0.092
ConstructiveEmergence        1      NeutralProcessing                  27     32.53%      0.675
MixedStructure               2      RecoveryResolution                 26      7.32%      1.523
NeutralProcessing            4      CompressionProcessing              26      1.98%      0.108
DestructiveRotation          1      CompressionProcessing              25      2.99%      0.162
CompressionProcessing        4      RecoveryResolution                 23      4.36%      0.906
ExhaustionPersistence        4      NeutralProcessing                  23     16.08%      0.334
NeutralProcessing            6-10   RecoveryResolution                 23      0.80%      0.166
CompressionProcessing        4      MixedStructure                     22      4.17%      0.400
CompressionProcessing        5      DecayToNeutral                     22      7.80%      1.851
CompressionProcessing        1      DestructiveRotation                21      0.72%      0.267
NeutralProcessing            4      ExhaustionPersistence              21      1.60%      0.300
NeutralProcessing            4      RecoveryResolution                 21      1.60%      0.333
CompressionProcessing        2      MixedStructure                     20      1.21%      0.116
MixedStructure               1      ConstructiveEmergence              20      0.61%      2.603
NeutralProcessing            1      ConstructiveEmergence              20      0.35%      1.498
NeutralProcessing            4      ReassertionProcessing              20      1.52%      0.267
NeutralProcessing            5      ExhaustionPersistence              20      1.68%      0.314
CompressionProcessing        1      ReassertionProcessing              19      0.65%      0.114
CompressionProcessing        4      DecayToNeutral                     19      3.60%      0.854
CompressionProcessing        5      ExhaustionPersistence              19      6.74%      1.261
DecayToNeutral               1      ReassertionProcessing              19      1.28%      0.224
ExhaustionPersistence        3      RecoveryResolution                 18      7.69%      1.599
ExhaustionPersistence        5      ExhaustionPersistence              18     31.03%      5.808
MixedStructure               2      ReassertionProcessing              18      5.07%      0.889
CompressionProcessing        3      MixedStructure                     17      2.02%      0.194
MixedStructure               3      DecayToNeutral                     17     40.48%      9.604
CompressionProcessing        6-10   ExhaustionPersistence              16      6.48%      1.212
CompressionProcessing        6-10   MixedStructure                     16      6.48%      0.622
RecoveryResolution           3      RecoveryResolution                 16      6.37%      1.325
DestructiveRotation          2      ExhaustionPersistence              15     15.00%      2.807
ReassertionProcessing        2      ReassertionProcessing              15      6.33%      1.110
CompressionProcessing        2      DestructiveRotation                14      0.84%      0.314
ExhaustionPersistence        4      CompressionProcessing              14      9.79%      0.532
ExhaustionPersistence        5      DecayToNeutral                     14     24.14%      5.727
NeutralProcessing            5      RecoveryResolution                 14      1.17%      0.244
ReassertionProcessing        3      DestructiveRotation                14     93.33%     34.714
CompressionProcessing        6-10   DecayToNeutral                     13      5.26%      1.249
CompressionProcessing        5      MixedStructure                     12      4.26%      0.409
CompressionProcessing        5      RecoveryResolution                 12      4.26%      0.885
CompressionProcessing        6-10   RecoveryResolution                 12      4.86%      1.010
CompressionProcessing        3      DecayToNeutral                     11      1.31%      0.311
ConstructiveEmergence        1      DecayToNeutral                     11     13.25%      3.145
DestructiveRotation          2      DestructiveRotation                11     11.00%      4.091
ExhaustionPersistence        4      RecoveryResolution                 11      7.69%      1.599
ExhaustionPersistence        6-10   ExhaustionPersistence              11     37.93%      7.099
DestructiveRotation          2      NeutralProcessing                  10     10.00%      0.208
ExhaustionPersistence        5      NeutralProcessing                  10     17.24%      0.358
ReassertionProcessing        1      ConstructiveEmergence              10      0.57%      2.415
ReassertionProcessing        2      CompressionProcessing              10      4.22%      0.229
RecoveryResolution           4      CompressionProcessing              10     62.50%      3.396
CompressionProcessing        5      DestructiveRotation                 9      3.19%      1.187
ExhaustionPersistence        6-10   DecayToNeutral                      9     31.03%      7.364
NeutralProcessing            11-20  RecoveryResolution                  9      1.01%      0.210
MixedStructure               3      ExhaustionPersistence               8     19.05%      3.565
MixedStructure               3      MixedStructure                      8     19.05%      1.830
NeutralProcessing            6-10   ConstructiveEmergence               8      0.28%      1.178
DestructiveRotation          3      DecayToNeutral                      7     63.64%     15.099
ExhaustionPersistence        5      CompressionProcessing               7     12.07%      0.656
MixedStructure               2      CompressionProcessing               7      1.97%      0.107
NeutralProcessing            11-20  ExhaustionPersistence               7      0.79%      0.147
NeutralProcessing            2      ConstructiveEmergence               7      0.22%      0.928
NeutralProcessing            21+    MixedStructure                      7      8.54%      0.820
ConstructiveEmergence        1      CompressionProcessing               6      7.23%      0.393
DecayToNeutral               1      ConstructiveEmergence               6      0.40%      1.715
DestructiveRotation          2      ReassertionProcessing               6      6.00%      1.052
DestructiveRotation          2      RecoveryResolution                  6      6.00%      1.247
ExhaustionPersistence        5      DestructiveRotation                 6     10.34%      3.848
NeutralProcessing            21+    ReassertionProcessing               6      7.32%      1.283
RecoveryResolution           4      RecoveryResolution                  6     37.50%      7.796
CompressionProcessing        3      ReassertionProcessing               5      0.60%      0.104
CompressionProcessing        5      ReassertionProcessing               5      1.77%      0.311
DestructiveRotation          2      MixedStructure                      5      5.00%      0.480
ExhaustionPersistence        4      DestructiveRotation                 5      3.50%      1.300
MixedStructure               3      RecoveryResolution                  5     11.90%      2.475
RecoveryResolution           5      RecoveryResolution                  5     83.33%     17.325
ExhaustionPersistence        6-10   NeutralProcessing                   4     13.79%      0.286
ExhaustionPersistence        6-10   RecoveryResolution                  4     13.79%      2.868
NeutralProcessing            21+    CompressionProcessing               4      4.88%      0.265
NeutralProcessing            3      ConstructiveEmergence               4      0.23%      0.969
CompressionProcessing        1      DecayToNeutral                      3      0.10%      0.024
CompressionProcessing        3      DestructiveRotation                 3      0.36%      0.133
CompressionProcessing        4      DestructiveRotation                 3      0.57%      0.211
DestructiveRotation          1      ConstructiveEmergence               3      0.36%      1.524
ExhaustionPersistence        2      NeutralProcessing                   3      0.99%      0.020
ExhaustionPersistence        5      RecoveryResolution                  3      5.17%      1.075
MixedStructure               3      NeutralProcessing                   3      7.14%      0.148
MixedStructure               4      DecayToNeutral                      3     37.50%      8.898
NeutralProcessing            5      ConstructiveEmergence               3      0.25%      1.069
RecoveryResolution           6-10   CompressionProcessing               3     60.00%      3.260
CompressionProcessing        11-20  CompressionProcessing               2     40.00%      2.173
CompressionProcessing        11-20  ExhaustionPersistence               2     40.00%      7.486
CompressionProcessing        2      ReassertionProcessing               2      0.12%      0.021
CompressionProcessing        4      ReassertionProcessing               2      0.38%      0.066
CompressionProcessing        6-10   DestructiveRotation                 2      0.81%      0.301
CompressionProcessing        6-10   ReassertionProcessing               2      0.81%      0.142
DestructiveRotation          2      CompressionProcessing               2      2.00%      0.109
DestructiveRotation          3      NeutralProcessing                   2     18.18%      0.377
ExhaustionPersistence        3      DecayToNeutral                      2      0.85%      0.203
MixedStructure               2      DestructiveRotation                 2      0.56%      0.210
MixedStructure               4      ExhaustionPersistence               2     25.00%      4.679
MixedStructure               4      NeutralProcessing                   2     25.00%      0.519
RecoveryResolution           6-10   NeutralProcessing                   2     40.00%      0.830
CompressionProcessing        11-20  RecoveryResolution                  1     20.00%      4.158
CompressionProcessing        2      ConstructiveEmergence               1      0.06%      0.256
DestructiveRotation          3      CompressionProcessing               1      9.09%      0.494
DestructiveRotation          3      DestructiveRotation                 1      9.09%      3.381
DestructiveRotation          4      DecayToNeutral                      1    100.00%     23.727
ExhaustionPersistence        6-10   CompressionProcessing               1      3.45%      0.187
MixedStructure               3      DestructiveRotation                 1      2.38%      0.886
MixedStructure               4      MixedStructure                      1     12.50%      1.201
MixedStructure               5      DecayToNeutral                      1    100.00%     23.727
NeutralProcessing            11-20  ConstructiveEmergence               1      0.11%      0.477
NeutralProcessing            21+    ExhaustionPersistence               1      1.22%      0.228
ReassertionProcessing        3      CompressionProcessing               1      6.67%      0.362
RecoveryResolution           5      NeutralProcessing                   1     16.67%      0.346

Transition Matrix Lag 2
================================
State                        Age    NextState                           N       Prob       Lift
NeutralProcessing            1      NeutralProcessing                2420     42.67%      0.885
NeutralProcessing            2      NeutralProcessing                2210     68.95%      1.431
NeutralProcessing            6-10   NeutralProcessing                1869     64.81%      1.345
NeutralProcessing            3      NeutralProcessing                1478     84.26%      1.748
MixedStructure               1      NeutralProcessing                1380     42.28%      0.877
CompressionProcessing        1      CompressionProcessing            1222     41.73%      2.268
CompressionProcessing        1      NeutralProcessing                1137     38.83%      0.806
NeutralProcessing            4      NeutralProcessing                1045     79.65%      1.653
NeutralProcessing            1      CompressionProcessing             980     17.28%      0.939
NeutralProcessing            1      MixedStructure                    926     16.33%      1.569
ReassertionProcessing        1      NeutralProcessing                 914     51.96%      1.078
CompressionProcessing        2      CompressionProcessing             832     50.15%      2.725
NeutralProcessing            5      NeutralProcessing                 827     69.38%      1.440
MixedStructure               1      MixedStructure                    685     20.99%      2.017
NeutralProcessing            11-20  NeutralProcessing                 595     66.78%      1.386
CompressionProcessing        2      NeutralProcessing                 499     30.08%      0.624
NeutralProcessing            1      ReassertionProcessing             480      8.46%      1.484
RecoveryResolution           1      CompressionProcessing             450     41.71%      2.266
MixedStructure               1      CompressionProcessing             446     13.66%      0.742
DecayToNeutral               1      NeutralProcessing                 431     29.02%      0.602
CompressionProcessing        3      CompressionProcessing             387     46.07%      2.503
NeutralProcessing            1      DecayToNeutral                    342      6.03%      1.431
DecayToNeutral               1      MixedStructure                    336     22.63%      2.174
NeutralProcessing            6-10   MixedStructure                    326     11.30%      1.086
ReassertionProcessing        1      ReassertionProcessing             307     17.45%      3.060
DestructiveRotation          1      NeutralProcessing                 306     36.60%      0.760
ExhaustionPersistence        1      RecoveryResolution                304     27.24%      5.663
RecoveryResolution           1      RecoveryResolution                291     26.97%      5.607
NeutralProcessing            2      MixedStructure                    281      8.77%      0.843
RecoveryResolution           1      NeutralProcessing                 281     26.04%      0.540
DecayToNeutral               1      DecayToNeutral                    277     18.65%      4.426
NeutralProcessing            2      CompressionProcessing             260      8.11%      0.441
ExhaustionPersistence        1      NeutralProcessing                 259     23.21%      0.482
CompressionProcessing        3      NeutralProcessing                 257     30.60%      0.635
NeutralProcessing            6-10   ReassertionProcessing             247      8.56%      1.502
MixedStructure               1      DecayToNeutral                    242      7.41%      1.759
ExhaustionPersistence        1      ExhaustionPersistence             234     20.97%      3.924
NeutralProcessing            2      ReassertionProcessing             233      7.27%      1.275
NeutralProcessing            1      ExhaustionPersistence             215      3.79%      0.709
RecoveryResolution           2      CompressionProcessing             210     61.95%      3.366
NeutralProcessing            6-10   CompressionProcessing             203      7.04%      0.382
ExhaustionPersistence        1      DestructiveRotation               190     17.03%      6.332
CompressionProcessing        4      CompressionProcessing             187     35.42%      1.924
CompressionProcessing        1      ExhaustionPersistence             182      6.22%      1.163
MixedStructure               1      ReassertionProcessing             182      5.58%      0.978
DecayToNeutral               1      CompressionProcessing             172     11.58%      0.629
CompressionProcessing        4      NeutralProcessing                 159     30.11%      0.625
NeutralProcessing            1      RecoveryResolution                152      2.68%      0.557
ReassertionProcessing        1      MixedStructure                    147      8.36%      0.803
RecoveryResolution           3      CompressionProcessing             146     58.17%      3.161
ExhaustionPersistence        2      ExhaustionPersistence             143     47.04%      8.803
NeutralProcessing            1      DestructiveRotation               142      2.50%      0.931
MixedStructure               1      ExhaustionPersistence             141      4.32%      0.808
ReassertionProcessing        1      CompressionProcessing             137      7.79%      0.423
MixedStructure               2      NeutralProcessing                 129     36.34%      0.754
NeutralProcessing            2      ExhaustionPersistence             123      3.84%      0.718
ReassertionProcessing        1      DestructiveRotation               120      6.82%      2.537
ReassertionProcessing        2      NeutralProcessing                 120     50.63%      1.051
CompressionProcessing        1      RecoveryResolution                118      4.03%      0.838
MixedStructure               1      RecoveryResolution                118      3.62%      0.752
DestructiveRotation          1      MixedStructure                    114     13.64%      1.310
CompressionProcessing        1      MixedStructure                    112      3.83%      0.368
NeutralProcessing            5      MixedStructure                    110      9.23%      0.887
CompressionProcessing        5      CompressionProcessing             108     38.30%      2.081
DestructiveRotation          1      CompressionProcessing             107     12.80%      0.695
CompressionProcessing        2      ExhaustionPersistence             102      6.15%      1.151
DecayToNeutral               1      DestructiveRotation                99      6.67%      2.479
ExhaustionPersistence        1      CompressionProcessing              97      8.69%      0.472
NeutralProcessing            6-10   ExhaustionPersistence              96      3.33%      0.623
NeutralProcessing            11-20  MixedStructure                     95     10.66%      1.025
CompressionProcessing        6-10   CompressionProcessing              93     37.65%      2.046
CompressionProcessing        5      NeutralProcessing                  88     31.21%      0.648
DestructiveRotation          1      DestructiveRotation                86     10.29%      3.826
NeutralProcessing            5      CompressionProcessing              86      7.21%      0.392
ExhaustionPersistence        2      RecoveryResolution                 85     27.96%      5.813
MixedStructure               2      MixedStructure                     84     23.66%      2.274
RecoveryResolution           2      NeutralProcessing                  82     24.19%      0.502
DestructiveRotation          1      DecayToNeutral                     81      9.69%      2.299
NeutralProcessing            5      ReassertionProcessing              81      6.80%      1.191
CompressionProcessing        2      MixedStructure                     78      4.70%      0.452
NeutralProcessing            4      MixedStructure                     78      5.95%      0.571
NeutralProcessing            2      RecoveryResolution                 76      2.37%      0.493
NeutralProcessing            3      MixedStructure                     74      4.22%      0.405
ExhaustionPersistence        2      NeutralProcessing                  73     24.01%      0.498
CompressionProcessing        6-10   NeutralProcessing                  71     28.74%      0.596
NeutralProcessing            11-20  CompressionProcessing              71      7.97%      0.433
NeutralProcessing            4      CompressionProcessing              68      5.18%      0.282
CompressionProcessing        2      RecoveryResolution                 66      3.98%      0.827
NeutralProcessing            6-10   RecoveryResolution                 66      2.29%      0.476
DestructiveRotation          1      ReassertionProcessing              65      7.78%      1.363
MixedStructure               1      DestructiveRotation                65      1.99%      0.741
NeutralProcessing            3      CompressionProcessing              65      3.71%      0.201
NeutralProcessing            11-20  ReassertionProcessing              62      6.96%      1.220
ExhaustionPersistence        3      NeutralProcessing                  61     26.07%      0.541
NeutralProcessing            21+    NeutralProcessing                  61     74.39%      1.544
RecoveryResolution           3      NeutralProcessing                  61     24.30%      0.504
DecayToNeutral               1      ReassertionProcessing              59      3.97%      0.697
CompressionProcessing        3      ExhaustionPersistence              58      6.90%      1.292
ExhaustionPersistence        3      ExhaustionPersistence              58     24.79%      4.639
NeutralProcessing            4      ReassertionProcessing              58      4.42%      0.775
RecoveryResolution           1      ExhaustionPersistence              57      5.28%      0.989
CompressionProcessing        1      DestructiveRotation                55      1.88%      0.699
DecayToNeutral               1      ExhaustionPersistence              55      3.70%      0.693
NeutralProcessing            6-10   DecayToNeutral                     55      1.91%      0.452
ReassertionProcessing        1      DecayToNeutral                     54      3.07%      0.728
CompressionProcessing        1      DecayToNeutral                     53      1.81%      0.429
MixedStructure               2      CompressionProcessing              53     14.93%      0.811
CompressionProcessing        4      MixedStructure                     51      9.66%      0.928
CompressionProcessing        3      MixedStructure                     49      5.83%      0.561
NeutralProcessing            3      ReassertionProcessing              48      2.74%      0.480
CompressionProcessing        1      ReassertionProcessing              46      1.57%      0.275
DestructiveRotation          1      ExhaustionPersistence              45      5.38%      1.007
ExhaustionPersistence        4      NeutralProcessing                  45     31.47%      0.653
ReassertionProcessing        2      ReassertionProcessing              45     18.99%      3.329
DecayToNeutral               1      RecoveryResolution                 44      2.96%      0.616
CompressionProcessing        4      DecayToNeutral                     43      8.14%      1.932
NeutralProcessing            3      ExhaustionPersistence              43      2.45%      0.459
NeutralProcessing            3      RecoveryResolution                 43      2.45%      0.510
MixedStructure               2      DecayToNeutral                     42     11.83%      2.807
CompressionProcessing        2      DecayToNeutral                     41      2.47%      0.586
ConstructiveEmergence        1      NeutralProcessing                  40     48.19%      1.000
ReassertionProcessing        1      ExhaustionPersistence              40      2.27%      0.426
CompressionProcessing        3      RecoveryResolution                 39      4.64%      0.965
NeutralProcessing            5      ExhaustionPersistence              37      3.10%      0.581
ReassertionProcessing        2      DestructiveRotation                37     15.61%      5.806
DestructiveRotation          2      NeutralProcessing                  34     34.00%      0.705
ExhaustionPersistence        1      DecayToNeutral                     32      2.87%      0.680
ExhaustionPersistence        3      DecayToNeutral                     32     13.68%      3.245
ExhaustionPersistence        3      DestructiveRotation                32     13.68%      5.086
NeutralProcessing            4      ExhaustionPersistence              32      2.44%      0.456
CompressionProcessing        4      ExhaustionPersistence              31      5.87%      1.099
RecoveryResolution           2      ExhaustionPersistence              31      9.14%      1.711
CompressionProcessing        3      DecayToNeutral                     30      3.57%      0.847
ReassertionProcessing        1      RecoveryResolution                 30      1.71%      0.355
DestructiveRotation          1      RecoveryResolution                 29      3.47%      0.721
ExhaustionPersistence        3      RecoveryResolution                 29     12.39%      2.576
CompressionProcessing        2      ReassertionProcessing              27      1.63%      0.285
CompressionProcessing        6-10   MixedStructure                     26     10.53%      1.012
NeutralProcessing            5      RecoveryResolution                 26      2.18%      0.453
NeutralProcessing            11-20  ExhaustionPersistence              25      2.81%      0.525
NeutralProcessing            4      RecoveryResolution                 25      1.91%      0.396
RecoveryResolution           3      ExhaustionPersistence              25      9.96%      1.864
CompressionProcessing        5      MixedStructure                     24      8.51%      0.818
CompressionProcessing        4      RecoveryResolution                 22      4.17%      0.866
CompressionProcessing        6-10   DecayToNeutral                     22      8.91%      2.113
ExhaustionPersistence        3      CompressionProcessing              22      9.40%      0.511
MixedStructure               2      ExhaustionPersistence              22      6.20%      1.160
ConstructiveEmergence        1      MixedStructure                     20     24.10%      2.316
ExhaustionPersistence        4      ExhaustionPersistence              20     13.99%      2.617
ExhaustionPersistence        4      CompressionProcessing              19     13.29%      0.722
ExhaustionPersistence        4      DecayToNeutral                     19     13.29%      3.153
NeutralProcessing            11-20  DecayToNeutral                     19      2.13%      0.506
NeutralProcessing            11-20  RecoveryResolution                 19      2.13%      0.443
RecoveryResolution           3      RecoveryResolution                 19      7.57%      1.574
CompressionProcessing        4      ReassertionProcessing              18      3.41%      0.598
CompressionProcessing        6-10   ExhaustionPersistence              18      7.29%      1.364
DestructiveRotation          2      DecayToNeutral                     18     18.00%      4.271
NeutralProcessing            5      DecayToNeutral                     18      1.51%      0.358
CompressionProcessing        5      DecayToNeutral                     16      5.67%      1.346
ExhaustionPersistence        5      NeutralProcessing                  16     27.59%      0.572
RecoveryResolution           2      RecoveryResolution                 16      4.72%      0.981
CompressionProcessing        4      DestructiveRotation                15      2.84%      1.057
ExhaustionPersistence        4      MixedStructure                     15     10.49%      1.008
MixedStructure               3      NeutralProcessing                  15     35.71%      0.741
NeutralProcessing            1      ConstructiveEmergence              15      0.26%      1.123
DestructiveRotation          2      MixedStructure                     14     14.00%      1.345
ExhaustionPersistence        4      RecoveryResolution                 14      9.79%      2.035
ReassertionProcessing        2      DecayToNeutral                     14      5.91%      1.402
CompressionProcessing        5      ExhaustionPersistence              13      4.61%      0.863
CompressionProcessing        5      ReassertionProcessing              13      4.61%      0.808
ExhaustionPersistence        6-10   NeutralProcessing                  13     44.83%      0.930
