APVA Information Decay Study v0.1 - Aggregate
============================================================================================================
Instruments: 6E, CL, NQ

Aggregate Half-Life Table
StateAgeNode | HalfLife_6E | HalfLife_CL | HalfLife_NQ | MeanHalfLife | ReplicationCount | ReplicationPercent
CompressionProcessing_Age1 | 3 | 2 | 3 | 2.67 | 3 | 100.00%
CompressionProcessing_Age11-20 | 2 | N/A | N/A | 2.00 | 1 | 33.33%
CompressionProcessing_Age2 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
CompressionProcessing_Age3 | 3 | 3 | 2 | 2.67 | 3 | 100.00%
CompressionProcessing_Age4 | 2 | 2 | 2 | 2.00 | 3 | 100.00%
CompressionProcessing_Age5 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
CompressionProcessing_Age6-10 | 2 | 2 | 2 | 2.00 | 3 | 100.00%
ConstructiveEmergence_Age1 | 3 | 2 | 2 | 2.33 | 3 | 100.00%
DecayToNeutral_Age1 | 5 | 2 | 3 | 3.33 | 3 | 100.00%
DestructiveRotation_Age1 | 3 | 3 | 5 | 3.67 | 3 | 100.00%
DestructiveRotation_Age2 | 3 | 2 | 5 | 3.33 | 3 | 100.00%
DestructiveRotation_Age3 | 2 | 3 | 3 | 2.67 | 3 | 100.00%
DestructiveRotation_Age4 | 2 | N/A | N/A | 2.00 | 1 | 33.33%
ExhaustionPersistence_Age1 | 10+ | 3 | 8 | 7.33 | 3 | 100.00%
ExhaustionPersistence_Age2 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
ExhaustionPersistence_Age3 | 2 | 2 | 3 | 2.33 | 3 | 100.00%
ExhaustionPersistence_Age4 | 2 | 2 | 3 | 2.33 | 3 | 100.00%
ExhaustionPersistence_Age5 | 5 | 3 | 2 | 3.33 | 3 | 100.00%
ExhaustionPersistence_Age6-10 | 3 | 2 | 2 | 2.33 | 3 | 100.00%
MixedStructure_Age1 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
MixedStructure_Age2 | 10+ | 5 | 10 | 8.67 | 3 | 100.00%
MixedStructure_Age3 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
MixedStructure_Age4 | 8 | 2 | 2 | 4.00 | 3 | 100.00%
MixedStructure_Age5 | 5 | N/A | N/A | 5.00 | 1 | 33.33%
NeutralProcessing_Age1 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
NeutralProcessing_Age11-20 | 5 | 3 | 3 | 3.67 | 3 | 100.00%
NeutralProcessing_Age2 | 5 | 5 | 5 | 5.00 | 3 | 100.00%
NeutralProcessing_Age21+ | 5 | N/A | N/A | 5.00 | 1 | 33.33%
NeutralProcessing_Age3 | 5 | 5 | 5 | 5.00 | 3 | 100.00%
NeutralProcessing_Age4 | 5 | 5 | 5 | 5.00 | 3 | 100.00%
NeutralProcessing_Age5 | 5 | 3 | 3 | 3.67 | 3 | 100.00%
NeutralProcessing_Age6-10 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
ReassertionProcessing_Age1 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
ReassertionProcessing_Age2 | 3 | 2 | 2 | 2.33 | 3 | 100.00%
ReassertionProcessing_Age3 | 2 | 2 | 2 | 2.00 | 3 | 100.00%
RecoveryResolution_Age1 | 5 | 5 | 5 | 5.00 | 3 | 100.00%
RecoveryResolution_Age2 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
RecoveryResolution_Age3 | 3 | 3 | 2 | 2.67 | 3 | 100.00%
RecoveryResolution_Age4 | 3 | 5 | N/A | 4.00 | 2 | 66.67%
RecoveryResolution_Age5 | 3 | N/A | N/A | 3.00 | 1 | 33.33%
RecoveryResolution_Age6-10 | 2 | N/A | N/A | 2.00 | 1 | 33.33%

Aggregate Memory Strength Table
StateAgeNode | MemoryStrength_6E | MemoryStrength_CL | MemoryStrength_NQ | MeanMemoryStrength
CompressionProcessing_Age5 | 0.1516 | 0.1724 | 0.1860 | 0.1700
CompressionProcessing_Age6-10 | 0.1579 | 0.1840 | 0.2321 | 0.1913
ConstructiveEmergence_Age1 | 0.1920 | 0.2021 | 0.2311 | 0.2084
DecayToNeutral_Age1 | 0.1943 | 0.2098 | 0.2228 | 0.2090
DestructiveRotation_Age1 | 0.1212 | 0.1413 | 0.1239 | 0.1288
DestructiveRotation_Age2 | 0.1358 | 0.1411 | 0.1663 | 0.1477
DestructiveRotation_Age3 | 0.2078 | 0.3225 | 0.2673 | 0.2659
DestructiveRotation_Age4 | 0.3225 | N/A | N/A | 0.3225
ExhaustionPersistence_Age1 | 0.1358 | 0.1509 | 0.1463 | 0.1443
ExhaustionPersistence_Age2 | 0.2583 | 0.2409 | 0.2609 | 0.2534
ExhaustionPersistence_Age3 | 0.2228 | 0.2613 | 0.2668 | 0.2503
ExhaustionPersistence_Age4 | 0.1521 | 0.1624 | 0.1803 | 0.1649
ExhaustionPersistence_Age5 | 0.1392 | 0.1564 | 0.2276 | 0.1744
ExhaustionPersistence_Age6-10 | 0.1680 | 0.2521 | 0.1755 | 0.1985
MixedStructure_Age1 | 0.1274 | 0.1313 | 0.1282 | 0.1290
MixedStructure_Age2 | 0.1361 | 0.1390 | 0.1462 | 0.1404
MixedStructure_Age3 | 0.1530 | 0.2045 | 0.2077 | 0.1884
MixedStructure_Age4 | 0.1761 | 0.3216 | 0.2464 | 0.2480
MixedStructure_Age5 | 0.3225 | N/A | N/A | 0.3225
NeutralProcessing_Age1 | 0.1834 | 0.1822 | 0.1862 | 0.1839
NeutralProcessing_Age11-20 | 0.2245 | 0.1996 | 0.2055 | 0.2098
NeutralProcessing_Age2 | 0.1872 | 0.1880 | 0.2077 | 0.1943
NeutralProcessing_Age21+ | 0.2368 | N/A | N/A | 0.2368
NeutralProcessing_Age3 | 0.2314 | 0.2340 | 0.2369 | 0.2341
NeutralProcessing_Age4 | 0.2757 | 0.2714 | 0.3057 | 0.2843
NeutralProcessing_Age5 | 0.2409 | 0.2392 | 0.2719 | 0.2507
NeutralProcessing_Age6-10 | 0.1963 | 0.1906 | 0.1886 | 0.1919
ReassertionProcessing_Age1 | 0.1697 | 0.1702 | 0.1761 | 0.1720
ReassertionProcessing_Age2 | 0.2087 | 0.2210 | 0.2183 | 0.2160
ReassertionProcessing_Age3 | 0.2953 | 0.3220 | 0.3231 | 0.3135
RecoveryResolution_Age1 | 0.2181 | 0.2163 | 0.2179 | 0.2174
RecoveryResolution_Age2 | 0.2596 | 0.2557 | 0.2566 | 0.2573
RecoveryResolution_Age3 | 0.2177 | 0.2105 | 0.2666 | 0.2316
RecoveryResolution_Age4 | 0.2494 | 0.3225 | N/A | 0.2859
RecoveryResolution_Age5 | 0.2730 | N/A | N/A | 0.2730
RecoveryResolution_Age6-10 | 0.2484 | N/A | N/A | 0.2484

Aggregate State Memory Table
State | MeanHalfLife | MeanMemoryStrength | MeanEntropyGrowth | ReplicationCount
RecoveryResolution | 3.46 | 0.2589 | 2.2238 | 3
ExhaustionPersistence | 3.44 | 0.2083 | 1.7788 | 3
CompressionProcessing | 2.53 | 0.2047 | 1.6708 | 3
NeutralProcessing | 4.09 | 0.2836 | 1.9979 | 3
ReassertionProcessing | 2.44 | 0.1957 | 2.1044 | 3
DecayToNeutral | 3.33 | 0.2160 | 1.8806 | 3
DestructiveRotation | 3.10 | 0.1999 | 1.7547 | 3
ConstructiveEmergence | 2.33 | 0.1834 | 1.8756 | 3
MixedStructure | 4.69 | 0.2123 | 1.6891 | 3

Aggregate Age Effect Table
State | AgeBucket | MeanHalfLife | MeanMemoryStrength | MeanEntropyGrowth
CompressionProcessing | 1 | 2.67 | 0.2023 | 1.7776
CompressionProcessing | 11-20 | 2.00 | 0.2556 | 1.8555
CompressionProcessing | 2 | 3.00 | 0.2106 | 1.7003
CompressionProcessing | 3 | 2.67 | 0.2227 | 1.7245
CompressionProcessing | 4 | 2.00 | 0.1969 | 1.5087
CompressionProcessing | 5 | 3.00 | 0.2000 | 1.5301
CompressionProcessing | 6-10 | 2.00 | 0.1787 | 1.7221
ConstructiveEmergence | 1 | 2.33 | 0.1834 | 1.8756
DecayToNeutral | 1 | 3.33 | 0.2160 | 1.8806
DestructiveRotation | 1 | 3.67 | 0.1766 | 1.1592
DestructiveRotation | 2 | 3.33 | 0.2547 | 1.3296
DestructiveRotation | 3 | 2.67 | 0.2165 | 2.3927
DestructiveRotation | 4 | 2.00 | 0.0556 | 2.9024
ExhaustionPersistence | 1 | 7.33 | 0.1885 | 1.2991
ExhaustionPersistence | 2 | 3.00 | 0.2871 | 2.2804
ExhaustionPersistence | 3 | 2.33 | 0.1808 | 2.2527
ExhaustionPersistence | 4 | 2.33 | 0.2194 | 1.4841
ExhaustionPersistence | 5 | 3.33 | 0.1971 | 1.5700
ExhaustionPersistence | 6-10 | 2.33 | 0.1767 | 1.7867
MixedStructure | 1 | 3.00 | 0.1832 | 1.1607
MixedStructure | 2 | 8.67 | 0.1846 | 1.2639
MixedStructure | 3 | 3.00 | 0.2374 | 1.6953
MixedStructure | 4 | 4.00 | 0.2037 | 2.2321
MixedStructure | 5 | 5.00 | 0.3333 | 2.9024
NeutralProcessing | 1 | 3.00 | 0.2236 | 1.6554
NeutralProcessing | 11-20 | 3.67 | 0.2299 | 1.8886
NeutralProcessing | 2 | 5.00 | 0.2782 | 1.7486
NeutralProcessing | 21+ | 5.00 | 0.3218 | 2.1309
NeutralProcessing | 3 | 5.00 | 0.3553 | 2.1072
NeutralProcessing | 4 | 5.00 | 0.3557 | 2.5584
NeutralProcessing | 5 | 3.67 | 0.3173 | 2.2559
NeutralProcessing | 6-10 | 3.00 | 0.2124 | 1.7267
ReassertionProcessing | 1 | 3.00 | 0.1843 | 1.5479
ReassertionProcessing | 2 | 2.33 | 0.2029 | 1.9441
ReassertionProcessing | 3 | 2.00 | 0.2000 | 2.8211
RecoveryResolution | 1 | 5.00 | 0.2354 | 1.9568
RecoveryResolution | 2 | 3.00 | 0.2995 | 2.3158
RecoveryResolution | 3 | 2.67 | 0.2332 | 2.0844
RecoveryResolution | 4 | 4.00 | 0.2882 | 2.5732
RecoveryResolution | 5 | 3.00 | 0.2407 | 2.4569
RecoveryResolution | 6-10 | 2.00 | 0.2444 | 2.2353

Aggregate Young/Middle/Late Table
Zone | MeanHalfLife | MeanMemoryStrength | MeanEntropyGrowth
Young | 3.85 | 0.2194 | 1.6810
Middle | 3.17 | 0.2386 | 2.0864
Late | 2.80 | 0.2143 | 1.8396

Aggregate Correlation Table
Metric | Correlation
MemoryStrength vs Top1Accuracy | 0.3254
MemoryStrength vs Top3Accuracy | 0.2978
MemoryStrength vs EntropyGrowth | 0.3030

Aggregate Outcome Table
StateAgeNode | Count_6E | Skew_6E | MeanDR_6E | Count_CL | Skew_CL | MeanDR_CL | Count_NQ | Skew_NQ | MeanDR_NQ | ValidInstrumentCount | MeanSkew | MeanDR
CompressionProcessing_Age1 | 2631 | -1.56% | -0.0000 | 174 | -8.62% | -0.0170 | 87 | 1.15% | 2.2040 | 3 | -3.01% | 0.7290
CompressionProcessing_Age11-20 | 5 | -20.00% | -0.0001 | 0 | N/A | N/A | 0 | N/A | N/A | 1 | -20.00% | -0.0001
CompressionProcessing_Age2 | 1493 | -6.23% | -0.0000 | 89 | -14.61% | 0.0138 | 51 | -9.80% | -7.0784 | 3 | -10.21% | -2.3549
CompressionProcessing_Age3 | 763 | -4.59% | -0.0000 | 41 | 26.83% | 0.4024 | 30 | 10.00% | -11.9833 | 3 | 10.75% | -3.8603
CompressionProcessing_Age4 | 489 | -2.45% | 0.0000 | 22 | -31.82% | -0.0500 | 18 | 0.00% | 9.3056 | 3 | -11.42% | 3.0852
CompressionProcessing_Age5 | 260 | -1.15% | 0.0000 | 12 | -50.00% | -0.2667 | 8 | -50.00% | 6.4062 | 3 | -33.72% | 2.0465
CompressionProcessing_Age6-10 | 229 | -9.61% | -0.0000 | 6 | -66.67% | -0.3833 | 9 | -33.33% | -9.8333 | 3 | -36.54% | -3.4056
ConstructiveEmergence_Age1 | 82 | 4.88% | -0.0000 | 12 | 16.67% | 0.0033 | 14 | 28.57% | 0.3036 | 3 | 16.71% | 0.1023
DecayToNeutral_Age1 | 1265 | 1.03% | -0.0000 | 101 | 6.93% | -0.2027 | 84 | -13.10% | -13.4464 | 3 | -1.71% | -4.5497
DestructiveRotation_Age1 | 789 | -2.92% | -0.0000 | 70 | 5.71% | -0.2867 | 63 | -3.17% | -6.5833 | 3 | -0.13% | -2.2900
DestructiveRotation_Age2 | 99 | -5.05% | -0.0000 | 12 | 16.67% | 1.0292 | 11 | -27.27% | -19.8409 | 3 | -5.22% | -6.2706
DestructiveRotation_Age3 | 10 | -10.00% | 0.0000 | 1 | 100.00% | 3.4500 | 5 | -20.00% | -29.8000 | 3 | 23.33% | -8.7833
DestructiveRotation_Age4 | 1 | -100.00% | -0.0002 | 0 | N/A | N/A | 0 | N/A | N/A | 1 | -100.00% | -0.0002
ExhaustionPersistence_Age1 | 1106 | 1.08% | -0.0000 | 97 | -19.59% | -0.4397 | 51 | -7.84% | -2.5490 | 3 | -8.78% | -0.9962
ExhaustionPersistence_Age2 | 299 | -10.03% | -0.0001 | 31 | -16.13% | -0.1013 | 19 | -47.37% | -25.0658 | 3 | -24.51% | -8.3890
ExhaustionPersistence_Age3 | 215 | -7.44% | -0.0000 | 21 | 4.76% | 0.0957 | 14 | -28.57% | -39.6250 | 3 | -10.42% | -13.1764
ExhaustionPersistence_Age4 | 138 | -14.49% | -0.0001 | 16 | 12.50% | -0.0475 | 11 | -45.45% | -17.0909 | 3 | -15.82% | -5.7128
ExhaustionPersistence_Age5 | 55 | 3.64% | 0.0000 | 8 | 25.00% | -0.0525 | 6 | 33.33% | -25.7500 | 3 | 20.66% | -8.6008
ExhaustionPersistence_Age6-10 | 28 | -28.57% | -0.0002 | 3 | -33.33% | -0.3133 | 6 | 0.00% | -46.9167 | 3 | -20.63% | -15.7434
MixedStructure_Age1 | 3153 | -2.03% | -0.0000 | 278 | -5.04% | -0.0392 | 183 | -12.57% | -11.4809 | 3 | -6.54% | -3.8400
MixedStructure_Age2 | 341 | -3.52% | -0.0000 | 27 | 3.70% | 0.1215 | 27 | -14.81% | 1.2778 | 3 | -4.88% | 0.4664
MixedStructure_Age3 | 42 | 0.00% | -0.0000 | 5 | 100.00% | 0.4900 | 4 | 0.00% | 19.1250 | 3 | 33.33% | 6.5383
MixedStructure_Age4 | 8 | 50.00% | 0.0002 | 2 | 0.00% | 0.3550 | 2 | 0.00% | -35.1250 | 3 | 16.67% | -11.5899
MixedStructure_Age5 | 1 | 100.00% | 0.0001 | 0 | N/A | N/A | 0 | N/A | N/A | 1 | 100.00% | 0.0001
NeutralProcessing_Age1 | 4710 | -2.95% | -0.0000 | 430 | 3.02% | 0.0650 | 297 | 6.73% | 0.0135 | 3 | 2.27% | 0.0261
NeutralProcessing_Age11-20 | 718 | 0.97% | -0.0000 | 27 | 7.41% | 0.0289 | 37 | 2.70% | -4.4122 | 3 | 3.70% | -1.4611
NeutralProcessing_Age2 | 2657 | -1.20% | -0.0000 | 245 | -7.76% | -0.0778 | 173 | 8.67% | -1.3656 | 3 | -0.10% | -0.4811
NeutralProcessing_Age21+ | 68 | -2.94% | -0.0000 | 0 | N/A | N/A | 0 | N/A | N/A | 1 | -2.94% | -0.0000
NeutralProcessing_Age3 | 1422 | 3.94% | 0.0000 | 134 | 9.70% | 0.2383 | 111 | 6.31% | 12.1869 | 3 | 6.65% | 4.1417
NeutralProcessing_Age4 | 1101 | -3.27% | -0.0000 | 104 | 32.69% | 0.1437 | 82 | -2.44% | -6.0488 | 3 | 8.99% | -1.9683
NeutralProcessing_Age5 | 1037 | -3.76% | -0.0000 | 95 | -21.05% | -0.1906 | 79 | 6.33% | -1.7722 | 3 | -6.16% | -0.6543
NeutralProcessing_Age6-10 | 2443 | -3.27% | -0.0000 | 202 | -3.96% | -0.1011 | 188 | -3.19% | -0.7660 | 3 | -3.48% | -0.2890
ReassertionProcessing_Age1 | 1732 | -1.39% | 0.0000 | 174 | -0.57% | 0.0202 | 147 | -6.80% | -2.8554 | 3 | -2.92% | -0.9451
ReassertionProcessing_Age2 | 235 | -6.38% | -0.0001 | 32 | -6.25% | -0.0816 | 31 | -22.58% | -14.4435 | 3 | -11.74% | -4.8417
ReassertionProcessing_Age3 | 15 | 13.33% | -0.0000 | 1 | 100.00% | 0.5500 | 1 | -100.00% | -21.7500 | 3 | 4.44% | -7.0667
RecoveryResolution_Age1 | 900 | -4.89% | -0.0000 | 90 | 6.67% | 0.3534 | 45 | 24.44% | 17.3667 | 3 | 8.74% | 5.9067
RecoveryResolution_Age2 | 303 | -11.22% | -0.0000 | 37 | -8.11% | -0.1741 | 13 | 23.08% | -3.9615 | 3 | 1.25% | -1.3785
RecoveryResolution_Age3 | 235 | -2.98% | 0.0000 | 27 | 3.70% | 0.3607 | 9 | 33.33% | 5.0000 | 3 | 11.35% | 1.7869
RecoveryResolution_Age4 | 14 | 42.86% | 0.0002 | 1 | -100.00% | -0.2200 | 0 | N/A | N/A | 2 | -28.57% | -0.1099
RecoveryResolution_Age5 | 6 | 33.33% | -0.0001 | 0 | N/A | N/A | 0 | N/A | N/A | 1 | 33.33% | -0.0001
RecoveryResolution_Age6-10 | 4 | 0.00% | 0.0001 | 0 | N/A | N/A | 0 | N/A | N/A | 1 | 0.00% | 0.0001

Aggregate Information Decay Recommendation
Classification: Moderate Memory Model
Reason: MeanHalfLife=3.42 bars; MeanMemoryStrength=0.2269; MeanEntropyGrowth=1.8758; CrossInstrumentReplication=3 instruments.

Aggregate Rankings

1. Longest-memory nodes
MixedStructure_Age2 | MeanHalfLife=8.67 | ReplicationCount=3
ExhaustionPersistence_Age1 | MeanHalfLife=7.33 | ReplicationCount=3
MixedStructure_Age5 | MeanHalfLife=5.00 | ReplicationCount=1
NeutralProcessing_Age2 | MeanHalfLife=5.00 | ReplicationCount=3
NeutralProcessing_Age21+ | MeanHalfLife=5.00 | ReplicationCount=1
NeutralProcessing_Age3 | MeanHalfLife=5.00 | ReplicationCount=3
NeutralProcessing_Age4 | MeanHalfLife=5.00 | ReplicationCount=3
RecoveryResolution_Age1 | MeanHalfLife=5.00 | ReplicationCount=3
MixedStructure_Age4 | MeanHalfLife=4.00 | ReplicationCount=3
RecoveryResolution_Age4 | MeanHalfLife=4.00 | ReplicationCount=2
DestructiveRotation_Age1 | MeanHalfLife=3.67 | ReplicationCount=3
NeutralProcessing_Age11-20 | MeanHalfLife=3.67 | ReplicationCount=3
NeutralProcessing_Age5 | MeanHalfLife=3.67 | ReplicationCount=3
DecayToNeutral_Age1 | MeanHalfLife=3.33 | ReplicationCount=3
DestructiveRotation_Age2 | MeanHalfLife=3.33 | ReplicationCount=3
ExhaustionPersistence_Age5 | MeanHalfLife=3.33 | ReplicationCount=3
CompressionProcessing_Age2 | MeanHalfLife=3.00 | ReplicationCount=3
CompressionProcessing_Age5 | MeanHalfLife=3.00 | ReplicationCount=3
ExhaustionPersistence_Age2 | MeanHalfLife=3.00 | ReplicationCount=3
MixedStructure_Age1 | MeanHalfLife=3.00 | ReplicationCount=3

2. Shortest-memory nodes
CompressionProcessing_Age11-20 | MeanHalfLife=2.00 | ReplicationCount=1
CompressionProcessing_Age4 | MeanHalfLife=2.00 | ReplicationCount=3
CompressionProcessing_Age6-10 | MeanHalfLife=2.00 | ReplicationCount=3
DestructiveRotation_Age4 | MeanHalfLife=2.00 | ReplicationCount=1
ReassertionProcessing_Age3 | MeanHalfLife=2.00 | ReplicationCount=3
RecoveryResolution_Age6-10 | MeanHalfLife=2.00 | ReplicationCount=1
ConstructiveEmergence_Age1 | MeanHalfLife=2.33 | ReplicationCount=3
ExhaustionPersistence_Age3 | MeanHalfLife=2.33 | ReplicationCount=3
ExhaustionPersistence_Age4 | MeanHalfLife=2.33 | ReplicationCount=3
ExhaustionPersistence_Age6-10 | MeanHalfLife=2.33 | ReplicationCount=3
ReassertionProcessing_Age2 | MeanHalfLife=2.33 | ReplicationCount=3
CompressionProcessing_Age1 | MeanHalfLife=2.67 | ReplicationCount=3
