BarIndex,Time,Quadruplet,TrajectoryCluster,Archetype,ExpectancyFamily,Count,ConditionalProbability,FinalTransition,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct,DominantNextArchetype,RegimeMigrationProbability,IsSelfLoopDominant,Implication,ActionBias,SoftArchetype,SoftVoteSimilarity,SoftMeanDistance,NearestNeighbor,NearestNeighborArchetype,Implication_Soft,ActionBias_Soft,ResolvedArchetype,ResolvedActionBias,ResolvedImplication
3134,2026-05-22 12:45:00,Balance->Unresolved->Unresolved->Balance,1,Unstable Rotational Balance,ImmediateFailure,2,12.5,Unresolved->Balance,1.63,63.16,0.0,Stable Compression Basin,0.5158730158730159,0,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.,Avoid directional commitment; wait for cleaner incubation or release.,,,,,,,,Unstable Rotational Balance,Avoid directional commitment; wait for cleaner incubation or release.,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.
3135,2026-05-22 12:50:00,Unresolved->Unresolved->Balance->Balance,1,Unstable Rotational Balance,RotationalChurn,5,33.33,Balance->Balance,0.0,0.0,0.0,Stable Compression Basin,0.5158730158730159,0,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.,Avoid directional commitment; wait for cleaner incubation or release.,,,,,,,,Unstable Rotational Balance,Avoid directional commitment; wait for cleaner incubation or release.,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.
3136,2026-05-22 12:55:00,Unresolved->Balance->Balance->Balance,1,Unstable Rotational Balance,RotationalChurn,2,28.57,Balance->Balance,0.0,0.0,0.0,Stable Compression Basin,0.5158730158730159,0,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.,Avoid directional commitment; wait for cleaner incubation or release.,,,,,,,,Unstable Rotational Balance,Avoid directional commitment; wait for cleaner incubation or release.,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.
3137,2026-05-22 13:00:00,Balance->Balance->Balance->Unresolved,1,Unstable Rotational Balance,PersistentNonDirectional,1,20.0,Balance->Unresolved,7.26,21.05,0.0,Stable Compression Basin,0.5158730158730159,0,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.,Avoid directional commitment; wait for cleaner incubation or release.,,,,,,,,Unstable Rotational Balance,Avoid directional commitment; wait for cleaner incubation or release.,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.
3138,2026-05-22 13:05:00,Balance->Balance->Unresolved->Unresolved,2,Stable Compression Basin,RotationalChurn,5,83.33,Unresolved->Unresolved,0.0,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
3139,2026-05-22 13:10:00,Balance->Unresolved->Unresolved->Balance,1,Unstable Rotational Balance,ImmediateFailure,2,12.5,Unresolved->Balance,1.63,63.16,0.0,Stable Compression Basin,0.5158730158730159,0,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.,Avoid directional commitment; wait for cleaner incubation or release.,,,,,,,,Unstable Rotational Balance,Avoid directional commitment; wait for cleaner incubation or release.,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.
3140,2026-05-22 13:15:00,Unresolved->Unresolved->Balance->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,10,66.67,Balance->Unresolved,7.26,21.05,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
3141,2026-05-22 13:20:00,Unresolved->Balance->Unresolved->Unresolved,2,Stable Compression Basin,RotationalChurn,10,83.33,Unresolved->Unresolved,0.0,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
3142,2026-05-22 13:25:00,Balance->Unresolved->Unresolved->Unresolved,2,Stable Compression Basin,RotationalChurn,14,87.5,Unresolved->Unresolved,0.0,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
3143,2026-05-22 13:30:00,Unresolved->Unresolved->Unresolved->Balance,1,Unstable Rotational Balance,ImmediateFailure,10,4.81,Unresolved->Balance,1.63,63.16,0.0,Stable Compression Basin,0.5158730158730159,0,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.,Avoid directional commitment; wait for cleaner incubation or release.,,,,,,,,Unstable Rotational Balance,Avoid directional commitment; wait for cleaner incubation or release.,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.
3144,2026-05-22 13:35:00,Unresolved->Unresolved->Balance->Balance,1,Unstable Rotational Balance,RotationalChurn,5,33.33,Balance->Balance,0.0,0.0,0.0,Stable Compression Basin,0.5158730158730159,0,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.,Avoid directional commitment; wait for cleaner incubation or release.,,,,,,,,Unstable Rotational Balance,Avoid directional commitment; wait for cleaner incubation or release.,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.
3145,2026-05-22 13:40:00,Unresolved->Balance->Balance->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,5,71.43,Balance->Unresolved,7.26,21.05,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
3146,2026-05-22 13:45:00,Balance->Balance->Unresolved->Directional,-1,Unknown,Unknown,0,0.0,Unresolved->Directional,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Directional Continuation / Sponsor Release,1.0563965120411174,3.7427318868405863,Directional->Unresolved->Unresolved->Directional,Directional Continuation / Sponsor Release,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.,Directional Continuation / Sponsor Release,Continuation favored while degradation remains contained.,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored."
3147,2026-05-22 13:50:00,Balance->Unresolved->Directional->Directional,-1,Unknown,Unknown,0,0.0,Directional->Directional,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Directional Continuation / Sponsor Release,1.223123047271905,3.1117234953132686,Directional->Unresolved->Unresolved->Directional,Directional Continuation / Sponsor Release,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.,Directional Continuation / Sponsor Release,Continuation favored while degradation remains contained.,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored."
3148,2026-05-22 13:55:00,Unresolved->Directional->Directional->Balance,-1,Unknown,Unknown,0,0.0,Directional->Balance,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Directional Continuation / Sponsor Release,0.5702555349350542,4.26210744521597,Directional->Unresolved->Unresolved->Directional,Directional Continuation / Sponsor Release,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.,Directional Continuation / Sponsor Release,Continuation favored while degradation remains contained.,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored."
