Quadruplet,SoftArchetype,SoftVoteSimilarity,SoftMeanDistance,SoftNeighborCount,NearestNeighbor,NearestNeighborArchetype,NearestNeighborDistance,Implication,ActionBias
Unresolved->Degrading->Balance->Balance,Fragile Rotational Churn,1.4726370511699405,2.523537438003938,5,Unresolved->Degrading->Degrading->Balance,Fragile Rotational Churn,1.4157120298435264,,
Degrading->Balance->Balance->Degrading,Degradation / Exhaustion Collapse,1.8772189713715874,1.790547271208889,5,Balance->Degrading->Balance->Degrading,Degradation / Exhaustion Collapse,1.2074058531701624,,
Balance->Balance->Degrading->Unresolved,Persistent Non-Directional Compression,1.725533065580205,1.9956718751510016,5,Balance->Degrading->Degrading->Unresolved,Persistent Non-Directional Compression,1.415712029843527,,
Unresolved->Directional->Directional->Unresolved,Persistent Non-Directional Compression,0.6619663695850895,3.536834113471547,3,Directional->Directional->Unresolved->Unresolved,Persistent Non-Directional Compression,3.3303396564919483,,
Directional->Unresolved->Unresolved->Degrading,Degradation / Exhaustion Collapse,1.7670820924958603,1.8635967752437756,5,Degrading->Unresolved->Unresolved->Degrading,Degradation / Exhaustion Collapse,1.3926317059025064,,
Unresolved->Directional->Degrading->Directional,Directional Continuation / Sponsor Release,1.2337200930456027,3.15200475519761,5,Directional->Degrading->Unresolved->Directional,Directional Continuation / Sponsor Release,2.0639824575091845,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.
Directional->Degrading->Unresolved->Balance,Fragile Rotational Churn,1.1657177522791982,3.3018702393823625,5,Degrading->Degrading->Unresolved->Balance,Fragile Rotational Churn,3.026353409791989,,
Unresolved->Unresolved->Balance->Degrading,Persistent Non-Directional Compression,0.7084443248400449,3.2393547763665946,3,Balance->Unresolved->Degrading->Degrading,Degradation / Exhaustion Collapse,2.480486827741057,,
Unresolved->Balance->Degrading->Unresolved,Persistent Non-Directional Compression,2.1322801005473866,2.028491639348219,5,Degrading->Unresolved->Balance->Unresolved,Persistent Non-Directional Compression,0.0,,
Balance->Unresolved->Unresolved->Degrading,Degradation / Exhaustion Collapse,1.609957018989182,2.2773720825785553,5,Balance->Unresolved->Degrading->Degrading,Degradation / Exhaustion Collapse,1.3757875263612591,,
Degrading->Degrading->Balance->Balance,Fragile Rotational Churn,1.4806791268744854,2.5792654228945775,5,Degrading->Degrading->Degrading->Balance,Fragile Rotational Churn,1.4157120298435257,,
Unresolved->Balance->Balance->Degrading,Degradation / Exhaustion Collapse,1.3515070201562955,2.7512974903790264,5,Balance->Balance->Unresolved->Degrading,Degradation / Exhaustion Collapse,2.0639824575091863,,
Balance->Degrading->Unresolved->Balance,Fragile Rotational Churn,1.5771800284536948,2.207692972875413,5,Degrading->Degrading->Unresolved->Balance,Fragile Rotational Churn,1.8606637110754993,,
Directional->Degrading->Degrading->Balance,Fragile Rotational Churn,1.5669948143692891,2.5123456200902026,5,Degrading->Directional->Degrading->Balance,Fragile Rotational Churn,1.2074058531701617,,
Balance->Balance->Degrading->Degrading,Degradation / Exhaustion Collapse,1.6418663693431716,2.1580815391474326,5,Balance->Balance->Balance->Degrading,Degradation / Exhaustion Collapse,1.4157120298435257,,
Balance->Degrading->Degrading->Degrading,Degradation / Exhaustion Collapse,1.7186335161528101,2.100891351589245,5,Degrading->Degrading->Balance->Degrading,Degradation / Exhaustion Collapse,1.2074058531701624,,
Degrading->Directional->Directional->Degrading,Degradation / Exhaustion Collapse,1.955864293549061,1.5976256080082794,5,Directional->Directional->Degrading->Degrading,Degradation / Exhaustion Collapse,1.2074058531701617,,
Directional->Degrading->Degrading->Unresolved,Persistent Non-Directional Compression,1.8189803580709876,1.912922647591839,5,Degrading->Directional->Degrading->Unresolved,Persistent Non-Directional Compression,1.2074058531701646,,
Balance->Unresolved->Balance->Degrading,Degradation / Exhaustion Collapse,0.8323139823980993,2.6119026941315693,3,Balance->Balance->Unresolved->Degrading,Degradation / Exhaustion Collapse,2.3912031446899764,,
Unresolved->Balance->Degrading->Balance,Fragile Rotational Churn,2.3884102038074837,1.5691573203660218,5,Degrading->Balance->Unresolved->Balance,Fragile Rotational Churn,0.0,,
Balance->Degrading->Balance->Unresolved,Persistent Non-Directional Compression,1.7562948233347062,1.8909473543288442,5,Balance->Unresolved->Balance->Unresolved,Persistent Non-Directional Compression,1.3757875263612598,,
Unresolved->Degrading->Unresolved->Balance,Fragile Rotational Churn,1.6410689931283267,2.1665631345284018,5,Degrading->Unresolved->Unresolved->Balance,Fragile Rotational Churn,1.207405853170164,,
Directional->Degrading->Balance->Balance,Fragile Rotational Churn,1.4484639415311873,2.6930425287283257,5,Directional->Directional->Degrading->Balance,Fragile Rotational Churn,1.450137679159606,,
Degrading->Balance->Balance->Balance,Fragile Rotational Churn,1.4723181764456892,2.592696704210933,5,Balance->Balance->Degrading->Balance,Fragile Rotational Churn,1.2074058531701601,,
Unresolved->Directional->Degrading->Balance,Degradation / Exhaustion Collapse,0.6103594923577883,3.9151415304671016,3,Degrading->Directional->Degrading->Balance,Fragile Rotational Churn,3.39501467611328,,
Degrading->Unresolved->Unresolved->Directional,Directional Continuation / Sponsor Release,1.480609789925591,2.492382190697731,5,Degrading->Unresolved->Directional->Directional,Directional Continuation / Sponsor Release,1.4111874626590033,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.
Degrading->Unresolved->Balance->Degrading,Degradation / Exhaustion Collapse,1.5800727052803425,2.3309678165782386,5,Balance->Unresolved->Degrading->Degrading,Degradation / Exhaustion Collapse,1.207405853170164,,
Unresolved->Balance->Degrading->Degrading,Degradation / Exhaustion Collapse,1.4103612732438602,2.570450403058197,5,Balance->Unresolved->Degrading->Degrading,Degradation / Exhaustion Collapse,2.0639824575091863,,
Unresolved->Balance->Unresolved->Degrading,Degradation / Exhaustion Collapse,1.2259012046963145,2.3342114072256193,4,Balance->Unresolved->Degrading->Degrading,Degradation / Exhaustion Collapse,1.8304699429274445,,
Unresolved->Degrading->Degrading->Directional,Directional Continuation / Sponsor Release,1.4052427817743862,2.746312569388903,5,Unresolved->Unresolved->Degrading->Directional,Directional Continuation / Sponsor Release,1.3757875263612598,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.
Unresolved->Directional->Directional->Balance,Directional Continuation / Sponsor Release,0.5702555349350542,4.26210744521597,3,Directional->Unresolved->Unresolved->Directional,Directional Continuation / Sponsor Release,4.145471844537636,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.
Directional->Directional->Balance->Unresolved,Persistent Non-Directional Compression,1.3748877152192935,2.6429735599059443,5,Degrading->Balance->Unresolved->Unresolved,Persistent Non-Directional Compression,2.4431444755500142,,
Directional->Balance->Unresolved->Degrading,Degradation / Exhaustion Collapse,1.1803761605761403,2.5076622500985613,4,Balance->Unresolved->Degrading->Degrading,Degradation / Exhaustion Collapse,1.84316357455178,,
Balance->Unresolved->Degrading->Unresolved,Persistent Non-Directional Compression,2.1322801005473866,2.028491639348219,5,Degrading->Unresolved->Balance->Unresolved,Persistent Non-Directional Compression,0.0,,
Directional->Degrading->Directional->Directional,Directional Continuation / Sponsor Release,1.7249326150820843,2.3958174532054115,4,Directional->Directional->Degrading->Directional,Directional Continuation / Sponsor Release,0.0,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.
Directional->Directional->Balance->Degrading,Degradation / Exhaustion Collapse,1.2914155835354424,2.8759015777538712,5,Balance->Degrading->Balance->Degrading,Degradation / Exhaustion Collapse,2.7455842832505755,,
Directional->Balance->Degrading->Directional,Directional Continuation / Sponsor Release,1.2249206226779927,3.0998910206533723,5,Degrading->Degrading->Directional->Directional,Directional Continuation / Sponsor Release,2.799206339040044,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.
Balance->Degrading->Directional->Degrading,Degradation / Exhaustion Collapse,2.240630997158756,1.855158105111333,5,Directional->Degrading->Balance->Degrading,Degradation / Exhaustion Collapse,0.0,,
Directional->Directional->Unresolved->Degrading,Degradation / Exhaustion Collapse,1.3556791140643027,2.692819307719934,5,Degrading->Unresolved->Unresolved->Degrading,Degradation / Exhaustion Collapse,2.4431444755500142,,
Directional->Unresolved->Degrading->Balance,Fragile Rotational Churn,1.3112857092220993,2.9149293597069494,5,Unresolved->Degrading->Degrading->Balance,Fragile Rotational Churn,1.8431635745517805,,
Unresolved->Degrading->Balance->Degrading,Degradation / Exhaustion Collapse,1.7425043159392564,1.908622433716421,5,Unresolved->Degrading->Unresolved->Degrading,Degradation / Exhaustion Collapse,1.433969155151087,,
Directional->Balance->Degrading->Unresolved,Persistent Non-Directional Compression,1.752939103160971,1.8854436543510815,5,Degrading->Balance->Degrading->Unresolved,Persistent Non-Directional Compression,1.3926317059025066,,
Degrading->Directional->Degrading->Degrading,Degradation / Exhaustion Collapse,1.7720780773147133,1.902627248759807,5,Directional->Degrading->Degrading->Degrading,Degradation / Exhaustion Collapse,1.2074058531701624,,
Degrading->Degrading->Directional->Degrading,Degradation / Exhaustion Collapse,1.7720780773147133,1.902627248759807,5,Directional->Degrading->Degrading->Degrading,Degradation / Exhaustion Collapse,1.2074058531701624,,
Directional->Balance->Degrading->Balance,Fragile Rotational Churn,1.3715322233051475,2.705537634239453,5,Balance->Balance->Degrading->Balance,Fragile Rotational Churn,1.8869891845975115,,
Balance->Degrading->Balance->Balance,Fragile Rotational Churn,2.0256047176169663,2.3248466422090077,5,Balance->Balance->Degrading->Balance,Fragile Rotational Churn,0.0,,
Degrading->Balance->Balance->Unresolved,Persistent Non-Directional Compression,1.9523176816851429,1.577281719442152,5,Unresolved->Balance->Balance->Unresolved,Persistent Non-Directional Compression,1.3757875263612585,,
Balance->Unresolved->Degrading->Balance,Fragile Rotational Churn,1.5771800284536948,2.207692972875413,5,Degrading->Degrading->Unresolved->Balance,Fragile Rotational Churn,1.8606637110754993,,
Degrading->Unresolved->Degrading->Balance,Fragile Rotational Churn,1.2147299648557934,2.526074399039622,4,Unresolved->Degrading->Degrading->Balance,Fragile Rotational Churn,1.207405853170164,,
Unresolved->Directional->Balance->Degrading,Degradation / Exhaustion Collapse,1.151038278787616,3.3844074482391404,5,Unresolved->Directional->Degrading->Degrading,Degradation / Exhaustion Collapse,3.0370433721167625,,
Degrading->Balance->Degrading->Balance,Fragile Rotational Churn,1.4124186097834472,2.5836170657382995,5,Balance->Balance->Degrading->Balance,Fragile Rotational Churn,1.8606637110754989,,
Balance->Balance->Unresolved->Directional,Directional Continuation / Sponsor Release,1.0563965120411174,3.7427318868405863,5,Directional->Unresolved->Unresolved->Directional,Directional Continuation / Sponsor Release,3.3970172668037786,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.
Balance->Unresolved->Directional->Directional,Directional Continuation / Sponsor Release,1.223123047271905,3.1117234953132686,5,Directional->Unresolved->Unresolved->Directional,Directional Continuation / Sponsor Release,2.696128752631711,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.
