BarIndex,Time,Quadruplet,TrajectoryCluster,Archetype,ExpectancyFamily,Count,ConditionalProbability,FinalTransition,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct,DominantNextArchetype,RegimeMigrationProbability,IsSelfLoopDominant,Implication,ActionBias,SoftArchetype,SoftVoteSimilarity,SoftMeanDistance,NearestNeighbor,NearestNeighborArchetype,Implication_Soft,ActionBias_Soft,ResolvedArchetype,ResolvedActionBias,ResolvedImplication
22,2026-04-06 08:25:00,Degrading->Unresolved->Unresolved->Balance,1,Unstable Rotational Balance,ImmediateFailure,3,25.0,Unresolved->Balance,1.63,63.16,0.0,Stable Compression Basin,0.5158730158730159,0,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.,Avoid directional commitment; wait for cleaner incubation or release.,,,,,,,,Unstable Rotational Balance,Avoid directional commitment; wait for cleaner incubation or release.,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.
23,2026-04-06 08:30:00,Unresolved->Unresolved->Balance->Balance,1,Unstable Rotational Balance,RotationalChurn,5,33.33,Balance->Balance,0.0,0.0,0.0,Stable Compression Basin,0.5158730158730159,0,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.,Avoid directional commitment; wait for cleaner incubation or release.,,,,,,,,Unstable Rotational Balance,Avoid directional commitment; wait for cleaner incubation or release.,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.
24,2026-04-06 08:35:00,Unresolved->Balance->Balance->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,5,71.43,Balance->Unresolved,7.26,21.05,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
25,2026-04-06 08:40:00,Balance->Balance->Unresolved->Balance,-1,Unknown,Unknown,0,0.0,Unresolved->Balance,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Fragile Rotational Churn,2.5613166435820744,1.2753262113996509,Balance->Unresolved->Balance->Balance,Fragile Rotational Churn,,,Fragile Rotational Churn,,
26,2026-04-06 08:45:00,Balance->Unresolved->Balance->Balance,1,Unstable Rotational Balance,RotationalChurn,2,66.67,Balance->Balance,0.0,0.0,0.0,Stable Compression Basin,0.5158730158730159,0,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.,Avoid directional commitment; wait for cleaner incubation or release.,,,,,,,,Unstable Rotational Balance,Avoid directional commitment; wait for cleaner incubation or release.,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.
27,2026-04-06 08:50:00,Unresolved->Balance->Balance->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,5,71.43,Balance->Unresolved,7.26,21.05,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
28,2026-04-06 08:55:00,Balance->Balance->Unresolved->Unresolved,2,Stable Compression Basin,RotationalChurn,5,83.33,Unresolved->Unresolved,0.0,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
29,2026-04-06 09:00:00,Balance->Unresolved->Unresolved->Directional,-1,Unknown,Unknown,0,0.0,Unresolved->Directional,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Directional Continuation / Sponsor Release,1.2077828730143465,3.173803839651587,Directional->Unresolved->Unresolved->Directional,Directional Continuation / Sponsor Release,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.,Directional Continuation / Sponsor Release,Continuation favored while degradation remains contained.,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored."
30,2026-04-06 09:05:00,Unresolved->Unresolved->Directional->Balance,-1,Unknown,Unknown,0,0.0,Directional->Balance,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Fragile Rotational Churn,0.7629684997081081,4.243724445381762,Balance->Unresolved->Unresolved->Balance,Fragile Rotational Churn,,,Fragile Rotational Churn,,
31,2026-04-06 09:10:00,Unresolved->Directional->Balance->Unresolved,-1,Unknown,Unknown,0,0.0,Balance->Unresolved,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Persistent Non-Directional Compression,1.091931775461084,3.5803901199831047,Balance->Unresolved->Balance->Unresolved,Persistent Non-Directional Compression,,,Persistent Non-Directional Compression,,
32,2026-04-06 09:15:00,Directional->Balance->Unresolved->Balance,-1,Unknown,Unknown,0,0.0,Unresolved->Balance,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Fragile Rotational Churn,1.7924262978914278,1.8689905091589984,Degrading->Balance->Unresolved->Balance,Fragile Rotational Churn,,,Fragile Rotational Churn,,
33,2026-04-06 09:20:00,Balance->Unresolved->Balance->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,1,33.33,Balance->Unresolved,7.26,21.05,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
34,2026-04-06 09:25:00,Unresolved->Balance->Unresolved->Balance,1,Unstable Rotational Balance,ImmediateFailure,2,16.67,Unresolved->Balance,1.63,63.16,0.0,Stable Compression Basin,0.5158730158730159,0,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.,Avoid directional commitment; wait for cleaner incubation or release.,,,,,,,,Unstable Rotational Balance,Avoid directional commitment; wait for cleaner incubation or release.,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.
35,2026-04-06 09:30:00,Balance->Unresolved->Balance->Balance,1,Unstable Rotational Balance,RotationalChurn,2,66.67,Balance->Balance,0.0,0.0,0.0,Stable Compression Basin,0.5158730158730159,0,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.,Avoid directional commitment; wait for cleaner incubation or release.,,,,,,,,Unstable Rotational Balance,Avoid directional commitment; wait for cleaner incubation or release.,Auction is rotating unstably. Balance is present but fragile. Expect churn and false resolution attempts.
36,2026-04-06 09:35:00,Unresolved->Balance->Balance->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,5,71.43,Balance->Unresolved,7.26,21.05,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
37,2026-04-06 09:40:00,Balance->Balance->Unresolved->Unresolved,2,Stable Compression Basin,RotationalChurn,5,83.33,Unresolved->Unresolved,0.0,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
38,2026-04-06 09:45:00,Balance->Unresolved->Unresolved->Unresolved,2,Stable Compression Basin,RotationalChurn,14,87.5,Unresolved->Unresolved,0.0,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
39,2026-04-06 09:50:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
40,2026-04-06 09:55:00,Unresolved->Unresolved->Unresolved->Degrading,0,Sponsor Exhaustion Collapse,ImmediateFailure,5,2.4,Unresolved->Degrading,1.82,63.64,0.0,Sponsor Exhaustion Collapse,0.4884393063583815,1,Sponsor structure is deteriorating. Expect degradation persistence or exhaustion behavior. Avoid treating directional movement as durable.,Avoid continuation entries; monitor for failed breakout or exhaustion.,,,,,,,,Sponsor Exhaustion Collapse,Avoid continuation entries; monitor for failed breakout or exhaustion.,Sponsor structure is deteriorating. Expect degradation persistence or exhaustion behavior. Avoid treating directional movement as durable.
41,2026-04-06 10:00:00,Unresolved->Unresolved->Degrading->Balance,-1,Unknown,Unknown,0,0.0,Degrading->Balance,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Fragile Rotational Churn,1.2262061656256016,2.42809500160611,Unresolved->Degrading->Degrading->Balance,Fragile Rotational Churn,,,Fragile Rotational Churn,,
42,2026-04-06 10:05:00,Unresolved->Degrading->Balance->Unresolved,-1,Unknown,Unknown,0,0.0,Balance->Unresolved,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Persistent Non-Directional Compression,2.1322801005473866,2.028491639348219,Degrading->Unresolved->Balance->Unresolved,Persistent Non-Directional Compression,,,Persistent Non-Directional Compression,,
43,2026-04-06 10:10:00,Degrading->Balance->Unresolved->Unresolved,2,Stable Compression Basin,RotationalChurn,1,50.0,Unresolved->Unresolved,0.0,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
44,2026-04-06 10:15:00,Balance->Unresolved->Unresolved->Unresolved,2,Stable Compression Basin,RotationalChurn,14,87.5,Unresolved->Unresolved,0.0,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
45,2026-04-06 10:20:00,Unresolved->Unresolved->Unresolved->Degrading,0,Sponsor Exhaustion Collapse,ImmediateFailure,5,2.4,Unresolved->Degrading,1.82,63.64,0.0,Sponsor Exhaustion Collapse,0.4884393063583815,1,Sponsor structure is deteriorating. Expect degradation persistence or exhaustion behavior. Avoid treating directional movement as durable.,Avoid continuation entries; monitor for failed breakout or exhaustion.,,,,,,,,Sponsor Exhaustion Collapse,Avoid continuation entries; monitor for failed breakout or exhaustion.,Sponsor structure is deteriorating. Expect degradation persistence or exhaustion behavior. Avoid treating directional movement as durable.
46,2026-04-06 10:25:00,Unresolved->Unresolved->Degrading->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,4,57.14,Degrading->Unresolved,5.53,29.41,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
47,2026-04-06 10:30:00,Unresolved->Degrading->Unresolved->Unresolved,2,Stable Compression Basin,DegradationCycle,5,83.33,Unresolved->Unresolved,0.0,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
48,2026-04-06 10:35:00,Degrading->Unresolved->Unresolved->Degrading,0,Sponsor Exhaustion Collapse,ImmediateFailure,2,16.67,Unresolved->Degrading,1.82,63.64,0.0,Sponsor Exhaustion Collapse,0.4884393063583815,1,Sponsor structure is deteriorating. Expect degradation persistence or exhaustion behavior. Avoid treating directional movement as durable.,Avoid continuation entries; monitor for failed breakout or exhaustion.,,,,,,,,Sponsor Exhaustion Collapse,Avoid continuation entries; monitor for failed breakout or exhaustion.,Sponsor structure is deteriorating. Expect degradation persistence or exhaustion behavior. Avoid treating directional movement as durable.
49,2026-04-06 10:40:00,Unresolved->Unresolved->Degrading->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,4,57.14,Degrading->Unresolved,5.53,29.41,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
50,2026-04-06 10:45:00,Unresolved->Degrading->Unresolved->Unresolved,2,Stable Compression Basin,DegradationCycle,5,83.33,Unresolved->Unresolved,0.0,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
51,2026-04-06 10:50:00,Degrading->Unresolved->Unresolved->Unresolved,2,Stable Compression Basin,DegradationCycle,7,58.33,Unresolved->Unresolved,0.0,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
52,2026-04-06 10:55:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
53,2026-04-06 11:00:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
54,2026-04-06 11:05:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
55,2026-04-06 11:10:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
56,2026-04-06 11:15:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
57,2026-04-06 11:20:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
58,2026-04-06 11:25:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
