APVA Transition Context Matrix Study v0.1 - Aggregate
Research only. No trades, entries/exits, optimization, fitting, or machine learning.
Instruments: 6E, CL, NQ

Aggregate Baseline Table
CurrentState | AgeBucket | Horizon | NextState | Count_6E | Prob_6E | Lift_6E | Count_CL | Prob_CL | Lift_CL | Count_NQ | Prob_NQ | Lift_NQ | ValidInstrumentCount | MeanProbability | MeanLift
CompressionProcessing | 1 | t+3 | CompressionProcessing | 1247 | 42.59% | 2.3140 | 62 | 35.23% | 2.6984 | 33 | 37.08% | 3.4854 | 3 | 38.30% | 2.8326
CompressionProcessing | 1 | t+3 | ConstructiveEmergence | 5 | 0.17% | 0.7254 | 0 | N/A | N/A | 1 | 1.12% | 1.5465 | 2 | 0.65% | 1.1360
CompressionProcessing | 1 | t+3 | DecayToNeutral | 103 | 3.52% | 0.8346 | 5 | 2.84% | 0.7395 | 5 | 5.62% | 1.2588 | 3 | 3.99% | 0.9443
CompressionProcessing | 1 | t+3 | DestructiveRotation | 42 | 1.43% | 0.5335 | 4 | 2.27% | 0.7254 | 2 | 2.25% | 0.5481 | 3 | 1.98% | 0.6023
CompressionProcessing | 1 | t+3 | ExhaustionPersistence | 192 | 6.56% | 1.2271 | 16 | 9.09% | 1.3848 | 3 | 3.37% | 0.6071 | 3 | 6.34% | 1.0730
CompressionProcessing | 1 | t+3 | MixedStructure | 197 | 6.73% | 0.6467 | 17 | 9.66% | 0.8327 | 10 | 11.24% | 1.0165 | 3 | 9.21% | 0.8320
CompressionProcessing | 1 | t+3 | NeutralProcessing | 921 | 31.45% | 0.6527 | 60 | 34.09% | 0.7152 | 29 | 32.58% | 0.6433 | 3 | 32.71% | 0.6704
CompressionProcessing | 1 | t+3 | ReassertionProcessing | 75 | 2.56% | 0.4491 | 3 | 1.70% | 0.2208 | 1 | 1.12% | 0.1210 | 3 | 1.80% | 0.2636
CompressionProcessing | 1 | t+3 | RecoveryResolution | 146 | 4.99% | 1.0366 | 9 | 5.11% | 0.8569 | 5 | 5.62% | 1.5920 | 3 | 5.24% | 1.1618
CompressionProcessing | 1 | t+5 | CompressionProcessing | 624 | 21.31% | 1.1579 | 31 | 17.61% | 1.3482 | 13 | 14.61% | 1.3716 | 3 | 17.84% | 1.2926
CompressionProcessing | 1 | t+5 | ConstructiveEmergence | 6 | 0.20% | 0.8704 | 1 | 0.57% | 1.2685 | 1 | 1.12% | 1.5449 | 3 | 0.63% | 1.2279
CompressionProcessing | 1 | t+5 | DecayToNeutral | 122 | 4.17% | 0.9885 | 6 | 3.41% | 0.8867 | 6 | 6.74% | 1.5090 | 3 | 4.77% | 1.1281
CompressionProcessing | 1 | t+5 | DestructiveRotation | 74 | 2.53% | 0.9399 | 9 | 5.11% | 1.6309 | 2 | 2.25% | 0.5476 | 3 | 3.30% | 1.0394
CompressionProcessing | 1 | t+5 | ExhaustionPersistence | 194 | 6.63% | 1.2399 | 21 | 11.93% | 1.8162 | 3 | 3.37% | 0.6064 | 3 | 7.31% | 1.2208
CompressionProcessing | 1 | t+5 | MixedStructure | 289 | 9.87% | 0.9489 | 16 | 9.09% | 0.7856 | 10 | 11.24% | 1.0202 | 3 | 10.07% | 0.9183
CompressionProcessing | 1 | t+5 | NeutralProcessing | 1332 | 45.49% | 0.9439 | 70 | 39.77% | 0.8344 | 45 | 50.56% | 0.9983 | 3 | 45.28% | 0.9255
CompressionProcessing | 1 | t+5 | ReassertionProcessing | 117 | 4.00% | 0.7005 | 10 | 5.68% | 0.7353 | 6 | 6.74% | 0.7250 | 3 | 5.47% | 0.7203
CompressionProcessing | 1 | t+5 | RecoveryResolution | 170 | 5.81% | 1.2069 | 12 | 6.82% | 1.1416 | 3 | 3.37% | 0.9542 | 3 | 5.33% | 1.1009
CompressionProcessing | 2 | t+1 | CompressionProcessing | 840 | 50.63% | 2.7512 | 41 | 44.57% | 3.4162 | 30 | 58.82% | 5.5352 | 3 | 51.34% | 3.9009
CompressionProcessing | 2 | t+1 | ConstructiveEmergence | 1 | 0.06% | 0.2561 | 0 | N/A | N/A | 0 | N/A | N/A | 1 | 0.06% | 0.2561
CompressionProcessing | 2 | t+1 | DecayToNeutral | 41 | 2.47% | 0.5864 | 2 | 2.17% | 0.5663 | 1 | 1.96% | 0.4398 | 3 | 2.20% | 0.5308
CompressionProcessing | 2 | t+1 | DestructiveRotation | 14 | 0.84% | 0.3139 | 1 | 1.09% | 0.3472 | 0 | N/A | N/A | 2 | 0.97% | 0.3305
CompressionProcessing | 2 | t+1 | ExhaustionPersistence | 115 | 6.93% | 1.2973 | 10 | 10.87% | 1.6570 | 2 | 3.92% | 0.7070 | 3 | 7.24% | 1.2204
CompressionProcessing | 2 | t+1 | MixedStructure | 20 | 1.21% | 0.1158 | 1 | 1.09% | 0.0932 | 1 | 1.96% | 0.1759 | 3 | 1.42% | 0.1283
CompressionProcessing | 2 | t+1 | NeutralProcessing | 549 | 33.09% | 0.6867 | 33 | 35.87% | 0.7530 | 15 | 29.41% | 0.5813 | 3 | 32.79% | 0.6737
CompressionProcessing | 2 | t+1 | ReassertionProcessing | 2 | 0.12% | 0.0211 | 0 | N/A | N/A | 1 | 1.96% | 0.2113 | 2 | 1.04% | 0.1162
CompressionProcessing | 2 | t+1 | RecoveryResolution | 77 | 4.64% | 0.9649 | 4 | 4.35% | 0.7291 | 1 | 1.96% | 0.5562 | 3 | 3.65% | 0.7501
CompressionProcessing | 2 | t+2 | CompressionProcessing | 832 | 50.15% | 2.7249 | 39 | 42.39% | 3.2484 | 23 | 45.10% | 4.2414 | 3 | 45.88% | 3.4049
CompressionProcessing | 2 | t+2 | ConstructiveEmergence | 2 | 0.12% | 0.5121 | 0 | N/A | N/A | 0 | N/A | N/A | 1 | 0.12% | 0.5121
CompressionProcessing | 2 | t+2 | DecayToNeutral | 41 | 2.47% | 0.5864 | 0 | N/A | N/A | 5 | 9.80% | 2.1979 | 2 | 6.14% | 1.3921
CompressionProcessing | 2 | t+2 | DestructiveRotation | 12 | 0.72% | 0.2690 | 0 | N/A | N/A | 1 | 1.96% | 0.4785 | 2 | 1.34% | 0.3738
CompressionProcessing | 2 | t+2 | ExhaustionPersistence | 102 | 6.15% | 1.1506 | 10 | 10.87% | 1.6564 | 2 | 3.92% | 0.7066 | 3 | 6.98% | 1.1712
CompressionProcessing | 2 | t+2 | MixedStructure | 78 | 4.70% | 0.4518 | 3 | 3.26% | 0.2803 | 6 | 11.76% | 1.0599 | 3 | 6.58% | 0.5973
CompressionProcessing | 2 | t+2 | NeutralProcessing | 499 | 30.08% | 0.6241 | 36 | 39.13% | 0.8212 | 11 | 21.57% | 0.4261 | 3 | 30.26% | 0.6238
CompressionProcessing | 2 | t+2 | ReassertionProcessing | 27 | 1.63% | 0.2853 | 1 | 1.09% | 0.1408 | 0 | N/A | N/A | 2 | 1.36% | 0.2131
CompressionProcessing | 2 | t+2 | RecoveryResolution | 66 | 3.98% | 0.8270 | 3 | 3.26% | 0.5466 | 3 | 5.88% | 1.6678 | 3 | 4.37% | 1.0138
CompressionProcessing | 2 | t+3 | CompressionProcessing | 651 | 39.24% | 2.1321 | 29 | 31.52% | 2.4146 | 16 | 31.37% | 2.9490 | 3 | 34.04% | 2.4986
CompressionProcessing | 2 | t+3 | ConstructiveEmergence | 1 | 0.06% | 0.2560 | 0 | N/A | N/A | 0 | N/A | N/A | 1 | 0.06% | 0.2560
CompressionProcessing | 2 | t+3 | DecayToNeutral | 55 | 3.32% | 0.7866 | 3 | 3.26% | 0.8488 | 5 | 9.80% | 2.1968 | 3 | 5.46% | 1.2774
CompressionProcessing | 2 | t+3 | DestructiveRotation | 30 | 1.81% | 0.6725 | 0 | N/A | N/A | 2 | 3.92% | 0.9566 | 2 | 2.86% | 0.8145
CompressionProcessing | 2 | t+3 | ExhaustionPersistence | 112 | 6.75% | 1.2634 | 10 | 10.87% | 1.6558 | 2 | 3.92% | 0.7062 | 3 | 7.18% | 1.2085
CompressionProcessing | 2 | t+3 | MixedStructure | 109 | 6.57% | 0.6315 | 5 | 5.43% | 0.4685 | 5 | 9.80% | 0.8870 | 3 | 7.27% | 0.6623
CompressionProcessing | 2 | t+3 | NeutralProcessing | 569 | 34.30% | 0.7117 | 34 | 36.96% | 0.7753 | 17 | 33.33% | 0.6581 | 3 | 34.86% | 0.7150
CompressionProcessing | 2 | t+3 | ReassertionProcessing | 34 | 2.05% | 0.3593 | 4 | 4.35% | 0.5631 | 0 | N/A | N/A | 2 | 3.20% | 0.4612
CompressionProcessing | 2 | t+3 | RecoveryResolution | 98 | 5.91% | 1.2280 | 7 | 7.61% | 1.2749 | 4 | 7.84% | 2.2226 | 3 | 7.12% | 1.5752
CompressionProcessing | 2 | t+5 | CompressionProcessing | 372 | 22.42% | 1.2183 | 11 | 11.96% | 0.9152 | 10 | 19.61% | 1.8412 | 3 | 18.00% | 1.3249
CompressionProcessing | 2 | t+5 | ConstructiveEmergence | 1 | 0.06% | 0.2560 | 0 | N/A | N/A | 0 | N/A | N/A | 1 | 0.06% | 0.2560
CompressionProcessing | 2 | t+5 | DecayToNeutral | 65 | 3.92% | 0.9295 | 3 | 3.26% | 0.8481 | 4 | 7.84% | 1.7556 | 3 | 5.01% | 1.1778
CompressionProcessing | 2 | t+5 | DestructiveRotation | 44 | 2.65% | 0.9863 | 2 | 2.17% | 0.6933 | 2 | 3.92% | 0.9556 | 3 | 2.92% | 0.8784
CompressionProcessing | 2 | t+5 | ExhaustionPersistence | 96 | 5.79% | 1.0828 | 9 | 9.78% | 1.4891 | 1 | 1.96% | 0.3528 | 3 | 5.84% | 0.9749
CompressionProcessing | 2 | t+5 | MixedStructure | 147 | 8.86% | 0.8519 | 7 | 7.61% | 0.6575 | 7 | 13.73% | 1.2463 | 3 | 10.06% | 0.9186
CompressionProcessing | 2 | t+5 | NeutralProcessing | 756 | 45.57% | 0.9455 | 45 | 48.91% | 1.0261 | 24 | 47.06% | 0.9291 | 3 | 47.18% | 0.9669
CompressionProcessing | 2 | t+5 | ReassertionProcessing | 76 | 4.58% | 0.8031 | 6 | 6.52% | 0.8440 | 1 | 1.96% | 0.2109 | 3 | 4.35% | 0.6193
CompressionProcessing | 2 | t+5 | RecoveryResolution | 102 | 6.15% | 1.2781 | 9 | 9.78% | 1.6380 | 2 | 3.92% | 1.1101 | 3 | 6.62% | 1.3421
CompressionProcessing | 3 | t+1 | CompressionProcessing | 528 | 62.86% | 3.4154 | 22 | 53.66% | 4.1133 | 18 | 60.00% | 5.6459 | 3 | 58.84% | 4.3915
CompressionProcessing | 3 | t+1 | DecayToNeutral | 11 | 1.31% | 0.3107 | 0 | N/A | N/A | 3 | 10.00% | 2.2430 | 2 | 5.65% | 1.2769
CompressionProcessing | 3 | t+1 | DestructiveRotation | 3 | 0.36% | 0.1328 | 0 | N/A | N/A | 0 | N/A | N/A | 1 | 0.36% | 0.1328
CompressionProcessing | 3 | t+1 | ExhaustionPersistence | 65 | 7.74% | 1.4482 | 6 | 14.63% | 2.2309 | 2 | 6.67% | 1.2019 | 3 | 9.68% | 1.6270
CompressionProcessing | 3 | t+1 | MixedStructure | 17 | 2.02% | 0.1944 | 1 | 2.44% | 0.2091 | 0 | N/A | N/A | 2 | 2.23% | 0.2018
CompressionProcessing | 3 | t+1 | NeutralProcessing | 177 | 21.07% | 0.4372 | 10 | 24.39% | 0.5120 | 5 | 16.67% | 0.3294 | 3 | 20.71% | 0.4262
CompressionProcessing | 3 | t+1 | ReassertionProcessing | 5 | 0.60% | 0.1044 | 1 | 2.44% | 0.3161 | 0 | N/A | N/A | 2 | 1.52% | 0.2102
CompressionProcessing | 3 | t+1 | RecoveryResolution | 34 | 4.05% | 0.8415 | 1 | 2.44% | 0.4090 | 2 | 6.67% | 1.8912 | 3 | 4.38% | 1.0472
CompressionProcessing | 3 | t+2 | CompressionProcessing | 387 | 46.07% | 2.5033 | 16 | 39.02% | 2.9904 | 12 | 40.00% | 3.7620 | 3 | 41.70% | 3.0852
CompressionProcessing | 3 | t+2 | DecayToNeutral | 30 | 3.57% | 0.8474 | 3 | 7.32% | 1.9053 | 2 | 6.67% | 1.4946 | 3 | 5.85% | 1.4157
CompressionProcessing | 3 | t+2 | DestructiveRotation | 9 | 1.07% | 0.3985 | 0 | N/A | N/A | 2 | 6.67% | 1.6270 | 2 | 3.87% | 1.0127
CompressionProcessing | 3 | t+2 | ExhaustionPersistence | 58 | 6.90% | 1.2922 | 4 | 9.76% | 1.4867 | 2 | 6.67% | 1.2012 | 3 | 7.78% | 1.3267
CompressionProcessing | 3 | t+2 | MixedStructure | 49 | 5.83% | 0.5606 | 2 | 4.88% | 0.4193 | 2 | 6.67% | 0.6006 | 3 | 5.79% | 0.5268
CompressionProcessing | 3 | t+2 | NeutralProcessing | 257 | 30.60% | 0.6348 | 11 | 26.83% | 0.5630 | 9 | 30.00% | 0.5926 | 3 | 29.14% | 0.5968
CompressionProcessing | 3 | t+2 | ReassertionProcessing | 11 | 1.31% | 0.2296 | 2 | 4.88% | 0.6320 | 0 | N/A | N/A | 2 | 3.09% | 0.4308
CompressionProcessing | 3 | t+2 | RecoveryResolution | 39 | 4.64% | 0.9652 | 3 | 7.32% | 1.2265 | 1 | 3.33% | 0.9451 | 3 | 5.10% | 1.0456
CompressionProcessing | 3 | t+3 | CompressionProcessing | 252 | 30.00% | 1.6300 | 9 | 21.95% | 1.6815 | 5 | 16.67% | 1.5667 | 3 | 22.87% | 1.6260
CompressionProcessing | 3 | t+3 | ConstructiveEmergence | 2 | 0.24% | 1.0114 | 0 | N/A | N/A | 1 | 3.33% | 4.5881 | 2 | 1.79% | 2.7997
CompressionProcessing | 3 | t+3 | DecayToNeutral | 47 | 5.60% | 1.3275 | 0 | N/A | N/A | 4 | 13.33% | 2.9876 | 2 | 9.46% | 2.1576
CompressionProcessing | 3 | t+3 | DestructiveRotation | 23 | 2.74% | 1.0183 | 5 | 12.20% | 3.8923 | 0 | N/A | N/A | 2 | 7.47% | 2.4553
CompressionProcessing | 3 | t+3 | ExhaustionPersistence | 57 | 6.79% | 1.2699 | 7 | 17.07% | 2.6007 | 1 | 3.33% | 0.6003 | 3 | 9.06% | 1.4903
CompressionProcessing | 3 | t+3 | MixedStructure | 83 | 9.88% | 0.9498 | 4 | 9.76% | 0.8410 | 5 | 16.67% | 1.5078 | 3 | 12.10% | 1.0995
CompressionProcessing | 3 | t+3 | NeutralProcessing | 286 | 34.05% | 0.7065 | 11 | 26.83% | 0.5628 | 12 | 40.00% | 0.7898 | 3 | 33.63% | 0.6863
CompressionProcessing | 3 | t+3 | ReassertionProcessing | 37 | 4.40% | 0.7722 | 0 | N/A | N/A | 2 | 6.67% | 0.7177 | 2 | 5.54% | 0.7450
CompressionProcessing | 3 | t+3 | RecoveryResolution | 53 | 6.31% | 1.3116 | 5 | 12.20% | 2.0434 | 0 | N/A | N/A | 2 | 9.25% | 1.6775
CompressionProcessing | 3 | t+5 | CompressionProcessing | 187 | 22.26% | 1.2095 | 6 | 14.63% | 1.1201 | 4 | 13.33% | 1.2520 | 3 | 16.74% | 1.1939
CompressionProcessing | 3 | t+5 | ConstructiveEmergence | 0 | N/A | N/A | 0 | N/A | N/A | 1 | 3.33% | 4.5833 | 1 | 3.33% | 4.5833
CompressionProcessing | 3 | t+5 | DecayToNeutral | 33 | 3.93% | 0.9320 | 1 | 2.44% | 0.6344 | 1 | 3.33% | 0.7461 | 3 | 3.23% | 0.7709
CompressionProcessing | 3 | t+5 | DestructiveRotation | 30 | 3.57% | 1.3282 | 2 | 4.88% | 1.5557 | 2 | 6.67% | 1.6245 | 3 | 5.04% | 1.5028
CompressionProcessing | 3 | t+5 | ExhaustionPersistence | 47 | 5.60% | 1.0470 | 4 | 9.76% | 1.4850 | 3 | 10.00% | 1.7991 | 3 | 8.45% | 1.4437
CompressionProcessing | 3 | t+5 | MixedStructure | 77 | 9.17% | 0.8813 | 4 | 9.76% | 0.8431 | 3 | 10.00% | 0.9080 | 3 | 9.64% | 0.8775
CompressionProcessing | 3 | t+5 | NeutralProcessing | 369 | 43.93% | 0.9115 | 19 | 46.34% | 0.9722 | 14 | 46.67% | 0.9214 | 3 | 45.65% | 0.9350
CompressionProcessing | 3 | t+5 | ReassertionProcessing | 35 | 4.17% | 0.7305 | 1 | 2.44% | 0.3157 | 1 | 3.33% | 0.3585 | 3 | 3.31% | 0.4682
CompressionProcessing | 3 | t+5 | RecoveryResolution | 62 | 7.38% | 1.5343 | 4 | 9.76% | 1.6335 | 1 | 3.33% | 0.9436 | 3 | 6.82% | 1.3705
CompressionProcessing | 4 | t+1 | CompressionProcessing | 282 | 53.41% | 2.9021 | 12 | 54.55% | 4.1813 | 8 | 44.44% | 4.1821 | 3 | 50.80% | 3.7552
CompressionProcessing | 4 | t+1 | DecayToNeutral | 19 | 3.60% | 0.8538 | 2 | 9.09% | 2.3680 | 2 | 11.11% | 2.4922 | 3 | 7.93% | 1.9047
CompressionProcessing | 4 | t+1 | DestructiveRotation | 3 | 0.57% | 0.2113 | 0 | N/A | N/A | 2 | 11.11% | 2.7131 | 2 | 5.84% | 1.4622
CompressionProcessing | 4 | t+1 | ExhaustionPersistence | 35 | 6.63% | 1.2406 | 2 | 9.09% | 1.3858 | 1 | 5.56% | 1.0016 | 3 | 7.09% | 1.2093
CompressionProcessing | 4 | t+1 | MixedStructure | 22 | 4.17% | 0.4003 | 0 | N/A | N/A | 2 | 11.11% | 0.9969 | 2 | 7.64% | 0.6986
CompressionProcessing | 4 | t+1 | NeutralProcessing | 142 | 26.89% | 0.5581 | 5 | 22.73% | 0.4771 | 2 | 11.11% | 0.2196 | 3 | 20.24% | 0.4183
CompressionProcessing | 4 | t+1 | ReassertionProcessing | 2 | 0.38% | 0.0664 | 1 | 4.55% | 0.5892 | 0 | N/A | N/A | 2 | 2.46% | 0.3278
CompressionProcessing | 4 | t+1 | RecoveryResolution | 23 | 4.36% | 0.9056 | 0 | N/A | N/A | 1 | 5.56% | 1.5760 | 2 | 4.96% | 1.2408
CompressionProcessing | 4 | t+2 | CompressionProcessing | 187 | 35.42% | 1.9244 | 7 | 31.82% | 2.4382 | 4 | 22.22% | 2.0900 | 3 | 29.82% | 2.1508
CompressionProcessing | 4 | t+2 | ConstructiveEmergence | 2 | 0.38% | 1.6091 | 0 | N/A | N/A | 1 | 5.56% | 7.6508 | 2 | 2.97% | 4.6299
CompressionProcessing | 4 | t+2 | DecayToNeutral | 43 | 8.14% | 1.9323 | 0 | N/A | N/A | 3 | 16.67% | 3.7364 | 2 | 12.41% | 2.8344
CompressionProcessing | 4 | t+2 | DestructiveRotation | 15 | 2.84% | 1.0566 | 3 | 13.64% | 4.3539 | 0 | N/A | N/A | 2 | 8.24% | 2.7052
CompressionProcessing | 4 | t+2 | ExhaustionPersistence | 31 | 5.87% | 1.0988 | 5 | 22.73% | 3.4633 | 0 | N/A | N/A | 2 | 14.30% | 2.2810
CompressionProcessing | 4 | t+2 | MixedStructure | 51 | 9.66% | 0.9282 | 1 | 4.55% | 0.3907 | 3 | 16.67% | 1.5016 | 3 | 10.29% | 0.9402
CompressionProcessing | 4 | t+2 | NeutralProcessing | 159 | 30.11% | 0.6249 | 5 | 22.73% | 0.4770 | 6 | 33.33% | 0.6585 | 3 | 28.72% | 0.5868
CompressionProcessing | 4 | t+2 | ReassertionProcessing | 18 | 3.41% | 0.5977 | 0 | N/A | N/A | 1 | 5.56% | 0.5984 | 2 | 4.48% | 0.5980
CompressionProcessing | 4 | t+2 | RecoveryResolution | 22 | 4.17% | 0.8662 | 1 | 4.55% | 0.7619 | 0 | N/A | N/A | 2 | 4.36% | 0.8141
CompressionProcessing | 4 | t+3 | CompressionProcessing | 151 | 28.60% | 1.5539 | 3 | 13.64% | 1.0445 | 4 | 22.22% | 2.0889 | 3 | 21.49% | 1.5624
CompressionProcessing | 4 | t+3 | DecayToNeutral | 23 | 4.36% | 1.0335 | 2 | 9.09% | 2.3663 | 1 | 5.56% | 1.2448 | 3 | 6.33% | 1.5482
CompressionProcessing | 4 | t+3 | DestructiveRotation | 18 | 3.41% | 1.2679 | 0 | N/A | N/A | 1 | 5.56% | 1.3551 | 2 | 4.48% | 1.3115
CompressionProcessing | 4 | t+3 | ExhaustionPersistence | 30 | 5.68% | 1.0633 | 4 | 18.18% | 2.7696 | 0 | N/A | N/A | 2 | 11.93% | 1.9165
CompressionProcessing | 4 | t+3 | MixedStructure | 58 | 10.98% | 1.0559 | 2 | 9.09% | 0.7837 | 3 | 16.67% | 1.5078 | 3 | 12.25% | 1.1158
CompressionProcessing | 4 | t+3 | NeutralProcessing | 192 | 36.36% | 0.7545 | 7 | 31.82% | 0.6675 | 8 | 44.44% | 0.8775 | 3 | 37.54% | 0.7665
CompressionProcessing | 4 | t+3 | ReassertionProcessing | 29 | 5.49% | 0.9629 | 0 | N/A | N/A | 0 | N/A | N/A | 1 | 5.49% | 0.9629
CompressionProcessing | 4 | t+3 | RecoveryResolution | 27 | 5.11% | 1.0630 | 4 | 18.18% | 3.0466 | 1 | 5.56% | 1.5743 | 3 | 9.62% | 1.8947
CompressionProcessing | 4 | t+5 | CompressionProcessing | 107 | 20.27% | 1.1010 | 2 | 9.09% | 0.6958 | 4 | 22.22% | 2.0867 | 3 | 17.19% | 1.2945
CompressionProcessing | 4 | t+5 | DecayToNeutral | 24 | 4.55% | 1.0784 | 2 | 9.09% | 2.3645 | 0 | N/A | N/A | 2 | 6.82% | 1.7215
CompressionProcessing | 4 | t+5 | DestructiveRotation | 13 | 2.46% | 0.9156 | 0 | N/A | N/A | 1 | 5.56% | 1.3537 | 2 | 4.01% | 1.1347
CompressionProcessing | 4 | t+5 | ExhaustionPersistence | 33 | 6.25% | 1.1696 | 2 | 9.09% | 1.3838 | 0 | N/A | N/A | 2 | 7.67% | 1.2767
CompressionProcessing | 4 | t+5 | MixedStructure | 41 | 7.77% | 0.7466 | 3 | 13.64% | 1.1784 | 3 | 16.67% | 1.5134 | 3 | 12.69% | 1.1461
CompressionProcessing | 4 | t+5 | NeutralProcessing | 246 | 46.59% | 0.9667 | 9 | 40.91% | 0.8582 | 9 | 50.00% | 0.9872 | 3 | 45.83% | 0.9374
CompressionProcessing | 4 | t+5 | ReassertionProcessing | 25 | 4.73% | 0.8301 | 1 | 4.55% | 0.5883 | 1 | 5.56% | 0.5975 | 3 | 4.95% | 0.6719
CompressionProcessing | 4 | t+5 | RecoveryResolution | 39 | 7.39% | 1.5354 | 3 | 13.64% | 2.2832 | 0 | N/A | N/A | 2 | 10.51% | 1.9093
CompressionProcessing | 5 | t+1 | CompressionProcessing | 127 | 45.04% | 2.4471 | 5 | 41.67% | 3.1940 | 3 | 37.50% | 3.5287 | 2 | 43.35% | 2.8206
CompressionProcessing | 5 | t+1 | DecayToNeutral | 22 | 7.80% | 1.8511 | 0 | N/A | N/A | 0 | N/A | N/A | 1 | 7.80% | 1.8511
CompressionProcessing | 5 | t+1 | DestructiveRotation | 9 | 3.19% | 1.1870 | 1 | 8.33% | 2.6617 | 0 | N/A | N/A | 2 | 5.76% | 1.9244
CompressionProcessing | 5 | t+1 | ExhaustionPersistence | 19 | 6.74% | 1.2609 | 4 | 33.33% | 5.0814 | 0 | N/A | N/A | 2 | 20.04% | 3.1712
CompressionProcessing | 5 | t+1 | MixedStructure | 12 | 4.26% | 0.4088 | 1 | 8.33% | 0.7143 | 1 | 12.50% | 1.1215 | 2 | 6.29% | 0.5616
CompressionProcessing | 5 | t+1 | NeutralProcessing | 76 | 26.95% | 0.5592 | 1 | 8.33% | 0.1749 | 3 | 37.50% | 0.7412 | 2 | 17.64% | 0.3671
CompressionProcessing | 5 | t+1 | ReassertionProcessing | 5 | 1.77% | 0.3109 | 0 | N/A | N/A | 1 | 12.50% | 1.3471 | 1 | 1.77% | 0.3109
CompressionProcessing | 5 | t+1 | RecoveryResolution | 12 | 4.26% | 0.8847 | 0 | N/A | N/A | 0 | N/A | N/A | 1 | 4.26% | 0.8847
CompressionProcessing | 5 | t+2 | CompressionProcessing | 108 | 38.30% | 2.0809 | 2 | 16.67% | 1.2771 | 3 | 37.50% | 3.5268 | 2 | 27.48% | 1.6790
