APVA Junction Audit Study v0.1 - Aggregate
============================================================================================================
Instruments: 6E, CL, NQ

Aggregate Junction Candidate Table
CurrentNode | Count | BaseDominantNextNode | BaseDominantProbability | PreviousNodeGain | BranchEntropy | ReplicationCount
RecoveryResolution_Age1 | 1219 | CompressionProcessing_Age1 | 55.70% | 32.57% | 0.9484 | 3
ReassertionProcessing_Age1 | 2080 | NeutralProcessing_Age1 | 40.58% | 15.14% | 1.3785 | 3
DestructiveRotation_Age1 | 970 | DecayToNeutral_Age1 | 29.48% | 14.43% | 1.8058 | 3
MixedStructure_Age1 | 3726 | NeutralProcessing_Age1 | 37.55% | 8.29% | 1.7596 | 3
ConstructiveEmergence_Age1 | 109 | MixedStructure_Age1 | 48.62% | 5.50% | 1.1479 | 3
ExhaustionPersistence_Age1 | 1264 | ExhaustionPersistence_Age2 | 28.01% | 5.46% | 1.6768 | 3
ExhaustionPersistence_Age6-10 | 38 | ExhaustionPersistence_Age6-10 | 39.47% | 5.26% | 1.4974 | 3
CompressionProcessing_Age1 | 3194 | CompressionProcessing_Age2 | 56.42% | 5.10% | 1.1164 | 3

Aggregate Base Branch Profile Table
CurrentNode | NextNode | Count | Probability | Rank
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 1802 | 56.42% | 1
CompressionProcessing_Age1 | NeutralProcessing_Age1 | 973 | 30.46% | 2
CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 198 | 6.20% | 3
CompressionProcessing_Age1 | RecoveryResolution_Age1 | 144 | 4.51% | 4
CompressionProcessing_Age1 | MixedStructure_Age1 | 32 | 1.00% | 5
CompressionProcessing_Age1 | DestructiveRotation_Age1 | 22 | 0.69% | 6
CompressionProcessing_Age1 | ReassertionProcessing_Age1 | 19 | 0.59% | 7
CompressionProcessing_Age1 | DecayToNeutral_Age1 | 4 | 0.13% | 8
ConstructiveEmergence_Age1 | MixedStructure_Age1 | 53 | 48.62% | 1
ConstructiveEmergence_Age1 | NeutralProcessing_Age1 | 35 | 32.11% | 2
ConstructiveEmergence_Age1 | DecayToNeutral_Age1 | 15 | 13.76% | 3
ConstructiveEmergence_Age1 | CompressionProcessing_Age1 | 6 | 5.50% | 4
DestructiveRotation_Age1 | DecayToNeutral_Age1 | 286 | 29.48% | 1
DestructiveRotation_Age1 | NeutralProcessing_Age1 | 269 | 27.73% | 2
DestructiveRotation_Age1 | DestructiveRotation_Age2 | 123 | 12.68% | 3
DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | 108 | 11.13% | 4
DestructiveRotation_Age1 | ReassertionProcessing_Age1 | 59 | 6.08% | 5
DestructiveRotation_Age1 | RecoveryResolution_Age1 | 49 | 5.05% | 6
DestructiveRotation_Age1 | MixedStructure_Age1 | 45 | 4.64% | 7
DestructiveRotation_Age1 | CompressionProcessing_Age1 | 28 | 2.89% | 8
DestructiveRotation_Age1 | ConstructiveEmergence_Age1 | 3 | 0.31% | 9
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 354 | 28.01% | 1
ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 274 | 21.68% | 2
ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 246 | 19.46% | 3
ExhaustionPersistence_Age1 | NeutralProcessing_Age1 | 181 | 14.32% | 4
ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | 155 | 12.26% | 5
ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | 54 | 4.27% | 6
ExhaustionPersistence_Age6-10 | ExhaustionPersistence_Age6-10 | 15 | 39.47% | 1
ExhaustionPersistence_Age6-10 | DecayToNeutral_Age1 | 10 | 26.32% | 2
ExhaustionPersistence_Age6-10 | NeutralProcessing_Age1 | 6 | 15.79% | 3
ExhaustionPersistence_Age6-10 | RecoveryResolution_Age1 | 4 | 10.53% | 4
ExhaustionPersistence_Age6-10 | DestructiveRotation_Age1 | 2 | 5.26% | 5
ExhaustionPersistence_Age6-10 | CompressionProcessing_Age1 | 1 | 2.63% | 6
MixedStructure_Age1 | NeutralProcessing_Age1 | 1399 | 37.55% | 1
MixedStructure_Age1 | DecayToNeutral_Age1 | 741 | 19.89% | 2
MixedStructure_Age1 | ExhaustionPersistence_Age1 | 462 | 12.40% | 3
MixedStructure_Age1 | MixedStructure_Age2 | 410 | 11.00% | 4
MixedStructure_Age1 | RecoveryResolution_Age1 | 344 | 9.23% | 5
MixedStructure_Age1 | ReassertionProcessing_Age1 | 174 | 4.67% | 6
MixedStructure_Age1 | CompressionProcessing_Age1 | 100 | 2.68% | 7
MixedStructure_Age1 | DestructiveRotation_Age1 | 72 | 1.93% | 8
MixedStructure_Age1 | ConstructiveEmergence_Age1 | 24 | 0.64% | 9
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 844 | 40.58% | 1
ReassertionProcessing_Age1 | MixedStructure_Age1 | 673 | 32.36% | 2
ReassertionProcessing_Age1 | ReassertionProcessing_Age2 | 300 | 14.42% | 3
ReassertionProcessing_Age1 | DestructiveRotation_Age1 | 145 | 6.97% | 4
ReassertionProcessing_Age1 | CompressionProcessing_Age1 | 105 | 5.05% | 5
ReassertionProcessing_Age1 | ConstructiveEmergence_Age1 | 13 | 0.62% | 6
RecoveryResolution_Age1 | CompressionProcessing_Age1 | 679 | 55.70% | 1
RecoveryResolution_Age1 | RecoveryResolution_Age2 | 390 | 31.99% | 2
RecoveryResolution_Age1 | NeutralProcessing_Age1 | 150 | 12.31% | 3

Aggregate Conditional Branch Table
PreviousNode | CurrentNode | NextNode | Count | ConditionalProbability | BaseProbability | ProbabilityDelta | DominantBranchChanged
ReassertionProcessing_Age1 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 77 | 73.33% | 56.42% | 16.92% | False
ReassertionProcessing_Age1 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 28 | 26.67% | 30.46% | -3.80% | False
ReassertionProcessing_Age2 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 13 | 100.00% | 56.42% | 43.58% | False
ReassertionProcessing_Age3 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 1 | 100.00% | 56.42% | 43.58% | False
RecoveryResolution_Age1 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 440 | 64.80% | 56.42% | 8.38% | False
RecoveryResolution_Age1 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 134 | 19.73% | 30.46% | -10.73% | False
RecoveryResolution_Age1 | CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 61 | 8.98% | 6.20% | 2.78% | False
RecoveryResolution_Age1 | CompressionProcessing_Age1 | RecoveryResolution_Age1 | 44 | 6.48% | 4.51% | 1.97% | False
RecoveryResolution_Age3 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 126 | 63.96% | 56.42% | 7.54% | False
RecoveryResolution_Age3 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 51 | 25.89% | 30.46% | -4.58% | False
RecoveryResolution_Age3 | CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 12 | 6.09% | 6.20% | -0.11% | False
RecoveryResolution_Age3 | CompressionProcessing_Age1 | RecoveryResolution_Age1 | 8 | 4.06% | 4.51% | -0.45% | False
RecoveryResolution_Age4 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 8 | 72.73% | 56.42% | 16.31% | False
RecoveryResolution_Age4 | CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 1 | 9.09% | 6.20% | 2.89% | False
RecoveryResolution_Age4 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 1 | 9.09% | 30.46% | -21.37% | False
RecoveryResolution_Age4 | CompressionProcessing_Age1 | RecoveryResolution_Age1 | 1 | 9.09% | 4.51% | 4.58% | False
RecoveryResolution_Age6-10 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 1 | 33.33% | 56.42% | -23.08% | False
RecoveryResolution_Age6-10 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 1 | 33.33% | 30.46% | 2.87% | False
RecoveryResolution_Age6-10 | CompressionProcessing_Age1 | RecoveryResolution_Age1 | 1 | 33.33% | 4.51% | 28.82% | False
CompressionProcessing_Age2 | ConstructiveEmergence_Age1 | CompressionProcessing_Age1 | 1 | 100.00% | 5.50% | 94.50% | True
DecayToNeutral_Age1 | ConstructiveEmergence_Age1 | DecayToNeutral_Age1 | 4 | 50.00% | 13.76% | 36.24% | True
DecayToNeutral_Age1 | ConstructiveEmergence_Age1 | MixedStructure_Age1 | 4 | 50.00% | 48.62% | 1.38% | True
DestructiveRotation_Age1 | ConstructiveEmergence_Age1 | MixedStructure_Age1 | 3 | 100.00% | 48.62% | 51.38% | False
MixedStructure_Age1 | ConstructiveEmergence_Age1 | MixedStructure_Age1 | 10 | 41.67% | 48.62% | -6.96% | False
MixedStructure_Age1 | ConstructiveEmergence_Age1 | DecayToNeutral_Age1 | 8 | 33.33% | 13.76% | 19.57% | False
MixedStructure_Age1 | ConstructiveEmergence_Age1 | NeutralProcessing_Age1 | 5 | 20.83% | 32.11% | -11.28% | False
MixedStructure_Age1 | ConstructiveEmergence_Age1 | CompressionProcessing_Age1 | 1 | 4.17% | 5.50% | -1.34% | False
MixedStructure_Age3 | ConstructiveEmergence_Age1 | MixedStructure_Age1 | 2 | 100.00% | 48.62% | 51.38% | False
NeutralProcessing_Age1 | ConstructiveEmergence_Age1 | MixedStructure_Age1 | 14 | 51.85% | 48.62% | 3.23% | False
NeutralProcessing_Age1 | ConstructiveEmergence_Age1 | NeutralProcessing_Age1 | 8 | 29.63% | 32.11% | -2.48% | False
NeutralProcessing_Age1 | ConstructiveEmergence_Age1 | DecayToNeutral_Age1 | 3 | 11.11% | 13.76% | -2.65% | False
NeutralProcessing_Age1 | ConstructiveEmergence_Age1 | CompressionProcessing_Age1 | 2 | 7.41% | 5.50% | 1.90% | False
NeutralProcessing_Age11-20 | ConstructiveEmergence_Age1 | MixedStructure_Age1 | 1 | 50.00% | 48.62% | 1.38% | False
NeutralProcessing_Age11-20 | ConstructiveEmergence_Age1 | NeutralProcessing_Age1 | 1 | 50.00% | 32.11% | 17.89% | False
NeutralProcessing_Age2 | ConstructiveEmergence_Age1 | NeutralProcessing_Age1 | 6 | 66.67% | 32.11% | 34.56% | True
NeutralProcessing_Age2 | ConstructiveEmergence_Age1 | MixedStructure_Age1 | 2 | 22.22% | 48.62% | -26.40% | True
NeutralProcessing_Age2 | ConstructiveEmergence_Age1 | CompressionProcessing_Age1 | 1 | 11.11% | 5.50% | 5.61% | True
NeutralProcessing_Age3 | ConstructiveEmergence_Age1 | MixedStructure_Age1 | 3 | 75.00% | 48.62% | 26.38% | False
NeutralProcessing_Age3 | ConstructiveEmergence_Age1 | NeutralProcessing_Age1 | 1 | 25.00% | 32.11% | -7.11% | False
NeutralProcessing_Age4 | ConstructiveEmergence_Age1 | MixedStructure_Age1 | 1 | 50.00% | 48.62% | 1.38% | False
NeutralProcessing_Age4 | ConstructiveEmergence_Age1 | NeutralProcessing_Age1 | 1 | 50.00% | 32.11% | 17.89% | False
NeutralProcessing_Age5 | ConstructiveEmergence_Age1 | NeutralProcessing_Age1 | 2 | 66.67% | 32.11% | 34.56% | True
NeutralProcessing_Age5 | ConstructiveEmergence_Age1 | MixedStructure_Age1 | 1 | 33.33% | 48.62% | -15.29% | True
NeutralProcessing_Age6-10 | ConstructiveEmergence_Age1 | MixedStructure_Age1 | 5 | 45.45% | 48.62% | -3.17% | False
NeutralProcessing_Age6-10 | ConstructiveEmergence_Age1 | NeutralProcessing_Age1 | 5 | 45.45% | 32.11% | 13.34% | False
NeutralProcessing_Age6-10 | ConstructiveEmergence_Age1 | CompressionProcessing_Age1 | 1 | 9.09% | 5.50% | 3.59% | False
ReassertionProcessing_Age1 | ConstructiveEmergence_Age1 | MixedStructure_Age1 | 7 | 53.85% | 48.62% | 5.22% | False
ReassertionProcessing_Age1 | ConstructiveEmergence_Age1 | NeutralProcessing_Age1 | 6 | 46.15% | 32.11% | 14.04% | False
CompressionProcessing_Age1 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 8 | 36.36% | 29.48% | 6.88% | False
CompressionProcessing_Age1 | DestructiveRotation_Age1 | RecoveryResolution_Age1 | 7 | 31.82% | 5.05% | 26.77% | False
CompressionProcessing_Age1 | DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | 4 | 18.18% | 11.13% | 7.05% | False
CompressionProcessing_Age1 | DestructiveRotation_Age1 | DestructiveRotation_Age2 | 2 | 9.09% | 12.68% | -3.59% | False
CompressionProcessing_Age1 | DestructiveRotation_Age1 | NeutralProcessing_Age1 | 1 | 4.55% | 27.73% | -23.19% | False
CompressionProcessing_Age2 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 8 | 53.33% | 29.48% | 23.85% | False
CompressionProcessing_Age2 | DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | 3 | 20.00% | 11.13% | 8.87% | False
CompressionProcessing_Age2 | DestructiveRotation_Age1 | DestructiveRotation_Age2 | 2 | 13.33% | 12.68% | 0.65% | False
CompressionProcessing_Age2 | DestructiveRotation_Age1 | MixedStructure_Age1 | 1 | 6.67% | 4.64% | 2.03% | False
CompressionProcessing_Age2 | DestructiveRotation_Age1 | NeutralProcessing_Age1 | 1 | 6.67% | 27.73% | -21.07% | False
CompressionProcessing_Age3 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 1 | 33.33% | 29.48% | 3.85% | False
CompressionProcessing_Age3 | DestructiveRotation_Age1 | DestructiveRotation_Age2 | 1 | 33.33% | 12.68% | 20.65% | False
CompressionProcessing_Age3 | DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | 1 | 33.33% | 11.13% | 22.20% | False
CompressionProcessing_Age4 | DestructiveRotation_Age1 | DestructiveRotation_Age2 | 2 | 40.00% | 12.68% | 27.32% | True
