APVA Age Transition Matrix Study v0.1 - CL
================================================================

Rows: 2684
Sources:
  .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv

State x Age Counts
==================
RecoveryResolution           1            94
RecoveryResolution           2            38
RecoveryResolution           3            27
RecoveryResolution           4             1
ExhaustionPersistence        1            97
ExhaustionPersistence        2            31
ExhaustionPersistence        3            21
ExhaustionPersistence        4            16
ExhaustionPersistence        5             8
ExhaustionPersistence        6-10          3
CompressionProcessing        1           177
CompressionProcessing        2            92
CompressionProcessing        3            41
CompressionProcessing        4            22
CompressionProcessing        5            12
CompressionProcessing        6-10          6
NeutralProcessing            1           446
NeutralProcessing            2           253
NeutralProcessing            3           140
NeutralProcessing            4           106
NeutralProcessing            5            95
NeutralProcessing            6-10        208
NeutralProcessing            11-20        30
ReassertionProcessing        1           174
ReassertionProcessing        2            32
ReassertionProcessing        3             1
DecayToNeutral               1           103
DestructiveRotation          1            71
DestructiveRotation          2            12
DestructiveRotation          3             1
ConstructiveEmergence        1            12
MixedStructure               1           279
MixedStructure               2            28
MixedStructure               3             5
MixedStructure               4             2

Transition Matrix Lag 1
================================
State                        Age    NextState                           N       Prob       Lift
ExhaustionPersistence        5      ExhaustionPersistence               1     12.50%      1.906
ExhaustionPersistence        6-10   NeutralProcessing                   1     33.33%      0.700
MixedStructure               2      CompressionProcessing               1      3.57%      0.274
MixedStructure               3      RecoveryResolution                  1     20.00%      3.354
NeutralProcessing            11-20  ExhaustionPersistence               1      3.33%      0.508
NeutralProcessing            4      ConstructiveEmergence               1      0.94%      2.109
NeutralProcessing            5      ExhaustionPersistence               1      1.05%      0.160
NeutralProcessing            6-10   ConstructiveEmergence               1      0.48%      1.075
NeutralProcessing            6-10   RecoveryResolution                  1      0.48%      0.081
ReassertionProcessing        1      ConstructiveEmergence               1      0.57%      1.285
ReassertionProcessing        2      CompressionProcessing               1      3.12%      0.240
ReassertionProcessing        2      ReassertionProcessing               1      3.12%      0.405
ReassertionProcessing        3      DestructiveRotation                 1    100.00%     31.940
RecoveryResolution           3      RecoveryResolution                  1      3.70%      0.621
RecoveryResolution           4      CompressionProcessing               1    100.00%      7.666

Transition Matrix Lag 2
================================
State                        Age    NextState                           N       Prob       Lift
NeutralProcessing            1      NeutralProcessing                 193     43.37%      0.910
NeutralProcessing            2      NeutralProcessing                 178     70.36%      1.476
MixedStructure               1      NeutralProcessing                 126     45.16%      0.948
NeutralProcessing            3      NeutralProcessing                 116     82.86%      1.739
NeutralProcessing            6-10   NeutralProcessing                 115     55.29%      1.160
NeutralProcessing            1      MixedStructure                     93     20.90%      1.796
ReassertionProcessing        1      NeutralProcessing                  87     50.00%      1.049
NeutralProcessing            4      NeutralProcessing                  81     76.42%      1.604
CompressionProcessing        1      CompressionProcessing              66     37.50%      2.874
CompressionProcessing        1      NeutralProcessing                  66     37.50%      0.787
NeutralProcessing            5      NeutralProcessing                  66     69.47%      1.458
MixedStructure               1      MixedStructure                     47     16.85%      1.448
NeutralProcessing            1      CompressionProcessing              45     10.11%      0.775
NeutralProcessing            1      ReassertionProcessing              40      8.99%      1.165
CompressionProcessing        2      CompressionProcessing              39     42.39%      3.248
ExhaustionPersistence        1      RecoveryResolution                 38     39.18%      6.567
CompressionProcessing        2      NeutralProcessing                  36     39.13%      0.821
ReassertionProcessing        1      ReassertionProcessing              36     20.69%      2.681
RecoveryResolution           1      CompressionProcessing              34     36.17%      2.772
DecayToNeutral               1      NeutralProcessing                  30     29.13%      0.611
MixedStructure               1      CompressionProcessing              30     10.75%      0.824
NeutralProcessing            6-10   MixedStructure                     30     14.42%      1.240
RecoveryResolution           1      RecoveryResolution                 30     31.91%      5.350
DestructiveRotation          1      NeutralProcessing                  29     40.85%      0.857
NeutralProcessing            1      ExhaustionPersistence              28      6.29%      0.959
NeutralProcessing            6-10   ReassertionProcessing              27     12.98%      1.682
RecoveryResolution           1      NeutralProcessing                  27     28.72%      0.603
NeutralProcessing            2      MixedStructure                     26     10.28%      0.883
DecayToNeutral               1      MixedStructure                     25     24.27%      2.086
MixedStructure               1      DecayToNeutral                     23      8.24%      2.147
NeutralProcessing            2      ReassertionProcessing              23      9.09%      1.178
ExhaustionPersistence        1      ExhaustionPersistence              21     21.65%      3.299
NeutralProcessing            1      DecayToNeutral                     21      4.72%      1.229
RecoveryResolution           2      CompressionProcessing              21     55.26%      4.235
ExhaustionPersistence        1      NeutralProcessing                  20     20.62%      0.433
ReassertionProcessing        1      DestructiveRotation                19     10.92%      3.486
DecayToNeutral               1      DecayToNeutral                     18     17.48%      4.550
MixedStructure               1      ReassertionProcessing              18      6.45%      0.836
RecoveryResolution           3      CompressionProcessing              18     66.67%      5.109
MixedStructure               1      RecoveryResolution                 17      6.09%      1.021
CompressionProcessing        3      CompressionProcessing              16     39.02%      2.990
ExhaustionPersistence        2      ExhaustionPersistence              16     51.61%      7.865
NeutralProcessing            1      DestructiveRotation                15      3.37%      1.076
NeutralProcessing            11-20  NeutralProcessing                  14     46.67%      0.979
ReassertionProcessing        2      NeutralProcessing                  14     43.75%      0.918
CompressionProcessing        1      ExhaustionPersistence              13      7.39%      1.126
DestructiveRotation          1      MixedStructure                     13     18.31%      1.574
ExhaustionPersistence        1      DestructiveRotation                13     13.40%      4.279
MixedStructure               1      ExhaustionPersistence              12      4.30%      0.655
NeutralProcessing            2      CompressionProcessing              12      4.74%      0.363
NeutralProcessing            6-10   CompressionProcessing              12      5.77%      0.442
ReassertionProcessing        1      MixedStructure                     12      6.90%      0.593
RecoveryResolution           2      NeutralProcessing                  12     31.58%      0.663
CompressionProcessing        3      NeutralProcessing                  11     26.83%      0.563
NeutralProcessing            5      MixedStructure                     11     11.58%      0.995
NeutralProcessing            5      ReassertionProcessing              11     11.58%      1.500
CompressionProcessing        2      ExhaustionPersistence              10     10.87%      1.656
NeutralProcessing            1      RecoveryResolution                 10      2.25%      0.377
NeutralProcessing            4      MixedStructure                     10      9.43%      0.811
CompressionProcessing        1      ReassertionProcessing               9      5.11%      0.663
DecayToNeutral               1      DestructiveRotation                 9      8.74%      2.790
DestructiveRotation          1      ExhaustionPersistence               9     12.68%      1.932
ExhaustionPersistence        2      RecoveryResolution                  9     29.03%      4.867
NeutralProcessing            2      RecoveryResolution                  9      3.56%      0.596
NeutralProcessing            3      ReassertionProcessing               9      6.43%      0.833
CompressionProcessing        1      RecoveryResolution                  8      4.55%      0.762
DestructiveRotation          1      ReassertionProcessing               8     11.27%      1.460
ExhaustionPersistence        3      ExhaustionPersistence               8     38.10%      5.805
MixedStructure               2      MixedStructure                      8     28.57%      2.456
NeutralProcessing            6-10   ExhaustionPersistence               8      3.85%      0.586
NeutralProcessing            6-10   RecoveryResolution                  8      3.85%      0.645
CompressionProcessing        1      MixedStructure                      7      3.98%      0.342
CompressionProcessing        4      CompressionProcessing               7     31.82%      2.438
DecayToNeutral               1      ExhaustionPersistence               7      6.80%      1.036
MixedStructure               2      NeutralProcessing                   7     25.00%      0.525
ExhaustionPersistence        2      NeutralProcessing                   6     19.35%      0.406
ExhaustionPersistence        3      NeutralProcessing                   6     28.57%      0.600
ExhaustionPersistence        4      NeutralProcessing                   6     37.50%      0.787
NeutralProcessing            3      MixedStructure                      6      4.29%      0.368
NeutralProcessing            4      ReassertionProcessing               6      5.66%      0.733
NeutralProcessing            6-10   DecayToNeutral                      6      2.88%      0.751
ReassertionProcessing        1      CompressionProcessing               6      3.45%      0.264
ReassertionProcessing        1      DecayToNeutral                      6      3.45%      0.898
CompressionProcessing        4      ExhaustionPersistence               5     22.73%      3.463
CompressionProcessing        4      NeutralProcessing                   5     22.73%      0.477
ConstructiveEmergence        1      MixedStructure                      5     41.67%      3.582
DecayToNeutral               1      CompressionProcessing               5      4.85%      0.372
DecayToNeutral               1      ReassertionProcessing               5      4.85%      0.629
ExhaustionPersistence        5      NeutralProcessing                   5     62.50%      1.312
MixedStructure               1      DestructiveRotation                 5      1.79%      0.572
MixedStructure               2      CompressionProcessing               5     17.86%      1.368
NeutralProcessing            11-20  MixedStructure                      5     16.67%      1.433
ReassertionProcessing        1      ExhaustionPersistence               5      2.87%      0.438
ReassertionProcessing        2      ReassertionProcessing               5     15.62%      2.024
RecoveryResolution           3      NeutralProcessing                   5     18.52%      0.389
CompressionProcessing        3      ExhaustionPersistence               4      9.76%      1.487
ConstructiveEmergence        1      NeutralProcessing                   4     33.33%      0.700
DestructiveRotation          1      CompressionProcessing               4      5.63%      0.432
DestructiveRotation          1      DecayToNeutral                      4      5.63%      1.467
DestructiveRotation          2      NeutralProcessing                   4     33.33%      0.700
ExhaustionPersistence        1      CompressionProcessing               4      4.12%      0.316
ExhaustionPersistence        3      DestructiveRotation                 4     19.05%      6.082
ExhaustionPersistence        4      DecayToNeutral                      4     25.00%      6.510
NeutralProcessing            11-20  ReassertionProcessing               4     13.33%      1.728
NeutralProcessing            3      RecoveryResolution                  4      2.86%      0.479
NeutralProcessing            4      RecoveryResolution                  4      3.77%      0.633
ReassertionProcessing        2      DecayToNeutral                      4     12.50%      3.255
ReassertionProcessing        2      DestructiveRotation                 4     12.50%      3.991
RecoveryResolution           2      ExhaustionPersistence               4     10.53%      1.604
CompressionProcessing        1      DecayToNeutral                      3      1.70%      0.444
CompressionProcessing        1      DestructiveRotation                 3      1.70%      0.544
CompressionProcessing        2      MixedStructure                      3      3.26%      0.280
CompressionProcessing        2      RecoveryResolution                  3      3.26%      0.547
CompressionProcessing        3      DecayToNeutral                      3      7.32%      1.905
CompressionProcessing        3      RecoveryResolution                  3      7.32%      1.227
CompressionProcessing        4      DestructiveRotation                 3     13.64%      4.354
CompressionProcessing        5      ExhaustionPersistence               3     25.00%      3.810
CompressionProcessing        5      NeutralProcessing                   3     25.00%      0.525
ConstructiveEmergence        1      DecayToNeutral                      3     25.00%      6.510
DestructiveRotation          1      DestructiveRotation                 3      4.23%      1.349
DestructiveRotation          2      CompressionProcessing               3     25.00%      1.916
ExhaustionPersistence        4      CompressionProcessing               3     18.75%      1.437
MixedStructure               2      RecoveryResolution                  3     10.71%      1.796
NeutralProcessing            11-20  CompressionProcessing               3     10.00%      0.766
NeutralProcessing            2      ExhaustionPersistence               3      1.19%      0.181
NeutralProcessing            3      ExhaustionPersistence               3      2.14%      0.327
NeutralProcessing            4      CompressionProcessing               3      2.83%      0.217
NeutralProcessing            5      CompressionProcessing               3      3.16%      0.242
ReassertionProcessing        1      RecoveryResolution                  3      1.72%      0.289
RecoveryResolution           1      ExhaustionPersistence               3      3.19%      0.486
RecoveryResolution           3      ExhaustionPersistence               3     11.11%      1.693
CompressionProcessing        3      MixedStructure                      2      4.88%      0.419
CompressionProcessing        3      ReassertionProcessing               2      4.88%      0.632
CompressionProcessing        5      CompressionProcessing               2     16.67%      1.277
CompressionProcessing        5      RecoveryResolution                  2     16.67%      2.794
CompressionProcessing        6-10   CompressionProcessing               2     33.33%      2.554
CompressionProcessing        6-10   MixedStructure                      2     33.33%      2.865
CompressionProcessing        6-10   NeutralProcessing                   2     33.33%      0.700
DecayToNeutral               1      ConstructiveEmergence               2      1.94%      4.340
DecayToNeutral               1      RecoveryResolution                  2      1.94%      0.325
DestructiveRotation          2      ExhaustionPersistence               2     16.67%      2.540
MixedStructure               2      ConstructiveEmergence               2      7.14%     15.964
MixedStructure               2      ReassertionProcessing               2      7.14%      0.925
MixedStructure               3      MixedStructure                      2     40.00%      3.438
MixedStructure               3      NeutralProcessing                   2     40.00%      0.839
NeutralProcessing            11-20  DecayToNeutral                      2      6.67%      1.736
NeutralProcessing            5      DecayToNeutral                      2      2.11%      0.548
NeutralProcessing            5      ExhaustionPersistence               2      2.11%      0.321
NeutralProcessing            6-10   ConstructiveEmergence               2      0.96%      2.149
ReassertionProcessing        2      CompressionProcessing               2      6.25%      0.479
ReassertionProcessing        2      RecoveryResolution                  2      6.25%      1.048
CompressionProcessing        1      ConstructiveEmergence               1      0.57%      1.270
CompressionProcessing        2      ReassertionProcessing               1      1.09%      0.141
CompressionProcessing        4      MixedStructure                      1      4.55%      0.391
CompressionProcessing        4      RecoveryResolution                  1      4.55%      0.762
CompressionProcessing        5      DecayToNeutral                      1      8.33%      2.170
CompressionProcessing        5      MixedStructure                      1      8.33%      0.716
DestructiveRotation          1      RecoveryResolution                  1      1.41%      0.236
DestructiveRotation          2      ConstructiveEmergence               1      8.33%     18.625
DestructiveRotation          2      DecayToNeutral                      1      8.33%      2.170
DestructiveRotation          2      DestructiveRotation                 1      8.33%      2.661
DestructiveRotation          3      CompressionProcessing               1    100.00%      7.663
ExhaustionPersistence        1      DecayToNeutral                      1      1.03%      0.268
ExhaustionPersistence        3      CompressionProcessing               1      4.76%      0.365
ExhaustionPersistence        3      DecayToNeutral                      1      4.76%      1.240
ExhaustionPersistence        3      RecoveryResolution                  1      4.76%      0.798
ExhaustionPersistence        4      DestructiveRotation                 1      6.25%      1.996
ExhaustionPersistence        4      ExhaustionPersistence               1      6.25%      0.952
ExhaustionPersistence        4      MixedStructure                      1      6.25%      0.537
ExhaustionPersistence        5      DestructiveRotation                 1     12.50%      3.991
ExhaustionPersistence        5      ExhaustionPersistence               1     12.50%      1.905
ExhaustionPersistence        5      MixedStructure                      1     12.50%      1.075
ExhaustionPersistence        6-10   ExhaustionPersistence               1     33.33%      5.080
ExhaustionPersistence        6-10   MixedStructure                      1     33.33%      2.865
ExhaustionPersistence        6-10   NeutralProcessing                   1     33.33%      0.700
MixedStructure               1      ConstructiveEmergence               1      0.36%      0.801
MixedStructure               2      ExhaustionPersistence               1      3.57%      0.544
MixedStructure               3      CompressionProcessing               1     20.00%      1.533
MixedStructure               4      NeutralProcessing                   1     50.00%      1.049
MixedStructure               4      ReassertionProcessing               1     50.00%      6.478
NeutralProcessing            11-20  ConstructiveEmergence               1      3.33%      7.450
NeutralProcessing            11-20  ExhaustionPersistence               1      3.33%      0.508
NeutralProcessing            2      ConstructiveEmergence               1      0.40%      0.883
NeutralProcessing            2      DestructiveRotation                 1      0.40%      0.126
NeutralProcessing            3      CompressionProcessing               1      0.71%      0.055
NeutralProcessing            3      ConstructiveEmergence               1      0.71%      1.596
NeutralProcessing            4      DestructiveRotation                 1      0.94%      0.301
NeutralProcessing            4      ExhaustionPersistence               1      0.94%      0.144
ReassertionProcessing        2      ExhaustionPersistence               1      3.12%      0.476
ReassertionProcessing        3      DestructiveRotation                 1    100.00%     31.929
RecoveryResolution           2      RecoveryResolution                  1      2.63%      0.441
RecoveryResolution           3      RecoveryResolution                  1      3.70%      0.621
RecoveryResolution           4      CompressionProcessing               1    100.00%      7.663

Transition Matrix Lag 3
================================
State                        Age    NextState                           N       Prob       Lift
NeutralProcessing            1      NeutralProcessing                 273     61.35%      1.287
NeutralProcessing            2      NeutralProcessing                 184     72.73%      1.526
NeutralProcessing            6-10   NeutralProcessing                 105     50.48%      1.059
NeutralProcessing            3      NeutralProcessing                  98     70.50%      1.479
MixedStructure               1      NeutralProcessing                  91     32.62%      0.684
ReassertionProcessing        1      NeutralProcessing                  72     41.38%      0.868
NeutralProcessing            4      NeutralProcessing                  68     64.15%      1.346
CompressionProcessing        1      CompressionProcessing              62     35.23%      2.698
CompressionProcessing        1      NeutralProcessing                  60     34.09%      0.715
RecoveryResolution           1      CompressionProcessing              53     56.38%      4.319
MixedStructure               1      MixedStructure                     52     18.64%      1.607
NeutralProcessing            5      NeutralProcessing                  48     50.53%      1.060
DecayToNeutral               1      NeutralProcessing                  46     44.66%      0.937
NeutralProcessing            1      MixedStructure                     45     10.11%      0.872
NeutralProcessing            1      ReassertionProcessing              41      9.21%      1.193
MixedStructure               1      CompressionProcessing              36     12.90%      0.988
CompressionProcessing        2      NeutralProcessing                  34     36.96%      0.775
ReassertionProcessing        1      MixedStructure                     33     18.97%      1.635
ExhaustionPersistence        1      RecoveryResolution                 31     31.96%      5.355
NeutralProcessing            1      CompressionProcessing              31      6.97%      0.534
CompressionProcessing        2      CompressionProcessing              29     31.52%      2.415
NeutralProcessing            6-10   ReassertionProcessing              29     13.94%      1.806
NeutralProcessing            2      ReassertionProcessing              28     11.07%      1.433
NeutralProcessing            6-10   MixedStructure                     28     13.46%      1.160
DestructiveRotation          1      NeutralProcessing                  27     38.03%      0.798
RecoveryResolution           1      NeutralProcessing                  27     28.72%      0.603
ExhaustionPersistence        1      NeutralProcessing                  26     26.80%      0.562
ReassertionProcessing        1      ReassertionProcessing              23     13.22%      1.712
RecoveryResolution           2      CompressionProcessing              23     60.53%      4.636
MixedStructure               1      DecayToNeutral                     22      7.89%      2.052
MixedStructure               1      ReassertionProcessing              22      7.89%      1.021
DecayToNeutral               1      MixedStructure                     21     20.39%      1.758
MixedStructure               1      RecoveryResolution                 21      7.53%      1.261
NeutralProcessing            1      RecoveryResolution                 21      4.72%      0.791
ExhaustionPersistence        1      ExhaustionPersistence              19     19.59%      2.984
MixedStructure               1      ExhaustionPersistence              19      6.81%      1.037
NeutralProcessing            2      MixedStructure                     18      7.11%      0.613
CompressionProcessing        1      MixedStructure                     17      9.66%      0.833
NeutralProcessing            6-10   CompressionProcessing              17      8.17%      0.626
CompressionProcessing        1      ExhaustionPersistence              16      9.09%      1.385
NeutralProcessing            11-20  NeutralProcessing                  14     46.67%      0.979
NeutralProcessing            3      MixedStructure                     14     10.07%      0.868
NeutralProcessing            4      ReassertionProcessing              14     13.21%      1.711
NeutralProcessing            5      MixedStructure                     14     14.74%      1.270
ReassertionProcessing        1      DecayToNeutral                     14      8.05%      2.094
