APVA Process Graph Study v0.1 - Aggregate
============================================================================================================
Instruments: 6E, CL, NQ

Aggregate Node Table
Node | Count_6E | Count_CL | Count_NQ | ReplicationCount | ReplicationPercent | Classification
CompressionProcessing_Age1 | 2928 | 177 | 89 | 3 | 100.00% | FullyReplicated
CompressionProcessing_Age11-20 | 5 | 0 | 0 | 1 | 33.33% | InstrumentSpecific
CompressionProcessing_Age2 | 1659 | 92 | 51 | 3 | 100.00% | FullyReplicated
CompressionProcessing_Age3 | 840 | 41 | 30 | 3 | 100.00% | FullyReplicated
CompressionProcessing_Age4 | 528 | 22 | 18 | 3 | 100.00% | FullyReplicated
CompressionProcessing_Age5 | 282 | 12 | 8 | 3 | 100.00% | FullyReplicated
CompressionProcessing_Age6-10 | 247 | 6 | 9 | 3 | 100.00% | FullyReplicated
ConstructiveEmergence_Age1 | 83 | 12 | 14 | 3 | 100.00% | FullyReplicated
DecayToNeutral_Age1 | 1486 | 103 | 86 | 3 | 100.00% | FullyReplicated
DestructiveRotation_Age1 | 836 | 71 | 63 | 3 | 100.00% | FullyReplicated
DestructiveRotation_Age2 | 100 | 12 | 11 | 3 | 100.00% | FullyReplicated
DestructiveRotation_Age3 | 11 | 1 | 5 | 3 | 100.00% | FullyReplicated
DestructiveRotation_Age4 | 1 | 0 | 0 | 1 | 33.33% | InstrumentSpecific
ExhaustionPersistence_Age1 | 1116 | 97 | 51 | 3 | 100.00% | FullyReplicated
ExhaustionPersistence_Age2 | 304 | 31 | 19 | 3 | 100.00% | FullyReplicated
ExhaustionPersistence_Age3 | 234 | 21 | 14 | 3 | 100.00% | FullyReplicated
ExhaustionPersistence_Age4 | 143 | 16 | 11 | 3 | 100.00% | FullyReplicated
ExhaustionPersistence_Age5 | 58 | 8 | 6 | 3 | 100.00% | FullyReplicated
ExhaustionPersistence_Age6-10 | 29 | 3 | 6 | 3 | 100.00% | FullyReplicated
MixedStructure_Age1 | 3265 | 279 | 183 | 3 | 100.00% | FullyReplicated
MixedStructure_Age2 | 355 | 28 | 27 | 3 | 100.00% | FullyReplicated
MixedStructure_Age3 | 42 | 5 | 4 | 3 | 100.00% | FullyReplicated
MixedStructure_Age4 | 8 | 2 | 2 | 3 | 100.00% | FullyReplicated
MixedStructure_Age5 | 1 | 0 | 0 | 1 | 33.33% | InstrumentSpecific
NeutralProcessing_Age1 | 5672 | 446 | 297 | 3 | 100.00% | FullyReplicated
NeutralProcessing_Age11-20 | 891 | 30 | 37 | 3 | 100.00% | FullyReplicated
NeutralProcessing_Age2 | 3205 | 253 | 175 | 3 | 100.00% | FullyReplicated
NeutralProcessing_Age21+ | 82 | 0 | 0 | 1 | 33.33% | InstrumentSpecific
NeutralProcessing_Age3 | 1754 | 140 | 112 | 3 | 100.00% | FullyReplicated
NeutralProcessing_Age4 | 1312 | 106 | 83 | 3 | 100.00% | FullyReplicated
NeutralProcessing_Age5 | 1192 | 95 | 80 | 3 | 100.00% | FullyReplicated
NeutralProcessing_Age6-10 | 2884 | 208 | 192 | 3 | 100.00% | FullyReplicated
ReassertionProcessing_Age1 | 1759 | 174 | 147 | 3 | 100.00% | FullyReplicated
ReassertionProcessing_Age2 | 237 | 32 | 31 | 3 | 100.00% | FullyReplicated
ReassertionProcessing_Age3 | 15 | 1 | 1 | 3 | 100.00% | FullyReplicated
RecoveryResolution_Age1 | 1079 | 94 | 46 | 3 | 100.00% | FullyReplicated
RecoveryResolution_Age2 | 339 | 38 | 13 | 3 | 100.00% | FullyReplicated
RecoveryResolution_Age3 | 251 | 27 | 9 | 3 | 100.00% | FullyReplicated
RecoveryResolution_Age4 | 16 | 1 | 0 | 2 | 66.67% | PartiallyReplicated
RecoveryResolution_Age5 | 6 | 0 | 0 | 1 | 33.33% | InstrumentSpecific
RecoveryResolution_Age6-10 | 5 | 0 | 0 | 1 | 33.33% | InstrumentSpecific

Aggregate Edge Table
SourceNode | DestinationNode | Prob_6E | Prob_CL | Prob_NQ | ReplicationCount | MeanProbability | Classification
CompressionProcessing_Age5 | DecayToNeutral_Age1 | 7.80% | N/A | N/A | 1 | 7.80% | InstrumentSpecific
CompressionProcessing_Age5 | DestructiveRotation_Age1 | 3.19% | 8.33% | N/A | 2 | 5.76% | PartiallyReplicated
CompressionProcessing_Age5 | ExhaustionPersistence_Age1 | 6.74% | 33.33% | N/A | 2 | 20.04% | PartiallyReplicated
CompressionProcessing_Age5 | MixedStructure_Age1 | 4.26% | 8.33% | 12.50% | 3 | 8.36% | FullyReplicated
CompressionProcessing_Age5 | NeutralProcessing_Age1 | 26.95% | 8.33% | 37.50% | 3 | 24.26% | FullyReplicated
CompressionProcessing_Age5 | ReassertionProcessing_Age1 | 1.77% | N/A | 12.50% | 2 | 7.14% | PartiallyReplicated
CompressionProcessing_Age5 | RecoveryResolution_Age1 | 4.26% | N/A | N/A | 1 | 4.26% | InstrumentSpecific
CompressionProcessing_Age6-10 | CompressionProcessing_Age11-20 | 1.21% | N/A | N/A | 1 | 1.21% | InstrumentSpecific
CompressionProcessing_Age6-10 | CompressionProcessing_Age6-10 | 48.58% | 16.67% | 66.67% | 3 | 43.97% | FullyReplicated
CompressionProcessing_Age6-10 | DecayToNeutral_Age1 | 5.26% | N/A | N/A | 1 | 5.26% | InstrumentSpecific
CompressionProcessing_Age6-10 | DestructiveRotation_Age1 | 0.81% | N/A | N/A | 1 | 0.81% | InstrumentSpecific
CompressionProcessing_Age6-10 | ExhaustionPersistence_Age1 | 6.48% | N/A | N/A | 1 | 6.48% | InstrumentSpecific
CompressionProcessing_Age6-10 | MixedStructure_Age1 | 6.48% | 16.67% | N/A | 2 | 11.57% | PartiallyReplicated
CompressionProcessing_Age6-10 | NeutralProcessing_Age1 | 25.51% | 50.00% | 22.22% | 3 | 32.58% | FullyReplicated
CompressionProcessing_Age6-10 | ReassertionProcessing_Age1 | 0.81% | N/A | N/A | 1 | 0.81% | InstrumentSpecific
CompressionProcessing_Age6-10 | RecoveryResolution_Age1 | 4.86% | 16.67% | 11.11% | 3 | 10.88% | FullyReplicated
ConstructiveEmergence_Age1 | CompressionProcessing_Age1 | 7.23% | N/A | N/A | 1 | 7.23% | InstrumentSpecific
ConstructiveEmergence_Age1 | DecayToNeutral_Age1 | 13.25% | 25.00% | 7.14% | 3 | 15.13% | FullyReplicated
ConstructiveEmergence_Age1 | MixedStructure_Age1 | 46.99% | 41.67% | 64.29% | 3 | 50.98% | FullyReplicated
ConstructiveEmergence_Age1 | NeutralProcessing_Age1 | 32.53% | 33.33% | 28.57% | 3 | 31.48% | FullyReplicated
DecayToNeutral_Age1 | CompressionProcessing_Age1 | 6.73% | 1.94% | 1.16% | 3 | 3.28% | FullyReplicated
DecayToNeutral_Age1 | ConstructiveEmergence_Age1 | 0.40% | 0.97% | 1.16% | 3 | 0.85% | FullyReplicated
DecayToNeutral_Age1 | DestructiveRotation_Age1 | 8.55% | 10.68% | 6.98% | 3 | 8.73% | FullyReplicated
DecayToNeutral_Age1 | MixedStructure_Age1 | 28.47% | 25.24% | 24.42% | 3 | 26.04% | FullyReplicated
DecayToNeutral_Age1 | NeutralProcessing_Age1 | 54.58% | 61.17% | 66.28% | 3 | 60.67% | FullyReplicated
DecayToNeutral_Age1 | ReassertionProcessing_Age1 | 1.28% | N/A | N/A | 1 | 1.28% | InstrumentSpecific
DestructiveRotation_Age1 | CompressionProcessing_Age1 | 2.99% | 1.41% | 3.17% | 3 | 2.52% | FullyReplicated
DestructiveRotation_Age1 | ConstructiveEmergence_Age1 | 0.36% | N/A | N/A | 1 | 0.36% | InstrumentSpecific
DestructiveRotation_Age1 | DecayToNeutral_Age1 | 29.78% | 28.17% | 26.98% | 3 | 28.31% | FullyReplicated
DestructiveRotation_Age1 | DestructiveRotation_Age2 | 11.96% | 16.90% | 17.46% | 3 | 15.44% | FullyReplicated
DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | 11.36% | 7.04% | 12.70% | 3 | 10.37% | FullyReplicated
DestructiveRotation_Age1 | MixedStructure_Age1 | 5.02% | 1.41% | 3.17% | 3 | 3.20% | FullyReplicated
DestructiveRotation_Age1 | NeutralProcessing_Age1 | 27.27% | 35.21% | 25.40% | 3 | 29.29% | FullyReplicated
DestructiveRotation_Age1 | ReassertionProcessing_Age1 | 6.10% | 4.23% | 7.94% | 3 | 6.09% | FullyReplicated
DestructiveRotation_Age1 | RecoveryResolution_Age1 | 5.14% | 5.63% | 3.17% | 3 | 4.65% | FullyReplicated
DestructiveRotation_Age2 | CompressionProcessing_Age1 | 2.00% | 8.33% | N/A | 2 | 5.17% | PartiallyReplicated
DestructiveRotation_Age2 | DecayToNeutral_Age1 | 45.00% | 33.33% | 18.18% | 3 | 32.17% | FullyReplicated
DestructiveRotation_Age2 | DestructiveRotation_Age3 | 11.00% | 8.33% | 45.45% | 3 | 21.60% | FullyReplicated
DestructiveRotation_Age2 | ExhaustionPersistence_Age1 | 15.00% | 25.00% | 18.18% | 3 | 19.39% | FullyReplicated
DestructiveRotation_Age2 | MixedStructure_Age1 | 5.00% | N/A | N/A | 1 | 5.00% | InstrumentSpecific
DestructiveRotation_Age2 | NeutralProcessing_Age1 | 10.00% | 16.67% | 9.09% | 3 | 11.92% | FullyReplicated
DestructiveRotation_Age2 | ReassertionProcessing_Age1 | 6.00% | N/A | N/A | 1 | 6.00% | InstrumentSpecific
DestructiveRotation_Age2 | RecoveryResolution_Age1 | 6.00% | 8.33% | 9.09% | 3 | 7.81% | FullyReplicated
DestructiveRotation_Age3 | CompressionProcessing_Age1 | 9.09% | 100.00% | N/A | 2 | 54.55% | PartiallyReplicated
DestructiveRotation_Age3 | DecayToNeutral_Age1 | 63.64% | N/A | 80.00% | 2 | 71.82% | PartiallyReplicated
DestructiveRotation_Age3 | DestructiveRotation_Age4 | 9.09% | N/A | N/A | 1 | 9.09% | InstrumentSpecific
DestructiveRotation_Age3 | MixedStructure_Age1 | N/A | N/A | 20.00% | 1 | 20.00% | InstrumentSpecific
DestructiveRotation_Age3 | NeutralProcessing_Age1 | 18.18% | N/A | N/A | 1 | 18.18% | InstrumentSpecific
DestructiveRotation_Age4 | DecayToNeutral_Age1 | 100.00% | N/A | N/A | 1 | 100.00% | InstrumentSpecific
ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | 12.99% | 7.22% | 5.88% | 3 | 8.70% | FullyReplicated
ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 19.53% | 17.53% | 21.57% | 3 | 19.54% | FullyReplicated
ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | 4.30% | 2.06% | 7.84% | 3 | 4.74% | FullyReplicated
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 27.24% | 31.96% | 37.25% | 3 | 32.15% | FullyReplicated
ExhaustionPersistence_Age1 | NeutralProcessing_Age1 | 14.70% | 11.34% | 11.76% | 3 | 12.60% | FullyReplicated
ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 21.24% | 29.90% | 15.69% | 3 | 22.27% | FullyReplicated
ExhaustionPersistence_Age2 | ExhaustionPersistence_Age3 | 76.97% | 67.74% | 73.68% | 3 | 72.80% | FullyReplicated
ExhaustionPersistence_Age2 | NeutralProcessing_Age1 | 0.99% | 3.23% | N/A | 2 | 2.11% | PartiallyReplicated
ExhaustionPersistence_Age2 | RecoveryResolution_Age1 | 22.04% | 29.03% | 26.32% | 3 | 25.80% | FullyReplicated
ExhaustionPersistence_Age3 | DecayToNeutral_Age1 | 0.85% | N/A | N/A | 1 | 0.85% | InstrumentSpecific
ExhaustionPersistence_Age3 | ExhaustionPersistence_Age4 | 61.11% | 76.19% | 78.57% | 3 | 71.96% | FullyReplicated
ExhaustionPersistence_Age3 | NeutralProcessing_Age1 | 30.34% | 23.81% | 21.43% | 3 | 25.19% | FullyReplicated
ExhaustionPersistence_Age3 | RecoveryResolution_Age1 | 7.69% | N/A | N/A | 1 | 7.69% | InstrumentSpecific
ExhaustionPersistence_Age4 | CompressionProcessing_Age1 | 9.79% | 6.25% | 9.09% | 3 | 8.38% | FullyReplicated
ExhaustionPersistence_Age4 | DecayToNeutral_Age1 | 22.38% | 6.25% | N/A | 2 | 14.31% | PartiallyReplicated
ExhaustionPersistence_Age4 | DestructiveRotation_Age1 | 3.50% | 12.50% | 18.18% | 3 | 11.39% | FullyReplicated
ExhaustionPersistence_Age4 | ExhaustionPersistence_Age5 | 40.56% | 50.00% | 54.55% | 3 | 48.37% | FullyReplicated
ExhaustionPersistence_Age4 | NeutralProcessing_Age1 | 16.08% | 18.75% | 9.09% | 3 | 14.64% | FullyReplicated
ExhaustionPersistence_Age4 | RecoveryResolution_Age1 | 7.69% | 6.25% | 9.09% | 3 | 7.68% | FullyReplicated
ExhaustionPersistence_Age5 | CompressionProcessing_Age1 | 12.07% | 12.50% | 16.67% | 3 | 13.75% | FullyReplicated
ExhaustionPersistence_Age5 | DecayToNeutral_Age1 | 24.14% | 25.00% | N/A | 2 | 24.57% | PartiallyReplicated
ExhaustionPersistence_Age5 | DestructiveRotation_Age1 | 10.34% | 12.50% | N/A | 2 | 11.42% | PartiallyReplicated
ExhaustionPersistence_Age5 | ExhaustionPersistence_Age6-10 | 31.03% | 12.50% | 66.67% | 3 | 36.73% | FullyReplicated
ExhaustionPersistence_Age5 | NeutralProcessing_Age1 | 17.24% | 37.50% | N/A | 2 | 27.37% | PartiallyReplicated
ExhaustionPersistence_Age5 | RecoveryResolution_Age1 | 5.17% | N/A | 16.67% | 2 | 10.92% | PartiallyReplicated
ExhaustionPersistence_Age6-10 | CompressionProcessing_Age1 | 3.45% | N/A | N/A | 1 | 3.45% | InstrumentSpecific
ExhaustionPersistence_Age6-10 | DecayToNeutral_Age1 | 31.03% | N/A | 16.67% | 2 | 23.85% | PartiallyReplicated
ExhaustionPersistence_Age6-10 | DestructiveRotation_Age1 | N/A | N/A | 33.33% | 1 | 33.33% | InstrumentSpecific
ExhaustionPersistence_Age6-10 | ExhaustionPersistence_Age6-10 | 37.93% | 66.67% | 33.33% | 3 | 45.98% | FullyReplicated
ExhaustionPersistence_Age6-10 | NeutralProcessing_Age1 | 13.79% | 33.33% | 16.67% | 3 | 21.26% | FullyReplicated
ExhaustionPersistence_Age6-10 | RecoveryResolution_Age1 | 13.79% | N/A | N/A | 1 | 13.79% | InstrumentSpecific
MixedStructure_Age1 | CompressionProcessing_Age1 | 2.79% | 1.79% | 2.19% | 3 | 2.26% | FullyReplicated
MixedStructure_Age1 | ConstructiveEmergence_Age1 | 0.61% | 1.08% | 0.55% | 3 | 0.74% | FullyReplicated
MixedStructure_Age1 | DecayToNeutral_Age1 | 20.28% | 15.77% | 19.13% | 3 | 18.39% | FullyReplicated
MixedStructure_Age1 | DestructiveRotation_Age1 | 2.05% | 1.08% | 1.09% | 3 | 1.41% | FullyReplicated
MixedStructure_Age1 | ExhaustionPersistence_Age1 | 12.22% | 13.98% | 13.11% | 3 | 13.11% | FullyReplicated
MixedStructure_Age1 | MixedStructure_Age2 | 10.88% | 10.04% | 14.75% | 3 | 11.89% | FullyReplicated
MixedStructure_Age1 | NeutralProcessing_Age1 | 37.35% | 41.22% | 35.52% | 3 | 38.03% | FullyReplicated
MixedStructure_Age1 | ReassertionProcessing_Age1 | 4.41% | 6.09% | 7.10% | 3 | 5.87% | FullyReplicated
MixedStructure_Age1 | RecoveryResolution_Age1 | 9.41% | 8.96% | 6.56% | 3 | 8.31% | FullyReplicated
MixedStructure_Age2 | CompressionProcessing_Age1 | 1.97% | 3.57% | N/A | 2 | 2.77% | PartiallyReplicated
MixedStructure_Age2 | DecayToNeutral_Age1 | 29.86% | 28.57% | 25.93% | 3 | 28.12% | FullyReplicated
MixedStructure_Age2 | DestructiveRotation_Age1 | 0.56% | N/A | 3.70% | 2 | 2.13% | PartiallyReplicated
MixedStructure_Age2 | ExhaustionPersistence_Age1 | 12.11% | 10.71% | N/A | 2 | 11.41% | PartiallyReplicated
MixedStructure_Age2 | MixedStructure_Age3 | 11.83% | 17.86% | 14.81% | 3 | 14.83% | FullyReplicated
MixedStructure_Age2 | NeutralProcessing_Age1 | 31.27% | 25.00% | 33.33% | 3 | 29.87% | FullyReplicated
MixedStructure_Age2 | ReassertionProcessing_Age1 | 5.07% | N/A | 7.41% | 2 | 6.24% | PartiallyReplicated
MixedStructure_Age2 | RecoveryResolution_Age1 | 7.32% | 14.29% | 14.81% | 3 | 12.14% | FullyReplicated
MixedStructure_Age3 | ConstructiveEmergence_Age1 | N/A | 40.00% | N/A | 1 | 40.00% | InstrumentSpecific
MixedStructure_Age3 | DecayToNeutral_Age1 | 40.48% | N/A | 25.00% | 2 | 32.74% | PartiallyReplicated
MixedStructure_Age3 | DestructiveRotation_Age1 | 2.38% | N/A | 25.00% | 2 | 13.69% | PartiallyReplicated
MixedStructure_Age3 | ExhaustionPersistence_Age1 | 19.05% | N/A | N/A | 1 | 19.05% | InstrumentSpecific
MixedStructure_Age3 | MixedStructure_Age4 | 19.05% | 40.00% | 50.00% | 3 | 36.35% | FullyReplicated
MixedStructure_Age3 | NeutralProcessing_Age1 | 7.14% | N/A | N/A | 1 | 7.14% | InstrumentSpecific
MixedStructure_Age3 | RecoveryResolution_Age1 | 11.90% | 20.00% | N/A | 2 | 15.95% | PartiallyReplicated
MixedStructure_Age4 | DecayToNeutral_Age1 | 37.50% | N/A | N/A | 1 | 37.50% | InstrumentSpecific
MixedStructure_Age4 | DestructiveRotation_Age1 | N/A | N/A | 50.00% | 1 | 50.00% | InstrumentSpecific
MixedStructure_Age4 | ExhaustionPersistence_Age1 | 25.00% | N/A | N/A | 1 | 25.00% | InstrumentSpecific
MixedStructure_Age4 | MixedStructure_Age5 | 12.50% | N/A | N/A | 1 | 12.50% | InstrumentSpecific
MixedStructure_Age4 | NeutralProcessing_Age1 | 25.00% | 100.00% | 50.00% | 3 | 58.33% | FullyReplicated
MixedStructure_Age5 | DecayToNeutral_Age1 | 100.00% | N/A | N/A | 1 | 100.00% | InstrumentSpecific
NeutralProcessing_Age1 | CompressionProcessing_Age1 | 14.72% | 10.11% | 7.07% | 3 | 10.63% | FullyReplicated
NeutralProcessing_Age1 | ConstructiveEmergence_Age1 | 0.35% | 0.67% | 1.35% | 3 | 0.79% | FullyReplicated
NeutralProcessing_Age1 | DestructiveRotation_Age1 | 4.18% | 3.37% | 4.38% | 3 | 3.98% | FullyReplicated
NeutralProcessing_Age1 | MixedStructure_Age1 | 14.90% | 14.83% | 13.13% | 3 | 14.29% | FullyReplicated
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 56.51% | 56.85% | 58.92% | 3 | 57.43% | FullyReplicated
NeutralProcessing_Age1 | ReassertionProcessing_Age1 | 9.34% | 14.16% | 15.15% | 3 | 12.88% | FullyReplicated
NeutralProcessing_Age11-20 | CompressionProcessing_Age1 | 5.16% | 6.67% | 5.41% | 3 | 5.74% | FullyReplicated
NeutralProcessing_Age11-20 | ConstructiveEmergence_Age1 | 0.11% | N/A | 2.70% | 2 | 1.41% | PartiallyReplicated
