APVA Memory Forecast Study v0.1
============================================================================================================
Diagnostics
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
Node count: 34

1. Memory Stream Reconstruction
Bar | StateAgeNode | NodeCategory | MemoryStrength | HalfLife | ForecastConfidence | EntropyGrowth | AttentionCategory
40 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
41 | MixedStructure_Age2 | Insufficient Node | 0.2119 | 10.00 | 0.0741 | 1.3162 | Insufficient Node
42 | DecayToNeutral_Age1 | Secondary Node | 0.2590 | 3.00 | 0.4186 | 2.0054 | Secondary Node
43 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
44 | DecayToNeutral_Age1 | Secondary Node | 0.2590 | 3.00 | 0.4186 | 2.0054 | Secondary Node
45 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
46 | MixedStructure_Age2 | Insufficient Node | 0.2119 | 10.00 | 0.0741 | 1.3162 | Insufficient Node
47 | MixedStructure_Age3 | Insufficient Node | 0.1111 | 3.00 | 0.2500 | 1.8689 | Insufficient Node
48 | DecayToNeutral_Age1 | Secondary Node | 0.2590 | 3.00 | 0.4186 | 2.0054 | Secondary Node
49 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
50 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
51 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
52 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
53 | MixedStructure_Age2 | Insufficient Node | 0.2119 | 10.00 | 0.0741 | 1.3162 | Insufficient Node
54 | RecoveryResolution_Age1 | Insufficient Node | 0.2331 | 5.00 | 0.2826 | 1.9609 | Insufficient Node
55 | CompressionProcessing_Age1 | Secondary Node | 0.2266 | 3.00 | 0.2809 | 1.7915 | Secondary Node
56 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
57 | NeutralProcessing_Age2 | Core Node | 0.2959 | 5.00 | 0.4800 | 1.8695 | Core Node
58 | NeutralProcessing_Age3 | Core Node | 0.3638 | 5.00 | 0.5804 | 2.1324 | Core Node
59 | NeutralProcessing_Age4 | Core Node | 0.3723 | 5.00 | 0.9518 | 2.7514 | Core Node
60 | NeutralProcessing_Age5 | Core Node | 0.3030 | 3.00 | 0.8125 | 2.4469 | Core Node
61 | NeutralProcessing_Age6-10 | Secondary Node | 0.1972 | 3.00 | 0.5079 | 1.6973 | Secondary Node
62 | NeutralProcessing_Age6-10 | Secondary Node | 0.1972 | 3.00 | 0.5079 | 1.6973 | Secondary Node
63 | ReassertionProcessing_Age1 | Weak Node | 0.1818 | 3.00 | 0.0748 | 1.5848 | Weak Node
64 | ReassertionProcessing_Age2 | Insufficient Node | 0.1971 | 2.00 | 0.3226 | 1.9651 | Insufficient Node
65 | CompressionProcessing_Age1 | Secondary Node | 0.2266 | 3.00 | 0.2809 | 1.7915 | Secondary Node
66 | CompressionProcessing_Age2 | Weak Node | 0.2113 | 3.00 | 0.2941 | 1.8148 | Weak Node
67 | CompressionProcessing_Age3 | Insufficient Node | 0.2537 | 2.00 | 0.4333 | 1.7274 | Insufficient Node
68 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
69 | NeutralProcessing_Age2 | Core Node | 0.2959 | 5.00 | 0.4800 | 1.8695 | Core Node
70 | NeutralProcessing_Age3 | Core Node | 0.3638 | 5.00 | 0.5804 | 2.1324 | Core Node
71 | NeutralProcessing_Age4 | Core Node | 0.3723 | 5.00 | 0.9518 | 2.7514 | Core Node
72 | NeutralProcessing_Age5 | Core Node | 0.3030 | 3.00 | 0.8125 | 2.4469 | Core Node
73 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
74 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
75 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
76 | DecayToNeutral_Age1 | Secondary Node | 0.2590 | 3.00 | 0.4186 | 2.0054 | Secondary Node
77 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
78 | NeutralProcessing_Age2 | Core Node | 0.2959 | 5.00 | 0.4800 | 1.8695 | Core Node
79 | NeutralProcessing_Age3 | Core Node | 0.3638 | 5.00 | 0.5804 | 2.1324 | Core Node
80 | NeutralProcessing_Age4 | Core Node | 0.3723 | 5.00 | 0.9518 | 2.7514 | Core Node
81 | ReassertionProcessing_Age1 | Weak Node | 0.1818 | 3.00 | 0.0748 | 1.5848 | Weak Node
82 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
83 | ReassertionProcessing_Age1 | Weak Node | 0.1818 | 3.00 | 0.0748 | 1.5848 | Weak Node
84 | DestructiveRotation_Age1 | Weak Node | 0.1808 | 5.00 | 0.0159 | 1.1153 | Weak Node
85 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
86 | ReassertionProcessing_Age1 | Weak Node | 0.1818 | 3.00 | 0.0748 | 1.5848 | Weak Node
87 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
88 | NeutralProcessing_Age2 | Core Node | 0.2959 | 5.00 | 0.4800 | 1.8695 | Core Node
89 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
90 | ExhaustionPersistence_Age1 | Secondary Node | 0.2048 | 8.00 | 0.1569 | 1.3170 | Secondary Node
91 | ExhaustionPersistence_Age2 | Insufficient Node | 0.3480 | 3.00 | 0.4737 | 2.3484 | Insufficient Node
92 | ExhaustionPersistence_Age3 | Insufficient Node | 0.1667 | 3.00 | 0.5714 | 2.4008 | Insufficient Node
93 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
94 | DestructiveRotation_Age1 | Weak Node | 0.1808 | 5.00 | 0.0159 | 1.1153 | Weak Node
95 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
96 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
97 | NeutralProcessing_Age2 | Core Node | 0.2959 | 5.00 | 0.4800 | 1.8695 | Core Node
98 | NeutralProcessing_Age3 | Core Node | 0.3638 | 5.00 | 0.5804 | 2.1324 | Core Node
99 | NeutralProcessing_Age4 | Core Node | 0.3723 | 5.00 | 0.9518 | 2.7514 | Core Node
100 | NeutralProcessing_Age5 | Core Node | 0.3030 | 3.00 | 0.8125 | 2.4469 | Core Node
101 | NeutralProcessing_Age6-10 | Secondary Node | 0.1972 | 3.00 | 0.5079 | 1.6973 | Secondary Node
102 | ExhaustionPersistence_Age1 | Secondary Node | 0.2048 | 8.00 | 0.1569 | 1.3170 | Secondary Node
103 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
104 | NeutralProcessing_Age2 | Core Node | 0.2959 | 5.00 | 0.4800 | 1.8695 | Core Node
105 | NeutralProcessing_Age3 | Core Node | 0.3638 | 5.00 | 0.5804 | 2.1324 | Core Node
106 | NeutralProcessing_Age4 | Core Node | 0.3723 | 5.00 | 0.9518 | 2.7514 | Core Node
107 | NeutralProcessing_Age5 | Core Node | 0.3030 | 3.00 | 0.8125 | 2.4469 | Core Node
108 | NeutralProcessing_Age6-10 | Secondary Node | 0.1972 | 3.00 | 0.5079 | 1.6973 | Secondary Node
109 | ReassertionProcessing_Age1 | Weak Node | 0.1818 | 3.00 | 0.0748 | 1.5848 | Weak Node
110 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
111 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
112 | NeutralProcessing_Age2 | Core Node | 0.2959 | 5.00 | 0.4800 | 1.8695 | Core Node
113 | NeutralProcessing_Age3 | Core Node | 0.3638 | 5.00 | 0.5804 | 2.1324 | Core Node
114 | NeutralProcessing_Age4 | Core Node | 0.3723 | 5.00 | 0.9518 | 2.7514 | Core Node
115 | NeutralProcessing_Age5 | Core Node | 0.3030 | 3.00 | 0.8125 | 2.4469 | Core Node
116 | ReassertionProcessing_Age1 | Weak Node | 0.1818 | 3.00 | 0.0748 | 1.5848 | Weak Node
117 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
118 | DecayToNeutral_Age1 | Secondary Node | 0.2590 | 3.00 | 0.4186 | 2.0054 | Secondary Node
119 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
120 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
121 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
122 | ReassertionProcessing_Age1 | Weak Node | 0.1818 | 3.00 | 0.0748 | 1.5848 | Weak Node
123 | CompressionProcessing_Age1 | Secondary Node | 0.2266 | 3.00 | 0.2809 | 1.7915 | Secondary Node
124 | CompressionProcessing_Age2 | Weak Node | 0.2113 | 3.00 | 0.2941 | 1.8148 | Weak Node
125 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
126 | CompressionProcessing_Age1 | Secondary Node | 0.2266 | 3.00 | 0.2809 | 1.7915 | Secondary Node
127 | CompressionProcessing_Age2 | Weak Node | 0.2113 | 3.00 | 0.2941 | 1.8148 | Weak Node
128 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
129 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
130 | MixedStructure_Age2 | Insufficient Node | 0.2119 | 10.00 | 0.0741 | 1.3162 | Insufficient Node
131 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
132 | NeutralProcessing_Age2 | Core Node | 0.2959 | 5.00 | 0.4800 | 1.8695 | Core Node
133 | ReassertionProcessing_Age1 | Weak Node | 0.1818 | 3.00 | 0.0748 | 1.5848 | Weak Node
134 | ReassertionProcessing_Age2 | Insufficient Node | 0.1971 | 2.00 | 0.3226 | 1.9651 | Insufficient Node
135 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
136 | NeutralProcessing_Age2 | Core Node | 0.2959 | 5.00 | 0.4800 | 1.8695 | Core Node
137 | NeutralProcessing_Age3 | Core Node | 0.3638 | 5.00 | 0.5804 | 2.1324 | Core Node
138 | NeutralProcessing_Age4 | Core Node | 0.3723 | 5.00 | 0.9518 | 2.7514 | Core Node
139 | NeutralProcessing_Age5 | Core Node | 0.3030 | 3.00 | 0.8125 | 2.4469 | Core Node
140 | NeutralProcessing_Age6-10 | Secondary Node | 0.1972 | 3.00 | 0.5079 | 1.6973 | Secondary Node
141 | NeutralProcessing_Age6-10 | Secondary Node | 0.1972 | 3.00 | 0.5079 | 1.6973 | Secondary Node
142 | NeutralProcessing_Age6-10 | Secondary Node | 0.1972 | 3.00 | 0.5079 | 1.6973 | Secondary Node
143 | CompressionProcessing_Age1 | Secondary Node | 0.2266 | 3.00 | 0.2809 | 1.7915 | Secondary Node
144 | CompressionProcessing_Age2 | Weak Node | 0.2113 | 3.00 | 0.2941 | 1.8148 | Weak Node
145 | CompressionProcessing_Age3 | Insufficient Node | 0.2537 | 2.00 | 0.4333 | 1.7274 | Insufficient Node
146 | DecayToNeutral_Age1 | Secondary Node | 0.2590 | 3.00 | 0.4186 | 2.0054 | Secondary Node
147 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
148 | NeutralProcessing_Age2 | Core Node | 0.2959 | 5.00 | 0.4800 | 1.8695 | Core Node
149 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
150 | ExhaustionPersistence_Age1 | Secondary Node | 0.2048 | 8.00 | 0.1569 | 1.3170 | Secondary Node
151 | DestructiveRotation_Age1 | Weak Node | 0.1808 | 5.00 | 0.0159 | 1.1153 | Weak Node
152 | DestructiveRotation_Age2 | Insufficient Node | 0.3081 | 5.00 | 0.2727 | 1.4967 | Insufficient Node
153 | DecayToNeutral_Age1 | Secondary Node | 0.2590 | 3.00 | 0.4186 | 2.0054 | Secondary Node
154 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
155 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
156 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
157 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
158 | DecayToNeutral_Age1 | Secondary Node | 0.2590 | 3.00 | 0.4186 | 2.0054 | Secondary Node
159 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
160 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
161 | RecoveryResolution_Age1 | Insufficient Node | 0.2331 | 5.00 | 0.2826 | 1.9609 | Insufficient Node
162 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
163 | NeutralProcessing_Age2 | Core Node | 0.2959 | 5.00 | 0.4800 | 1.8695 | Core Node
164 | NeutralProcessing_Age3 | Core Node | 0.3638 | 5.00 | 0.5804 | 2.1324 | Core Node
165 | CompressionProcessing_Age1 | Secondary Node | 0.2266 | 3.00 | 0.2809 | 1.7915 | Secondary Node
166 | ExhaustionPersistence_Age1 | Secondary Node | 0.2048 | 8.00 | 0.1569 | 1.3170 | Secondary Node
167 | RecoveryResolution_Age1 | Insufficient Node | 0.2331 | 5.00 | 0.2826 | 1.9609 | Insufficient Node
168 | RecoveryResolution_Age2 | Insufficient Node | 0.3248 | 3.00 | 0.3846 | 2.3097 | Insufficient Node
169 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
170 | CompressionProcessing_Age1 | Secondary Node | 0.2266 | 3.00 | 0.2809 | 1.7915 | Secondary Node
171 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
172 | NeutralProcessing_Age2 | Core Node | 0.2959 | 5.00 | 0.4800 | 1.8695 | Core Node
173 | NeutralProcessing_Age3 | Core Node | 0.3638 | 5.00 | 0.5804 | 2.1324 | Core Node
174 | ReassertionProcessing_Age1 | Weak Node | 0.1818 | 3.00 | 0.0748 | 1.5848 | Weak Node
175 | ReassertionProcessing_Age2 | Insufficient Node | 0.1971 | 2.00 | 0.3226 | 1.9651 | Insufficient Node
176 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
177 | DestructiveRotation_Age1 | Weak Node | 0.1808 | 5.00 | 0.0159 | 1.1153 | Weak Node
178 | DestructiveRotation_Age2 | Insufficient Node | 0.3081 | 5.00 | 0.2727 | 1.4967 | Insufficient Node
179 | ExhaustionPersistence_Age1 | Secondary Node | 0.2048 | 8.00 | 0.1569 | 1.3170 | Secondary Node
180 | DecayToNeutral_Age1 | Secondary Node | 0.2590 | 3.00 | 0.4186 | 2.0054 | Secondary Node
181 | DestructiveRotation_Age1 | Weak Node | 0.1808 | 5.00 | 0.0159 | 1.1153 | Weak Node
182 | RecoveryResolution_Age1 | Insufficient Node | 0.2331 | 5.00 | 0.2826 | 1.9609 | Insufficient Node
183 | CompressionProcessing_Age1 | Secondary Node | 0.2266 | 3.00 | 0.2809 | 1.7915 | Secondary Node
184 | CompressionProcessing_Age2 | Weak Node | 0.2113 | 3.00 | 0.2941 | 1.8148 | Weak Node
185 | CompressionProcessing_Age3 | Insufficient Node | 0.2537 | 2.00 | 0.4333 | 1.7274 | Insufficient Node
186 | CompressionProcessing_Age4 | Insufficient Node | 0.1080 | 2.00 | 0.3333 | 1.2660 | Insufficient Node
187 | ExhaustionPersistence_Age1 | Secondary Node | 0.2048 | 8.00 | 0.1569 | 1.3170 | Secondary Node
188 | DecayToNeutral_Age1 | Secondary Node | 0.2590 | 3.00 | 0.4186 | 2.0054 | Secondary Node
189 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
190 | DestructiveRotation_Age1 | Weak Node | 0.1808 | 5.00 | 0.0159 | 1.1153 | Weak Node
191 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
192 | NeutralProcessing_Age2 | Core Node | 0.2959 | 5.00 | 0.4800 | 1.8695 | Core Node
193 | NeutralProcessing_Age3 | Core Node | 0.3638 | 5.00 | 0.5804 | 2.1324 | Core Node
194 | NeutralProcessing_Age4 | Core Node | 0.3723 | 5.00 | 0.9518 | 2.7514 | Core Node
195 | NeutralProcessing_Age5 | Core Node | 0.3030 | 3.00 | 0.8125 | 2.4469 | Core Node
196 | NeutralProcessing_Age6-10 | Secondary Node | 0.1972 | 3.00 | 0.5079 | 1.6973 | Secondary Node
197 | RecoveryResolution_Age1 | Insufficient Node | 0.2331 | 5.00 | 0.2826 | 1.9609 | Insufficient Node
198 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
199 | CompressionProcessing_Age1 | Secondary Node | 0.2266 | 3.00 | 0.2809 | 1.7915 | Secondary Node
200 | CompressionProcessing_Age2 | Weak Node | 0.2113 | 3.00 | 0.2941 | 1.8148 | Weak Node
201 | ExhaustionPersistence_Age1 | Secondary Node | 0.2048 | 8.00 | 0.1569 | 1.3170 | Secondary Node
202 | RecoveryResolution_Age1 | Insufficient Node | 0.2331 | 5.00 | 0.2826 | 1.9609 | Insufficient Node
203 | RecoveryResolution_Age2 | Insufficient Node | 0.3248 | 3.00 | 0.3846 | 2.3097 | Insufficient Node
204 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
205 | NeutralProcessing_Age2 | Core Node | 0.2959 | 5.00 | 0.4800 | 1.8695 | Core Node
206 | NeutralProcessing_Age3 | Core Node | 0.3638 | 5.00 | 0.5804 | 2.1324 | Core Node
207 | NeutralProcessing_Age4 | Core Node | 0.3723 | 5.00 | 0.9518 | 2.7514 | Core Node
208 | NeutralProcessing_Age5 | Core Node | 0.3030 | 3.00 | 0.8125 | 2.4469 | Core Node
209 | NeutralProcessing_Age6-10 | Secondary Node | 0.1972 | 3.00 | 0.5079 | 1.6973 | Secondary Node
210 | NeutralProcessing_Age6-10 | Secondary Node | 0.1972 | 3.00 | 0.5079 | 1.6973 | Secondary Node
211 | NeutralProcessing_Age6-10 | Secondary Node | 0.1972 | 3.00 | 0.5079 | 1.6973 | Secondary Node
212 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
213 | DecayToNeutral_Age1 | Secondary Node | 0.2590 | 3.00 | 0.4186 | 2.0054 | Secondary Node
214 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
215 | NeutralProcessing_Age2 | Core Node | 0.2959 | 5.00 | 0.4800 | 1.8695 | Core Node
216 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
217 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
218 | NeutralProcessing_Age2 | Core Node | 0.2959 | 5.00 | 0.4800 | 1.8695 | Core Node
219 | NeutralProcessing_Age3 | Core Node | 0.3638 | 5.00 | 0.5804 | 2.1324 | Core Node
220 | NeutralProcessing_Age4 | Core Node | 0.3723 | 5.00 | 0.9518 | 2.7514 | Core Node
221 | NeutralProcessing_Age5 | Core Node | 0.3030 | 3.00 | 0.8125 | 2.4469 | Core Node
222 | NeutralProcessing_Age6-10 | Secondary Node | 0.1972 | 3.00 | 0.5079 | 1.6973 | Secondary Node
223 | NeutralProcessing_Age6-10 | Secondary Node | 0.1972 | 3.00 | 0.5079 | 1.6973 | Secondary Node
224 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
225 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
226 | NeutralProcessing_Age2 | Core Node | 0.2959 | 5.00 | 0.4800 | 1.8695 | Core Node
227 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
228 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
229 | NeutralProcessing_Age2 | Core Node | 0.2959 | 5.00 | 0.4800 | 1.8695 | Core Node
230 | NeutralProcessing_Age3 | Core Node | 0.3638 | 5.00 | 0.5804 | 2.1324 | Core Node
231 | ReassertionProcessing_Age1 | Weak Node | 0.1818 | 3.00 | 0.0748 | 1.5848 | Weak Node
232 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
233 | ReassertionProcessing_Age1 | Weak Node | 0.1818 | 3.00 | 0.0748 | 1.5848 | Weak Node
234 | MixedStructure_Age1 | Weak Node | 0.1752 | 3.00 | 0.1639 | 1.1541 | Weak Node
235 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
236 | ReassertionProcessing_Age1 | Weak Node | 0.1818 | 3.00 | 0.0748 | 1.5848 | Weak Node
237 | ReassertionProcessing_Age2 | Insufficient Node | 0.1971 | 2.00 | 0.3226 | 1.9651 | Insufficient Node
238 | CompressionProcessing_Age1 | Secondary Node | 0.2266 | 3.00 | 0.2809 | 1.7915 | Secondary Node
239 | CompressionProcessing_Age2 | Weak Node | 0.2113 | 3.00 | 0.2941 | 1.8148 | Weak Node
240 | NeutralProcessing_Age1 | Core Node | 0.2498 | 3.00 | 0.4377 | 1.6762 | Core Node
241 | CompressionProcessing_Age1 | Secondary Node | 0.2266 | 3.00 | 0.2809 | 1.7915 | Secondary Node
242 | CompressionProcessing_Age2 | Weak Node | 0.2113 | 3.00 | 0.2941 | 1.8148 | Weak Node
