APVA Path Motif Study v0.1 - Aggregate
============================================================================================================
Instruments: 6E, CL, NQ

Aggregate Motif Table
PreviousNode | CurrentNode | NextNode | Count | Probability | ReplicationCount
ReassertionProcessing_Age1 | MixedStructure_Age1 | NeutralProcessing_Age1 | 352 | 52.30% | 3
NeutralProcessing_Age2 | ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 330 | 71.12% | 3
CompressionProcessing_Age2 | NeutralProcessing_Age1 | NeutralProcessing_Age2 | 328 | 54.94% | 3
MixedStructure_Age1 | NeutralProcessing_Age1 | MixedStructure_Age1 | 323 | 23.09% | 3
NeutralProcessing_Age1 | MixedStructure_Age1 | DecayToNeutral_Age1 | 314 | 33.05% | 3
CompressionProcessing_Age3 | CompressionProcessing_Age4 | CompressionProcessing_Age5 | 302 | 53.17% | 3
NeutralProcessing_Age1 | ReassertionProcessing_Age1 | MixedStructure_Age1 | 297 | 46.55% | 3
RecoveryResolution_Age1 | RecoveryResolution_Age2 | RecoveryResolution_Age3 | 287 | 73.59% | 3
MixedStructure_Age1 | DecayToNeutral_Age1 | MixedStructure_Age1 | 283 | 38.19% | 3
ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | RecoveryResolution_Age2 | 274 | 100.00% | 3
MixedStructure_Age1 | RecoveryResolution_Age1 | CompressionProcessing_Age1 | 270 | 78.49% | 3
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | ExhaustionPersistence_Age3 | 269 | 75.99% | 3
NeutralProcessing_Age1 | MixedStructure_Age1 | NeutralProcessing_Age1 | 257 | 27.05% | 3
NeutralProcessing_Age1 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 253 | 28.08% | 3
NeutralProcessing_Age2 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 252 | 55.51% | 3
DecayToNeutral_Age1 | NeutralProcessing_Age1 | MixedStructure_Age1 | 250 | 26.85% | 3
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | NeutralProcessing_Age11-20 | 244 | 11.24% | 3
CompressionProcessing_Age1 | NeutralProcessing_Age1 | CompressionProcessing_Age1 | 234 | 24.07% | 3
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | MixedStructure_Age1 | 226 | 10.41% | 3
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | ReassertionProcessing_Age1 | 224 | 10.32% | 3
DecayToNeutral_Age1 | MixedStructure_Age1 | DecayToNeutral_Age1 | 216 | 46.06% | 3
NeutralProcessing_Age2 | NeutralProcessing_Age3 | MixedStructure_Age1 | 213 | 10.62% | 3
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | ReassertionProcessing_Age1 | 212 | 25.12% | 3
CompressionProcessing_Age2 | NeutralProcessing_Age1 | CompressionProcessing_Age1 | 197 | 33.00% | 3
RecoveryResolution_Age2 | RecoveryResolution_Age3 | CompressionProcessing_Age1 | 197 | 68.64% | 3
NeutralProcessing_Age6-10 | NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | 196 | 80.33% | 3
CompressionProcessing_Age2 | CompressionProcessing_Age3 | NeutralProcessing_Age1 | 192 | 21.08% | 3
NeutralProcessing_Age2 | NeutralProcessing_Age3 | ReassertionProcessing_Age1 | 176 | 8.77% | 3
MixedStructure_Age1 | NeutralProcessing_Age1 | ReassertionProcessing_Age1 | 171 | 12.22% | 3
ExhaustionPersistence_Age2 | ExhaustionPersistence_Age3 | ExhaustionPersistence_Age4 | 170 | 63.20% | 3
DestructiveRotation_Age1 | DecayToNeutral_Age1 | NeutralProcessing_Age1 | 156 | 54.55% | 3
CompressionProcessing_Age3 | CompressionProcessing_Age4 | NeutralProcessing_Age1 | 149 | 26.23% | 3
NeutralProcessing_Age1 | ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 149 | 23.35% | 3
ReassertionProcessing_Age1 | ReassertionProcessing_Age2 | DestructiveRotation_Age1 | 146 | 48.67% | 3
NeutralProcessing_Age1 | MixedStructure_Age1 | ExhaustionPersistence_Age1 | 145 | 15.26% | 3
DestructiveRotation_Age1 | NeutralProcessing_Age1 | NeutralProcessing_Age2 | 145 | 53.90% | 3
NeutralProcessing_Age3 | MixedStructure_Age1 | NeutralProcessing_Age1 | 143 | 67.14% | 3
ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | NeutralProcessing_Age1 | 139 | 56.50% | 3
NeutralProcessing_Age6-10 | ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 137 | 42.95% | 3
CompressionProcessing_Age4 | CompressionProcessing_Age5 | CompressionProcessing_Age6-10 | 135 | 44.70% | 3
RecoveryResolution_Age1 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 134 | 19.73% | 3
NeutralProcessing_Age2 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 129 | 28.41% | 3
CompressionProcessing_Age1 | CompressionProcessing_Age2 | ExhaustionPersistence_Age1 | 127 | 7.05% | 3
MixedStructure_Age1 | ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 127 | 27.49% | 3
MixedStructure_Age1 | MixedStructure_Age2 | NeutralProcessing_Age1 | 127 | 30.98% | 3
RecoveryResolution_Age3 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 126 | 63.96% | 3
NeutralProcessing_Age3 | ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 126 | 71.59% | 3
ReassertionProcessing_Age1 | ReassertionProcessing_Age2 | NeutralProcessing_Age1 | 124 | 41.33% | 3
MixedStructure_Age1 | MixedStructure_Age2 | DecayToNeutral_Age1 | 121 | 29.51% | 3
CompressionProcessing_Age1 | RecoveryResolution_Age1 | CompressionProcessing_Age1 | 117 | 81.25% | 3
ReassertionProcessing_Age1 | MixedStructure_Age1 | ReassertionProcessing_Age1 | 116 | 17.24% | 3
MixedStructure_Age1 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 115 | 24.89% | 3
DecayToNeutral_Age1 | MixedStructure_Age1 | MixedStructure_Age2 | 113 | 24.09% | 3
NeutralProcessing_Age2 | NeutralProcessing_Age3 | CompressionProcessing_Age1 | 112 | 5.58% | 3
CompressionProcessing_Age3 | NeutralProcessing_Age1 | NeutralProcessing_Age2 | 111 | 57.81% | 3
MixedStructure_Age1 | ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 108 | 23.38% | 3
NeutralProcessing_Age6-10 | ReassertionProcessing_Age1 | MixedStructure_Age1 | 107 | 33.54% | 3
NeutralProcessing_Age1 | MixedStructure_Age1 | RecoveryResolution_Age1 | 106 | 11.16% | 3
DecayToNeutral_Age1 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 103 | 100.00% | 3
RecoveryResolution_Age1 | RecoveryResolution_Age2 | NeutralProcessing_Age1 | 103 | 26.41% | 3
MixedStructure_Age1 | ReassertionProcessing_Age1 | MixedStructure_Age1 | 102 | 58.62% | 3
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | CompressionProcessing_Age1 | 99 | 4.56% | 3
NeutralProcessing_Age6-10 | MixedStructure_Age1 | NeutralProcessing_Age1 | 98 | 31.11% | 3
CompressionProcessing_Age1 | NeutralProcessing_Age1 | MixedStructure_Age1 | 98 | 10.08% | 3
ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | DestructiveRotation_Age1 | 97 | 39.43% | 3
NeutralProcessing_Age5 | NeutralProcessing_Age6-10 | ReassertionProcessing_Age1 | 95 | 8.54% | 3
NeutralProcessing_Age2 | MixedStructure_Age1 | ExhaustionPersistence_Age1 | 91 | 13.94% | 2
NeutralProcessing_Age4 | NeutralProcessing_Age5 | MixedStructure_Age1 | 89 | 6.51% | 3
NeutralProcessing_Age5 | NeutralProcessing_Age6-10 | MixedStructure_Age1 | 89 | 8.00% | 3
DecayToNeutral_Age1 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 88 | 61.11% | 3
RecoveryResolution_Age1 | NeutralProcessing_Age1 | NeutralProcessing_Age2 | 88 | 58.67% | 3
NeutralProcessing_Age1 | ReassertionProcessing_Age1 | ReassertionProcessing_Age2 | 87 | 13.64% | 3
NeutralProcessing_Age1 | DestructiveRotation_Age1 | NeutralProcessing_Age1 | 85 | 32.08% | 3
ExhaustionPersistence_Age1 | NeutralProcessing_Age1 | NeutralProcessing_Age2 | 83 | 45.86% | 3
CompressionProcessing_Age1 | CompressionProcessing_Age2 | RecoveryResolution_Age1 | 82 | 4.55% | 3
CompressionProcessing_Age2 | RecoveryResolution_Age1 | CompressionProcessing_Age1 | 82 | 100.00% | 3
MixedStructure_Age1 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 81 | 81.00% | 3
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | RecoveryResolution_Age1 | 81 | 22.88% | 3
ExhaustionPersistence_Age2 | RecoveryResolution_Age1 | RecoveryResolution_Age2 | 81 | 100.00% | 3
CompressionProcessing_Age4 | CompressionProcessing_Age5 | NeutralProcessing_Age1 | 80 | 26.49% | 3
ReassertionProcessing_Age2 | NeutralProcessing_Age1 | NeutralProcessing_Age2 | 80 | 64.52% | 3
ExhaustionPersistence_Age2 | ExhaustionPersistence_Age3 | NeutralProcessing_Age1 | 79 | 29.37% | 3
MixedStructure_Age1 | ExhaustionPersistence_Age1 | NeutralProcessing_Age1 | 78 | 16.88% | 3
ReassertionProcessing_Age1 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 77 | 73.33% | 3
CompressionProcessing_Age4 | NeutralProcessing_Age1 | NeutralProcessing_Age2 | 77 | 51.68% | 3
ExhaustionPersistence_Age1 | NeutralProcessing_Age1 | DestructiveRotation_Age1 | 77 | 42.54% | 3
NeutralProcessing_Age6-10 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 75 | 51.37% | 3
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | MixedStructure_Age1 | 75 | 8.89% | 3
ReassertionProcessing_Age1 | MixedStructure_Age1 | MixedStructure_Age2 | 74 | 11.00% | 3
MixedStructure_Age1 | NeutralProcessing_Age1 | CompressionProcessing_Age1 | 74 | 5.29% | 3
MixedStructure_Age1 | RecoveryResolution_Age1 | NeutralProcessing_Age1 | 74 | 21.51% | 3
CompressionProcessing_Age2 | CompressionProcessing_Age3 | ExhaustionPersistence_Age1 | 73 | 8.01% | 3
NeutralProcessing_Age1 | MixedStructure_Age1 | MixedStructure_Age2 | 73 | 7.68% | 3
NeutralProcessing_Age2 | ReassertionProcessing_Age1 | ReassertionProcessing_Age2 | 73 | 15.73% | 3
ExhaustionPersistence_Age3 | ExhaustionPersistence_Age4 | ExhaustionPersistence_Age5 | 72 | 42.35% | 3
MixedStructure_Age2 | DecayToNeutral_Age1 | NeutralProcessing_Age1 | 71 | 58.68% | 3
MixedStructure_Age2 | NeutralProcessing_Age1 | NeutralProcessing_Age2 | 71 | 55.91% | 3
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | MixedStructure_Age1 | 69 | 9.66% | 3
CompressionProcessing_Age5 | CompressionProcessing_Age6-10 | CompressionProcessing_Age6-10 | 68 | 50.37% | 3
DestructiveRotation_Age1 | DecayToNeutral_Age1 | MixedStructure_Age1 | 68 | 23.78% | 3
DecayToNeutral_Age1 | NeutralProcessing_Age1 | DestructiveRotation_Age1 | 68 | 7.30% | 3
ReassertionProcessing_Age2 | DestructiveRotation_Age1 | NeutralProcessing_Age1 | 67 | 45.89% | 3
NeutralProcessing_Age6-10 | MixedStructure_Age1 | DecayToNeutral_Age1 | 67 | 21.27% | 3
ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 66 | 42.58% | 2
NeutralProcessing_Age4 | NeutralProcessing_Age5 | ReassertionProcessing_Age1 | 66 | 4.83% | 3
ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 65 | 41.94% | 3
CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | 62 | 31.31% | 3
RecoveryResolution_Age1 | NeutralProcessing_Age1 | CompressionProcessing_Age1 | 62 | 41.33% | 3
NeutralProcessing_Age1 | ReassertionProcessing_Age1 | DestructiveRotation_Age1 | 62 | 9.72% | 3
NeutralProcessing_Age1 | CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 61 | 6.77% | 3
RecoveryResolution_Age1 | CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 61 | 8.98% | 3
NeutralProcessing_Age2 | MixedStructure_Age1 | RecoveryResolution_Age1 | 61 | 9.34% | 3
RecoveryResolution_Age2 | NeutralProcessing_Age1 | NeutralProcessing_Age2 | 61 | 59.22% | 3
NeutralProcessing_Age4 | NeutralProcessing_Age5 | CompressionProcessing_Age1 | 61 | 4.46% | 3
NeutralProcessing_Age1 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 60 | 22.64% | 3
CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 60 | 30.30% | 2
CompressionProcessing_Age6-10 | CompressionProcessing_Age6-10 | CompressionProcessing_Age6-10 | 59 | 46.46% | 2
NeutralProcessing_Age6-10 | ReassertionProcessing_Age1 | ReassertionProcessing_Age2 | 58 | 18.18% | 3
NeutralProcessing_Age3 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 57 | 50.89% | 3
ReassertionProcessing_Age1 | DestructiveRotation_Age1 | NeutralProcessing_Age1 | 57 | 39.31% | 3
DestructiveRotation_Age1 | NeutralProcessing_Age1 | ReassertionProcessing_Age1 | 56 | 20.82% | 3
CompressionProcessing_Age1 | NeutralProcessing_Age1 | ReassertionProcessing_Age1 | 56 | 5.76% | 3
NeutralProcessing_Age2 | MixedStructure_Age1 | MixedStructure_Age2 | 55 | 8.42% | 3
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | ReassertionProcessing_Age1 | 55 | 7.70% | 3
NeutralProcessing_Age6-10 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 53 | 36.30% | 3
CompressionProcessing_Age3 | NeutralProcessing_Age1 | CompressionProcessing_Age1 | 53 | 27.60% | 3
NeutralProcessing_Age6-10 | MixedStructure_Age1 | ExhaustionPersistence_Age1 | 52 | 16.51% | 3
DecayToNeutral_Age1 | NeutralProcessing_Age1 | CompressionProcessing_Age1 | 52 | 5.59% | 2
RecoveryResolution_Age3 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 51 | 25.89% | 3
DestructiveRotation_Age1 | DestructiveRotation_Age2 | DecayToNeutral_Age1 | 51 | 41.46% | 3
MixedStructure_Age1 | MixedStructure_Age2 | MixedStructure_Age3 | 51 | 12.44% | 3
DecayToNeutral_Age1 | NeutralProcessing_Age1 | ReassertionProcessing_Age1 | 51 | 5.48% | 3
NeutralProcessing_Age21+ | NeutralProcessing_Age21+ | NeutralProcessing_Age21+ | 51 | 79.69% | 1
NeutralProcessing_Age6-10 | MixedStructure_Age1 | RecoveryResolution_Age1 | 47 | 14.92% | 3
DecayToNeutral_Age1 | MixedStructure_Age1 | ExhaustionPersistence_Age1 | 47 | 10.02% | 3
CompressionProcessing_Age2 | NeutralProcessing_Age1 | MixedStructure_Age1 | 47 | 7.87% | 3
NeutralProcessing_Age1 | NeutralProcessing_Age2 | DestructiveRotation_Age1 | 47 | 1.29% | 3
NeutralProcessing_Age5 | NeutralProcessing_Age6-10 | CompressionProcessing_Age1 | 47 | 4.22% | 3
NeutralProcessing_Age1 | DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | 46 | 17.36% | 3
MixedStructure_Age1 | MixedStructure_Age2 | ExhaustionPersistence_Age1 | 46 | 11.22% | 2
RecoveryResolution_Age1 | CompressionProcessing_Age1 | RecoveryResolution_Age1 | 44 | 6.48% | 3
CompressionProcessing_Age1 | CompressionProcessing_Age2 | DecayToNeutral_Age1 | 44 | 2.44% | 3
NeutralProcessing_Age1 | CompressionProcessing_Age1 | RecoveryResolution_Age1 | 43 | 4.77% | 3
CompressionProcessing_Age2 | ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | 43 | 33.86% | 2
MixedStructure_Age1 | DecayToNeutral_Age1 | CompressionProcessing_Age1 | 42 | 5.67% | 2
CompressionProcessing_Age5 | NeutralProcessing_Age1 | NeutralProcessing_Age2 | 42 | 52.50% | 2
RecoveryResolution_Age2 | NeutralProcessing_Age1 | CompressionProcessing_Age1 | 42 | 40.78% | 3
ReassertionProcessing_Age1 | MixedStructure_Age1 | ExhaustionPersistence_Age1 | 41 | 6.09% | 3
DecayToNeutral_Age1 | MixedStructure_Age1 | RecoveryResolution_Age1 | 40 | 8.53% | 3
ExhaustionPersistence_Age3 | NeutralProcessing_Age1 | NeutralProcessing_Age2 | 40 | 50.63% | 2
DestructiveRotation_Age1 | RecoveryResolution_Age1 | CompressionProcessing_Age1 | 40 | 81.63% | 3
MixedStructure_Age2 | DecayToNeutral_Age1 | MixedStructure_Age1 | 39 | 32.23% | 3
ReassertionProcessing_Age1 | MixedStructure_Age1 | DecayToNeutral_Age1 | 39 | 5.79% | 3
CompressionProcessing_Age3 | CompressionProcessing_Age4 | ExhaustionPersistence_Age1 | 38 | 6.69% | 3
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | CompressionProcessing_Age1 | 38 | 5.32% | 3
RecoveryResolution_Age2 | RecoveryResolution_Age3 | NeutralProcessing_Age1 | 38 | 13.24% | 3
CompressionProcessing_Age2 | CompressionProcessing_Age3 | RecoveryResolution_Age1 | 37 | 4.06% | 3
NeutralProcessing_Age1 | ReassertionProcessing_Age1 | CompressionProcessing_Age1 | 37 | 5.80% | 3
NeutralProcessing_Age2 | ReassertionProcessing_Age1 | MixedStructure_Age1 | 37 | 7.97% | 3
CompressionProcessing_Age3 | RecoveryResolution_Age1 | CompressionProcessing_Age1 | 37 | 100.00% | 3
CompressionProcessing_Age2 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 36 | 28.35% | 2
NeutralProcessing_Age11-20 | MixedStructure_Age1 | NeutralProcessing_Age1 | 36 | 41.38% | 3
CompressionProcessing_Age6-10 | NeutralProcessing_Age1 | NeutralProcessing_Age2 | 36 | 52.94% | 3
NeutralProcessing_Age3 | NeutralProcessing_Age4 | MixedStructure_Age1 | 36 | 2.40% | 2
CompressionProcessing_Age5 | CompressionProcessing_Age6-10 | NeutralProcessing_Age1 | 35 | 25.93% | 2
MixedStructure_Age2 | NeutralProcessing_Age1 | MixedStructure_Age1 | 35 | 27.56% | 3
DestructiveRotation_Age1 | NeutralProcessing_Age1 | MixedStructure_Age1 | 35 | 13.01% | 3
RecoveryResolution_Age2 | RecoveryResolution_Age3 | ExhaustionPersistence_Age1 | 35 | 12.20% | 2
MixedStructure_Age1 | ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | 34 | 7.36% | 3
CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 34 | 17.17% | 3
MixedStructure_Age1 | MixedStructure_Age2 | RecoveryResolution_Age1 | 34 | 8.29% | 3
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | CompressionProcessing_Age1 | 34 | 4.03% | 2
MixedStructure_Age2 | RecoveryResolution_Age1 | CompressionProcessing_Age1 | 34 | 100.00% | 3
NeutralProcessing_Age5 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 33 | 54.10% | 2
CompressionProcessing_Age6-10 | CompressionProcessing_Age6-10 | NeutralProcessing_Age1 | 33 | 25.98% | 3
CompressionProcessing_Age2 | ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 33 | 25.98% | 3
ExhaustionPersistence_Age3 | ExhaustionPersistence_Age4 | DecayToNeutral_Age1 | 33 | 19.41% | 2
ReassertionProcessing_Age2 | NeutralProcessing_Age1 | ReassertionProcessing_Age1 | 33 | 26.61% | 3
CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | NeutralProcessing_Age1 | 32 | 16.16% | 3
DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 32 | 29.63% | 3
NeutralProcessing_Age5 | MixedStructure_Age1 | NeutralProcessing_Age1 | 32 | 35.96% | 3
ExhaustionPersistence_Age3 | NeutralProcessing_Age1 | DestructiveRotation_Age1 | 32 | 40.51% | 3
CompressionProcessing_Age1 | NeutralProcessing_Age1 | DestructiveRotation_Age1 | 32 | 3.29% | 2
NeutralProcessing_Age5 | ReassertionProcessing_Age1 | MixedStructure_Age1 | 32 | 48.48% | 3
NeutralProcessing_Age2 | CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 31 | 6.83% | 3
DestructiveRotation_Age2 | DecayToNeutral_Age1 | NeutralProcessing_Age1 | 31 | 60.78% | 3
ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 31 | 57.41% | 3
CompressionProcessing_Age4 | NeutralProcessing_Age1 | CompressionProcessing_Age1 | 31 | 20.81% | 2
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | ExhaustionPersistence_Age1 | 31 | 1.43% | 3
NeutralProcessing_Age11-20 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 30 | 60.00% | 3
DestructiveRotation_Age1 | DecayToNeutral_Age1 | DestructiveRotation_Age1 | 30 | 10.49% | 3
DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 30 | 27.78% | 2
DestructiveRotation_Age1 | ReassertionProcessing_Age1 | DestructiveRotation_Age1 | 30 | 50.85% | 2
NeutralProcessing_Age3 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 29 | 25.89% | 2
ReassertionProcessing_Age1 | DestructiveRotation_Age1 | ReassertionProcessing_Age1 | 29 | 20.00% | 3
NeutralProcessing_Age1 | MixedStructure_Age1 | DestructiveRotation_Age1 | 29 | 3.05% | 3
ReassertionProcessing_Age1 | CompressionProcessing_Age1 | NeutralProcessing_Age1 | 28 | 26.67% | 2
NeutralProcessing_Age2 | DestructiveRotation_Age1 | NeutralProcessing_Age1 | 28 | 59.57% | 3
ExhaustionPersistence_Age3 | ExhaustionPersistence_Age4 | NeutralProcessing_Age1 | 27 | 15.88% | 3
ReassertionProcessing_Age1 | MixedStructure_Age1 | RecoveryResolution_Age1 | 27 | 4.01% | 2
CompressionProcessing_Age4 | NeutralProcessing_Age1 | MixedStructure_Age1 | 27 | 18.12% | 1
NeutralProcessing_Age11-20 | ReassertionProcessing_Age1 | MixedStructure_Age1 | 27 | 39.13% | 3
CompressionProcessing_Age1 | RecoveryResolution_Age1 | NeutralProcessing_Age1 | 27 | 18.75% | 3
DestructiveRotation_Age1 | CompressionProcessing_Age1 | CompressionProcessing_Age2 | 26 | 92.86% | 3
NeutralProcessing_Age1 | DestructiveRotation_Age1 | MixedStructure_Age1 | 26 | 9.81% | 2
NeutralProcessing_Age3 | NeutralProcessing_Age4 | CompressionProcessing_Age1 | 26 | 1.73% | 1
CompressionProcessing_Age3 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 25 | 34.25% | 3
NeutralProcessing_Age3 | NeutralProcessing_Age4 | ReassertionProcessing_Age1 | 25 | 1.67% | 3
CompressionProcessing_Age3 | CompressionProcessing_Age4 | RecoveryResolution_Age1 | 24 | 4.23% | 2
CompressionProcessing_Age3 | CompressionProcessing_Age4 | MixedStructure_Age1 | 24 | 4.23% | 2
CompressionProcessing_Age2 | DecayToNeutral_Age1 | NeutralProcessing_Age1 | 24 | 54.55% | 2
NeutralProcessing_Age1 | DestructiveRotation_Age1 | DestructiveRotation_Age2 | 24 | 9.06% | 3
NeutralProcessing_Age6-10 | MixedStructure_Age1 | MixedStructure_Age2 | 24 | 7.62% | 3
CompressionProcessing_Age5 | NeutralProcessing_Age1 | CompressionProcessing_Age1 | 24 | 30.00% | 2
CompressionProcessing_Age3 | NeutralProcessing_Age1 | MixedStructure_Age1 | 24 | 12.50% | 2
NeutralProcessing_Age3 | NeutralProcessing_Age4 | ExhaustionPersistence_Age1 | 24 | 1.60% | 3
NeutralProcessing_Age11-20 | ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 24 | 34.78% | 2
CompressionProcessing_Age4 | RecoveryResolution_Age1 | CompressionProcessing_Age1 | 24 | 100.00% | 2
CompressionProcessing_Age3 | CompressionProcessing_Age4 | DecayToNeutral_Age1 | 23 | 4.05% | 3
CompressionProcessing_Age4 | CompressionProcessing_Age5 | ExhaustionPersistence_Age1 | 23 | 7.62% | 2
ReassertionProcessing_Age1 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 23 | 15.86% | 2
ReassertionProcessing_Age2 | DestructiveRotation_Age1 | DestructiveRotation_Age2 | 23 | 15.75% | 3
MixedStructure_Age1 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 23 | 31.94% | 3
MixedStructure_Age2 | ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 23 | 50.00% | 1
ExhaustionPersistence_Age4 | ExhaustionPersistence_Age5 | ExhaustionPersistence_Age6-10 | 23 | 31.94% | 3
NeutralProcessing_Age3 | MixedStructure_Age1 | ExhaustionPersistence_Age1 | 23 | 10.80% | 3
NeutralProcessing_Age1 | MixedStructure_Age1 | CompressionProcessing_Age1 | 23 | 2.42% | 2
