APVA State Transition Model Study v0.1 - Aggregate
========================================================================================================
Instruments: 6E, CL, NQ

Aggregate Transition Matrix Table
State | AgeBucket | NextState | Count_6E | Prob_6E | Count_CL | Prob_CL | Count_NQ | Prob_NQ | ValidInstrumentCount | MeanProbability
CompressionProcessing | 3 | ExhaustionPersistence | 65 | 7.74% | 6 | 14.63% | 2 | 6.67% | 3 | 9.68%
CompressionProcessing | 3 | CompressionProcessing | 528 | 62.86% | 22 | 53.66% | 18 | 60.00% | 3 | 58.84%
CompressionProcessing | 3 | NeutralProcessing | 177 | 21.07% | 10 | 24.39% | 5 | 16.67% | 3 | 20.71%
CompressionProcessing | 3 | ReassertionProcessing | 5 | 0.60% | 1 | 2.44% | 0 | 0.00% | 3 | 1.01%
CompressionProcessing | 3 | DecayToNeutral | 11 | 1.31% | 0 | 0.00% | 3 | 10.00% | 3 | 3.77%
CompressionProcessing | 3 | DestructiveRotation | 3 | 0.36% | 0 | 0.00% | 0 | 0.00% | 3 | 0.12%
CompressionProcessing | 3 | ConstructiveEmergence | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 3 | 0.00%
CompressionProcessing | 3 | MixedStructure | 17 | 2.02% | 1 | 2.44% | 0 | 0.00% | 3 | 1.49%
CompressionProcessing | 4 | RecoveryResolution | 23 | 4.36% | 0 | 0.00% | 1 | 5.56% | 2 | 2.18%
CompressionProcessing | 4 | ExhaustionPersistence | 35 | 6.63% | 2 | 9.09% | 1 | 5.56% | 2 | 7.86%
CompressionProcessing | 4 | CompressionProcessing | 282 | 53.41% | 12 | 54.55% | 8 | 44.44% | 2 | 53.98%
CompressionProcessing | 4 | NeutralProcessing | 142 | 26.89% | 5 | 22.73% | 2 | 11.11% | 2 | 24.81%
CompressionProcessing | 4 | ReassertionProcessing | 2 | 0.38% | 1 | 4.55% | 0 | 0.00% | 2 | 2.46%
CompressionProcessing | 4 | DecayToNeutral | 19 | 3.60% | 2 | 9.09% | 2 | 11.11% | 2 | 6.34%
CompressionProcessing | 4 | DestructiveRotation | 3 | 0.57% | 0 | 0.00% | 2 | 11.11% | 2 | 0.28%
CompressionProcessing | 4 | ConstructiveEmergence | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 2 | 0.00%
CompressionProcessing | 4 | MixedStructure | 22 | 4.17% | 0 | 0.00% | 2 | 11.11% | 2 | 2.08%
CompressionProcessing | 5 | RecoveryResolution | 12 | 4.26% | 0 | 0.00% | 0 | 0.00% | 1 | 4.26%
CompressionProcessing | 5 | ExhaustionPersistence | 19 | 6.74% | 4 | 33.33% | 0 | 0.00% | 1 | 6.74%
CompressionProcessing | 5 | CompressionProcessing | 127 | 45.04% | 5 | 41.67% | 3 | 37.50% | 1 | 45.04%
CompressionProcessing | 5 | NeutralProcessing | 76 | 26.95% | 1 | 8.33% | 3 | 37.50% | 1 | 26.95%
CompressionProcessing | 5 | ReassertionProcessing | 5 | 1.77% | 0 | 0.00% | 1 | 12.50% | 1 | 1.77%
CompressionProcessing | 5 | DecayToNeutral | 22 | 7.80% | 0 | 0.00% | 0 | 0.00% | 1 | 7.80%
CompressionProcessing | 5 | DestructiveRotation | 9 | 3.19% | 1 | 8.33% | 0 | 0.00% | 1 | 3.19%
CompressionProcessing | 5 | ConstructiveEmergence | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 1 | 0.00%
CompressionProcessing | 5 | MixedStructure | 12 | 4.26% | 1 | 8.33% | 1 | 12.50% | 1 | 4.26%
CompressionProcessing | 6-10 | RecoveryResolution | 12 | 4.86% | 1 | 16.67% | 1 | 11.11% | 1 | 4.86%
CompressionProcessing | 6-10 | ExhaustionPersistence | 16 | 6.48% | 0 | 0.00% | 0 | 0.00% | 1 | 6.48%
CompressionProcessing | 6-10 | CompressionProcessing | 123 | 49.80% | 1 | 16.67% | 6 | 66.67% | 1 | 49.80%
CompressionProcessing | 6-10 | NeutralProcessing | 63 | 25.51% | 3 | 50.00% | 2 | 22.22% | 1 | 25.51%
CompressionProcessing | 6-10 | ReassertionProcessing | 2 | 0.81% | 0 | 0.00% | 0 | 0.00% | 1 | 0.81%
CompressionProcessing | 6-10 | DecayToNeutral | 13 | 5.26% | 0 | 0.00% | 0 | 0.00% | 1 | 5.26%
CompressionProcessing | 6-10 | DestructiveRotation | 2 | 0.81% | 0 | 0.00% | 0 | 0.00% | 1 | 0.81%
CompressionProcessing | 6-10 | ConstructiveEmergence | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 1 | 0.00%
CompressionProcessing | 6-10 | MixedStructure | 16 | 6.48% | 1 | 16.67% | 0 | 0.00% | 1 | 6.48%
ConstructiveEmergence | 1 | RecoveryResolution | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 1 | 0.00%
ConstructiveEmergence | 1 | ExhaustionPersistence | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 1 | 0.00%
ConstructiveEmergence | 1 | CompressionProcessing | 6 | 7.23% | 0 | 0.00% | 0 | 0.00% | 1 | 7.23%
ConstructiveEmergence | 1 | NeutralProcessing | 27 | 32.53% | 4 | 33.33% | 4 | 28.57% | 1 | 32.53%
ConstructiveEmergence | 1 | ReassertionProcessing | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 1 | 0.00%
ConstructiveEmergence | 1 | DecayToNeutral | 11 | 13.25% | 3 | 25.00% | 1 | 7.14% | 1 | 13.25%
ConstructiveEmergence | 1 | DestructiveRotation | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 1 | 0.00%
ConstructiveEmergence | 1 | ConstructiveEmergence | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 1 | 0.00%
ConstructiveEmergence | 1 | MixedStructure | 39 | 46.99% | 5 | 41.67% | 9 | 64.29% | 1 | 46.99%
DecayToNeutral | 1 | RecoveryResolution | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 3 | 0.00%
DecayToNeutral | 1 | ExhaustionPersistence | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 3 | 0.00%
DecayToNeutral | 1 | CompressionProcessing | 100 | 6.73% | 2 | 1.94% | 1 | 1.16% | 3 | 3.28%
DecayToNeutral | 1 | NeutralProcessing | 811 | 54.58% | 63 | 61.17% | 57 | 66.28% | 3 | 60.67%
DecayToNeutral | 1 | ReassertionProcessing | 19 | 1.28% | 0 | 0.00% | 0 | 0.00% | 3 | 0.43%
DecayToNeutral | 1 | DecayToNeutral | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 3 | 0.00%
DecayToNeutral | 1 | DestructiveRotation | 127 | 8.55% | 11 | 10.68% | 6 | 6.98% | 3 | 8.73%
DecayToNeutral | 1 | ConstructiveEmergence | 6 | 0.40% | 1 | 0.97% | 1 | 1.16% | 3 | 0.85%
DecayToNeutral | 1 | MixedStructure | 423 | 28.47% | 26 | 25.24% | 21 | 24.42% | 3 | 26.04%
DestructiveRotation | 1 | RecoveryResolution | 43 | 5.14% | 4 | 5.63% | 2 | 3.17% | 3 | 4.65%
DestructiveRotation | 1 | ExhaustionPersistence | 95 | 11.36% | 5 | 7.04% | 8 | 12.70% | 3 | 10.37%
DestructiveRotation | 1 | CompressionProcessing | 25 | 2.99% | 1 | 1.41% | 2 | 3.17% | 3 | 2.52%
DestructiveRotation | 1 | NeutralProcessing | 228 | 27.27% | 25 | 35.21% | 16 | 25.40% | 3 | 29.29%
DestructiveRotation | 1 | ReassertionProcessing | 51 | 6.10% | 3 | 4.23% | 5 | 7.94% | 3 | 6.09%
DestructiveRotation | 1 | DecayToNeutral | 249 | 29.78% | 20 | 28.17% | 17 | 26.98% | 3 | 28.31%
DestructiveRotation | 1 | DestructiveRotation | 100 | 11.96% | 12 | 16.90% | 11 | 17.46% | 3 | 15.44%
DestructiveRotation | 1 | ConstructiveEmergence | 3 | 0.36% | 0 | 0.00% | 0 | 0.00% | 3 | 0.12%
DestructiveRotation | 1 | MixedStructure | 42 | 5.02% | 1 | 1.41% | 2 | 3.17% | 3 | 3.20%
DestructiveRotation | 2 | RecoveryResolution | 6 | 6.00% | 1 | 8.33% | 1 | 9.09% | 1 | 6.00%
DestructiveRotation | 2 | ExhaustionPersistence | 15 | 15.00% | 3 | 25.00% | 2 | 18.18% | 1 | 15.00%
DestructiveRotation | 2 | CompressionProcessing | 2 | 2.00% | 1 | 8.33% | 0 | 0.00% | 1 | 2.00%
DestructiveRotation | 2 | NeutralProcessing | 10 | 10.00% | 2 | 16.67% | 1 | 9.09% | 1 | 10.00%
DestructiveRotation | 2 | ReassertionProcessing | 6 | 6.00% | 0 | 0.00% | 0 | 0.00% | 1 | 6.00%
DestructiveRotation | 2 | DecayToNeutral | 45 | 45.00% | 4 | 33.33% | 2 | 18.18% | 1 | 45.00%
DestructiveRotation | 2 | DestructiveRotation | 11 | 11.00% | 1 | 8.33% | 5 | 45.45% | 1 | 11.00%
DestructiveRotation | 2 | ConstructiveEmergence | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 1 | 0.00%
DestructiveRotation | 2 | MixedStructure | 5 | 5.00% | 0 | 0.00% | 0 | 0.00% | 1 | 5.00%
DestructiveRotation | 3 | RecoveryResolution | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 0 | 0.00%
DestructiveRotation | 3 | ExhaustionPersistence | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 0 | 0.00%
DestructiveRotation | 3 | CompressionProcessing | 1 | 9.09% | 1 | 100.00% | 0 | 0.00% | 0 | 0.00%
DestructiveRotation | 3 | NeutralProcessing | 2 | 18.18% | 0 | 0.00% | 0 | 0.00% | 0 | 0.00%
DestructiveRotation | 3 | ReassertionProcessing | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 0 | 0.00%
DestructiveRotation | 3 | DecayToNeutral | 7 | 63.64% | 0 | 0.00% | 4 | 80.00% | 0 | 0.00%
DestructiveRotation | 3 | DestructiveRotation | 1 | 9.09% | 0 | 0.00% | 0 | 0.00% | 0 | 0.00%
DestructiveRotation | 3 | ConstructiveEmergence | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 0 | 0.00%
DestructiveRotation | 3 | MixedStructure | 0 | 0.00% | 0 | 0.00% | 1 | 20.00% | 0 | 0.00%
DestructiveRotation | 4 | RecoveryResolution | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
DestructiveRotation | 4 | ExhaustionPersistence | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
DestructiveRotation | 4 | CompressionProcessing | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
DestructiveRotation | 4 | NeutralProcessing | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
DestructiveRotation | 4 | ReassertionProcessing | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
DestructiveRotation | 4 | DecayToNeutral | 1 | 100.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
DestructiveRotation | 4 | DestructiveRotation | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
DestructiveRotation | 4 | ConstructiveEmergence | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
DestructiveRotation | 4 | MixedStructure | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
ExhaustionPersistence | 1 | RecoveryResolution | 237 | 21.24% | 29 | 29.90% | 8 | 15.69% | 3 | 22.27%
ExhaustionPersistence | 1 | ExhaustionPersistence | 304 | 27.24% | 31 | 31.96% | 19 | 37.25% | 3 | 32.15%
ExhaustionPersistence | 1 | CompressionProcessing | 145 | 12.99% | 7 | 7.22% | 3 | 5.88% | 3 | 8.70%
ExhaustionPersistence | 1 | NeutralProcessing | 164 | 14.70% | 11 | 11.34% | 6 | 11.76% | 3 | 12.60%
ExhaustionPersistence | 1 | ReassertionProcessing | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 3 | 0.00%
ExhaustionPersistence | 1 | DecayToNeutral | 218 | 19.53% | 17 | 17.53% | 11 | 21.57% | 3 | 19.54%
ExhaustionPersistence | 1 | DestructiveRotation | 48 | 4.30% | 2 | 2.06% | 4 | 7.84% | 3 | 4.74%
ExhaustionPersistence | 1 | ConstructiveEmergence | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 3 | 0.00%
ExhaustionPersistence | 1 | MixedStructure | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 3 | 0.00%
ExhaustionPersistence | 2 | RecoveryResolution | 67 | 22.04% | 9 | 29.03% | 5 | 26.32% | 2 | 25.54%
ExhaustionPersistence | 2 | ExhaustionPersistence | 234 | 76.97% | 21 | 67.74% | 14 | 73.68% | 2 | 72.36%
ExhaustionPersistence | 2 | CompressionProcessing | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 2 | 0.00%
ExhaustionPersistence | 2 | NeutralProcessing | 3 | 0.99% | 1 | 3.23% | 0 | 0.00% | 2 | 2.11%
ExhaustionPersistence | 2 | ReassertionProcessing | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 2 | 0.00%
ExhaustionPersistence | 2 | DecayToNeutral | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 2 | 0.00%
ExhaustionPersistence | 2 | DestructiveRotation | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 2 | 0.00%
ExhaustionPersistence | 2 | ConstructiveEmergence | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 2 | 0.00%
ExhaustionPersistence | 2 | MixedStructure | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 2 | 0.00%
ExhaustionPersistence | 3 | RecoveryResolution | 18 | 7.69% | 0 | 0.00% | 0 | 0.00% | 2 | 3.85%
ExhaustionPersistence | 3 | ExhaustionPersistence | 143 | 61.11% | 16 | 76.19% | 11 | 78.57% | 2 | 68.65%
ExhaustionPersistence | 3 | CompressionProcessing | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 2 | 0.00%
ExhaustionPersistence | 3 | NeutralProcessing | 71 | 30.34% | 5 | 23.81% | 3 | 21.43% | 2 | 27.08%
ExhaustionPersistence | 3 | ReassertionProcessing | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 2 | 0.00%
ExhaustionPersistence | 3 | DecayToNeutral | 2 | 0.85% | 0 | 0.00% | 0 | 0.00% | 2 | 0.43%
ExhaustionPersistence | 3 | DestructiveRotation | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 2 | 0.00%
ExhaustionPersistence | 3 | ConstructiveEmergence | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 2 | 0.00%
ExhaustionPersistence | 3 | MixedStructure | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 2 | 0.00%
ExhaustionPersistence | 4 | RecoveryResolution | 11 | 7.69% | 1 | 6.25% | 1 | 9.09% | 1 | 7.69%
ExhaustionPersistence | 4 | ExhaustionPersistence | 58 | 40.56% | 8 | 50.00% | 6 | 54.55% | 1 | 40.56%
ExhaustionPersistence | 4 | CompressionProcessing | 14 | 9.79% | 1 | 6.25% | 1 | 9.09% | 1 | 9.79%
ExhaustionPersistence | 4 | NeutralProcessing | 23 | 16.08% | 3 | 18.75% | 1 | 9.09% | 1 | 16.08%
ExhaustionPersistence | 4 | ReassertionProcessing | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 1 | 0.00%
ExhaustionPersistence | 4 | DecayToNeutral | 32 | 22.38% | 1 | 6.25% | 0 | 0.00% | 1 | 22.38%
ExhaustionPersistence | 4 | DestructiveRotation | 5 | 3.50% | 2 | 12.50% | 2 | 18.18% | 1 | 3.50%
ExhaustionPersistence | 4 | ConstructiveEmergence | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 1 | 0.00%
ExhaustionPersistence | 4 | MixedStructure | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 1 | 0.00%
ExhaustionPersistence | 5 | RecoveryResolution | 3 | 5.17% | 0 | 0.00% | 1 | 16.67% | 1 | 5.17%
ExhaustionPersistence | 5 | ExhaustionPersistence | 18 | 31.03% | 1 | 12.50% | 4 | 66.67% | 1 | 31.03%
ExhaustionPersistence | 5 | CompressionProcessing | 7 | 12.07% | 1 | 12.50% | 1 | 16.67% | 1 | 12.07%
ExhaustionPersistence | 5 | NeutralProcessing | 10 | 17.24% | 3 | 37.50% | 0 | 0.00% | 1 | 17.24%
ExhaustionPersistence | 5 | ReassertionProcessing | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 1 | 0.00%
ExhaustionPersistence | 5 | DecayToNeutral | 14 | 24.14% | 2 | 25.00% | 0 | 0.00% | 1 | 24.14%
ExhaustionPersistence | 5 | DestructiveRotation | 6 | 10.34% | 1 | 12.50% | 0 | 0.00% | 1 | 10.34%
ExhaustionPersistence | 5 | ConstructiveEmergence | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 1 | 0.00%
ExhaustionPersistence | 5 | MixedStructure | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 1 | 0.00%
ExhaustionPersistence | 6-10 | RecoveryResolution | 4 | 13.79% | 0 | 0.00% | 0 | 0.00% | 1 | 13.79%
ExhaustionPersistence | 6-10 | ExhaustionPersistence | 11 | 37.93% | 2 | 66.67% | 2 | 33.33% | 1 | 37.93%
ExhaustionPersistence | 6-10 | CompressionProcessing | 1 | 3.45% | 0 | 0.00% | 0 | 0.00% | 1 | 3.45%
ExhaustionPersistence | 6-10 | NeutralProcessing | 4 | 13.79% | 1 | 33.33% | 1 | 16.67% | 1 | 13.79%
ExhaustionPersistence | 6-10 | ReassertionProcessing | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 1 | 0.00%
ExhaustionPersistence | 6-10 | DecayToNeutral | 9 | 31.03% | 0 | 0.00% | 1 | 16.67% | 1 | 31.03%
ExhaustionPersistence | 6-10 | DestructiveRotation | 0 | 0.00% | 0 | 0.00% | 2 | 33.33% | 1 | 0.00%
ExhaustionPersistence | 6-10 | ConstructiveEmergence | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 1 | 0.00%
ExhaustionPersistence | 6-10 | MixedStructure | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 1 | 0.00%
MixedStructure | 1 | RecoveryResolution | 307 | 9.41% | 25 | 8.96% | 12 | 6.56% | 3 | 8.31%
MixedStructure | 1 | ExhaustionPersistence | 399 | 12.22% | 39 | 13.98% | 24 | 13.11% | 3 | 13.11%
MixedStructure | 1 | CompressionProcessing | 91 | 2.79% | 5 | 1.79% | 4 | 2.19% | 3 | 2.26%
MixedStructure | 1 | NeutralProcessing | 1219 | 37.35% | 115 | 41.22% | 65 | 35.52% | 3 | 38.03%
MixedStructure | 1 | ReassertionProcessing | 144 | 4.41% | 17 | 6.09% | 13 | 7.10% | 3 | 5.87%
MixedStructure | 1 | DecayToNeutral | 662 | 20.28% | 44 | 15.77% | 35 | 19.13% | 3 | 18.39%
MixedStructure | 1 | DestructiveRotation | 67 | 2.05% | 3 | 1.08% | 2 | 1.09% | 3 | 1.41%
MixedStructure | 1 | ConstructiveEmergence | 20 | 0.61% | 3 | 1.08% | 1 | 0.55% | 3 | 0.74%
MixedStructure | 1 | MixedStructure | 355 | 10.88% | 28 | 10.04% | 27 | 14.75% | 3 | 11.89%
MixedStructure | 2 | RecoveryResolution | 26 | 7.32% | 4 | 14.29% | 4 | 14.81% | 3 | 12.14%
MixedStructure | 2 | ExhaustionPersistence | 43 | 12.11% | 3 | 10.71% | 0 | 0.00% | 3 | 7.61%
MixedStructure | 2 | CompressionProcessing | 7 | 1.97% | 1 | 3.57% | 0 | 0.00% | 3 | 1.85%
MixedStructure | 2 | NeutralProcessing | 111 | 31.27% | 7 | 25.00% | 9 | 33.33% | 3 | 29.87%
MixedStructure | 2 | ReassertionProcessing | 18 | 5.07% | 0 | 0.00% | 2 | 7.41% | 3 | 4.16%
MixedStructure | 2 | DecayToNeutral | 106 | 29.86% | 8 | 28.57% | 7 | 25.93% | 3 | 28.12%
MixedStructure | 2 | DestructiveRotation | 2 | 0.56% | 0 | 0.00% | 1 | 3.70% | 3 | 1.42%
MixedStructure | 2 | ConstructiveEmergence | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 3 | 0.00%
MixedStructure | 2 | MixedStructure | 42 | 11.83% | 5 | 17.86% | 4 | 14.81% | 3 | 14.83%
MixedStructure | 3 | RecoveryResolution | 5 | 11.90% | 1 | 20.00% | 0 | 0.00% | 1 | 11.90%
MixedStructure | 3 | ExhaustionPersistence | 8 | 19.05% | 0 | 0.00% | 0 | 0.00% | 1 | 19.05%
MixedStructure | 3 | CompressionProcessing | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 1 | 0.00%
MixedStructure | 3 | NeutralProcessing | 3 | 7.14% | 0 | 0.00% | 0 | 0.00% | 1 | 7.14%
MixedStructure | 3 | ReassertionProcessing | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 1 | 0.00%
MixedStructure | 3 | DecayToNeutral | 17 | 40.48% | 0 | 0.00% | 1 | 25.00% | 1 | 40.48%
MixedStructure | 3 | DestructiveRotation | 1 | 2.38% | 0 | 0.00% | 1 | 25.00% | 1 | 2.38%
MixedStructure | 3 | ConstructiveEmergence | 0 | 0.00% | 2 | 40.00% | 0 | 0.00% | 1 | 0.00%
MixedStructure | 3 | MixedStructure | 8 | 19.05% | 2 | 40.00% | 2 | 50.00% | 1 | 19.05%
MixedStructure | 4 | RecoveryResolution | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 0 | 0.00%
MixedStructure | 4 | ExhaustionPersistence | 2 | 25.00% | 0 | 0.00% | 0 | 0.00% | 0 | 0.00%
MixedStructure | 4 | CompressionProcessing | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 0 | 0.00%
MixedStructure | 4 | NeutralProcessing | 2 | 25.00% | 2 | 100.00% | 1 | 50.00% | 0 | 0.00%
MixedStructure | 4 | ReassertionProcessing | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 0 | 0.00%
MixedStructure | 4 | DecayToNeutral | 3 | 37.50% | 0 | 0.00% | 0 | 0.00% | 0 | 0.00%
MixedStructure | 4 | DestructiveRotation | 0 | 0.00% | 0 | 0.00% | 1 | 50.00% | 0 | 0.00%
MixedStructure | 4 | ConstructiveEmergence | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 0 | 0.00%
MixedStructure | 4 | MixedStructure | 1 | 12.50% | 0 | 0.00% | 0 | 0.00% | 0 | 0.00%
MixedStructure | 5 | RecoveryResolution | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
MixedStructure | 5 | ExhaustionPersistence | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
MixedStructure | 5 | CompressionProcessing | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
MixedStructure | 5 | NeutralProcessing | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
MixedStructure | 5 | ReassertionProcessing | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
MixedStructure | 5 | DecayToNeutral | 1 | 100.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
MixedStructure | 5 | DestructiveRotation | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
MixedStructure | 5 | ConstructiveEmergence | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
MixedStructure | 5 | MixedStructure | 0 | 0.00% | 0 | N/A | 0 | N/A | 0 | 0.00%
NeutralProcessing | 1 | RecoveryResolution | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 3 | 0.00%
NeutralProcessing | 1 | ExhaustionPersistence | 0 | 0.00% | 0 | 0.00% | 0 | 0.00% | 3 | 0.00%
NeutralProcessing | 1 | CompressionProcessing | 835 | 14.72% | 45 | 10.11% | 21 | 7.07% | 3 | 10.63%
NeutralProcessing | 1 | NeutralProcessing | 3205 | 56.51% | 253 | 56.85% | 175 | 58.92% | 3 | 57.43%
