APVA Interpretation Arbitration Study v0.1 - Aggregate
Research only. Fixed low-degree-of-freedom arbitration with past-only structural reliability scoring.
Instruments: 6E, CL, NQ

Aggregate Reliability Table
InterpretationType | InterpretationKey | Count_6E | Persist_6E | Entropy_6E | DominantProb_6E | Score_6E | Count_CL | Persist_CL | Entropy_CL | DominantProb_CL | Score_CL | Count_NQ | Persist_NQ | Entropy_NQ | DominantProb_NQ | Score_NQ | ValidInstrumentCount | MeanPersistence | MeanEntropy | MeanDominantProbability | MeanScore
CurrentStateAge | RecoveryResolution+Age2 | 339 | 74.04% | 0.5726 | 74.04% | 0.6547 | 38 | 71.05% | 0.6017 | 71.05% | 0.5530 | 13 | 69.23% | 0.6172 | 69.23% | 0.4941 | 3 | 71.44% | 0.5972 | 71.44% | 0.5673
CurrentStateAge | RecoveryResolution+Age3 | 251 | 6.37% | 0.9486 | 68.92% | 0.0687 | 27 | 3.70% | 1.0085 | 62.96% | -0.0608 | 9 | 0.00% | 0.5297 | 77.78% | 0.0000 | 2 | 5.04% | 0.9786 | 65.94% | 0.0039
PreviousDistinctContext | CompressionProcessing->DecayToNeutral+Age1 | 109 | 0.00% | 1.1687 | 51.38% | -0.2124 | 4 | 0.00% | 0.5623 | 75.00% | 0.0000 | 7 | 0.00% | 1.2770 | 42.86% | 0.0000 | 1 | 0.00% | 1.1687 | 51.38% | -0.2124
PreviousDistinctContext | CompressionProcessing->DestructiveRotation+Age1 | 52 | 15.38% | 1.7158 | 38.46% | -0.2867 | 2 | 0.00% | 0.6931 | 50.00% | 0.0000 | 3 | 0.00% | 0.6365 | 66.67% | 0.0000 | 1 | 15.38% | 1.7158 | 38.46% | -0.2867
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age1 | 433 | 29.56% | 1.5370 | 30.95% | -0.2527 | 35 | 31.43% | 1.4883 | 31.43% | -0.2962 | 9 | 11.11% | 1.5230 | 33.33% | 0.0000 | 2 | 30.49% | 1.5127 | 31.19% | -0.2744
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age2 | 128 | 73.44% | 0.5789 | 73.44% | 0.6336 | 11 | 81.82% | 0.4741 | 81.82% | 0.9523 | 1 | 100.00% | -0.0000 | 100.00% | 0.0000 | 2 | 77.63% | 0.5265 | 77.63% | 0.7930
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age3 | 94 | 63.83% | 0.8229 | 63.83% | 0.5275 | 9 | 77.78% | 0.5297 | 77.78% | 0.0000 | 1 | 100.00% | -0.0000 | 100.00% | 0.0000 | 1 | 63.83% | 0.8229 | 63.83% | 0.5275
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age4 | 60 | 46.67% | 1.4688 | 46.67% | 0.1136 | 7 | 57.14% | 1.1537 | 57.14% | 0.0000 | 1 | 100.00% | -0.0000 | 100.00% | 0.0000 | 1 | 46.67% | 1.4688 | 46.67% | 0.1136
PreviousDistinctContext | CompressionProcessing->MixedStructure+Age1 | 115 | 9.57% | 1.7446 | 30.43% | -0.4390 | 7 | 28.57% | 1.2770 | 42.86% | 0.0000 | 5 | 20.00% | 1.3322 | 40.00% | 0.0000 | 1 | 9.57% | 1.7446 | 30.43% | -0.4390
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age1 | 1898 | 55.48% | 1.1485 | 55.48% | 0.4686 | 107 | 54.21% | 1.2272 | 54.21% | 0.3992 | 53 | 60.38% | 1.1397 | 60.38% | 0.4994 | 3 | 56.69% | 1.1718 | 56.69% | 0.4557
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age11-20 | 322 | 78.26% | 0.7915 | 78.26% | 1.1235 | 15 | 73.33% | 0.7299 | 73.33% | 0.8023 | 13 | 61.54% | 1.0318 | 61.54% | 0.4865 | 3 | 71.04% | 0.8510 | 71.04% | 0.8041
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age2 | 1053 | 53.37% | 1.1882 | 53.37% | 0.4043 | 58 | 56.90% | 1.0984 | 56.90% | 0.3456 | 32 | 75.00% | 0.8762 | 75.00% | 0.9556 | 3 | 61.76% | 1.0543 | 61.76% | 0.5685
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age3 | 562 | 80.43% | 0.6950 | 80.43% | 1.1072 | 33 | 87.88% | 0.4534 | 87.88% | 1.3449 | 24 | 83.33% | 0.5661 | 83.33% | 1.1514 | 3 | 83.88% | 0.5715 | 83.88% | 1.2012
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age4 | 452 | 88.72% | 0.5264 | 88.72% | 1.4805 | 29 | 89.66% | 0.4462 | 89.66% | 1.4712 | 20 | 100.00% | -0.0000 | 100.00% | 2.0000 | 3 | 92.79% | 0.3242 | 92.79% | 1.6506
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age5 | 401 | 80.55% | 0.7817 | 80.55% | 1.2093 | 26 | 73.08% | 0.8398 | 73.08% | 0.8558 | 20 | 95.00% | 0.1985 | 95.00% | 1.6136 | 3 | 82.88% | 0.6067 | 82.88% | 1.2262
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age6-10 | 966 | 74.53% | 0.9200 | 74.53% | 1.0179 | 58 | 74.14% | 0.8745 | 74.14% | 0.9394 | 63 | 77.78% | 0.8256 | 77.78% | 1.0948 | 3 | 75.48% | 0.8734 | 75.48% | 1.0174
PreviousDistinctContext | CompressionProcessing->RecoveryResolution+Age1 | 285 | 0.00% | 0.2805 | 91.93% | 0.5147 | 19 | 0.00% | 0.3365 | 89.47% | 0.4093 | 10 | 0.00% | 0.5004 | 80.00% | 0.0781 | 3 | 0.00% | 0.3725 | 87.13% | 0.3340
PreviousDistinctContext | ConstructiveEmergence->MixedStructure+Age1 | 39 | 20.51% | 1.6498 | 35.90% | -0.2837 | 5 | 20.00% | 0.9503 | 60.00% | 0.0000 | 9 | 33.33% | 1.3108 | 33.33% | 0.0000 | 1 | 20.51% | 1.6498 | 35.90% | -0.2837
PreviousDistinctContext | DecayToNeutral->CompressionProcessing+Age1 | 100 | 100.00% | -0.0000 | 100.00% | 2.0000 | 2 | 100.00% | -0.0000 | 100.00% | 0.0000 | 1 | 100.00% | -0.0000 | 100.00% | 0.0000 | 1 | 100.00% | 0.0000 | 100.00% | 2.0000
PreviousDistinctContext | DecayToNeutral->CompressionProcessing+Age2 | 100 | 63.00% | 0.9442 | 63.00% | 0.5789 | 2 | 100.00% | -0.0000 | 100.00% | 0.0000 | 1 | 100.00% | -0.0000 | 100.00% | 0.0000 | 1 | 63.00% | 0.9442 | 63.00% | 0.5789
PreviousDistinctContext | DecayToNeutral->CompressionProcessing+Age3 | 63 | 68.25% | 0.9457 | 68.25% | 0.6829 | 2 | 100.00% | -0.0000 | 100.00% | 0.0000 | 1 | 0.00% | -0.0000 | 100.00% | 0.0000 | 1 | 68.25% | 0.9457 | 68.25% | 0.6829
PreviousDistinctContext | DecayToNeutral->DestructiveRotation+Age1 | 127 | 13.39% | 1.1970 | 62.20% | 0.0878 | 11 | 36.36% | 0.9165 | 54.55% | 0.0749 | 6 | 0.00% | 1.0114 | 50.00% | 0.0000 | 2 | 24.87% | 1.0567 | 58.38% | 0.0814
PreviousDistinctContext | DecayToNeutral->MixedStructure+Age1 | 422 | 24.88% | 1.5157 | 46.21% | -0.0180 | 26 | 11.54% | 1.6500 | 42.31% | -0.2550 | 21 | 23.81% | 1.4328 | 47.62% | -0.0854 | 3 | 20.08% | 1.5329 | 45.38% | -0.1195
PreviousDistinctContext | DecayToNeutral->MixedStructure+Age2 | 105 | 12.38% | 1.7689 | 27.62% | -0.5091 | 3 | 0.00% | 1.0986 | 33.33% | 0.0000 | 5 | 20.00% | 1.3322 | 40.00% | 0.0000 | 1 | 12.38% | 1.7689 | 27.62% | -0.5091
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age1 | 811 | 53.14% | 1.2651 | 53.14% | 0.3568 | 63 | 47.62% | 1.2461 | 47.62% | 0.2569 | 57 | 64.91% | 0.9925 | 64.91% | 0.6816 | 3 | 55.23% | 1.1679 | 55.23% | 0.4318
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age11-20 | 94 | 72.34% | 0.9546 | 72.34% | 0.9140 | 1 | 0.00% | -0.0000 | 100.00% | 0.0000 | 0 | N/A | N/A | N/A | N/A | 1 | 72.34% | 0.9546 | 72.34% | 0.9140
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age2 | 431 | 54.06% | 1.0959 | 54.06% | 0.4003 | 30 | 50.00% | 1.0070 | 50.00% | 0.2736 | 37 | 62.16% | 0.8896 | 62.16% | 0.4335 | 3 | 55.41% | 0.9975 | 55.41% | 0.3691
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age3 | 233 | 100.00% | -0.0000 | 100.00% | 2.0000 | 15 | 100.00% | -0.0000 | 100.00% | 2.0000 | 23 | 100.00% | -0.0000 | 100.00% | 2.0000 | 3 | 100.00% | 0.0000 | 100.00% | 2.0000
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age4 | 233 | 86.27% | 0.6153 | 86.27% | 1.3819 | 15 | 80.00% | 0.6277 | 80.00% | 1.0286 | 23 | 86.96% | 0.5305 | 86.96% | 1.3564 | 3 | 84.41% | 0.5912 | 84.41% | 1.2557
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age5 | 201 | 76.62% | 0.8717 | 76.62% | 1.0459 | 12 | 91.67% | 0.2868 | 91.67% | 1.4195 | 20 | 70.00% | 0.9143 | 70.00% | 0.7405 | 3 | 79.43% | 0.6909 | 79.43% | 1.0686
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age6-10 | 429 | 70.63% | 1.0044 | 70.63% | 0.8520 | 25 | 60.00% | 1.0322 | 60.00% | 0.4554 | 31 | 54.84% | 1.1420 | 54.84% | 0.2730 | 3 | 61.82% | 1.0595 | 61.82% | 0.5268
PreviousDistinctContext | DestructiveRotation->DecayToNeutral+Age1 | 302 | 0.00% | 1.2661 | 52.65% | -0.1801 | 24 | 0.00% | 0.9798 | 62.50% | -0.0818 | 23 | 0.00% | 0.8003 | 73.91% | 0.1618 | 3 | 0.00% | 1.0154 | 63.02% | -0.0334
PreviousDistinctContext | DestructiveRotation->ExhaustionPersistence+Age1 | 110 | 23.64% | 1.5113 | 33.64% | -0.3663 | 8 | 87.50% | 0.3768 | 87.50% | 0.0000 | 10 | 50.00% | 1.1683 | 50.00% | 0.1573 | 2 | 36.82% | 1.3398 | 41.82% | -0.1045
PreviousDistinctContext | DestructiveRotation->MixedStructure+Age1 | 47 | 10.64% | 1.7799 | 25.53% | -0.4942 | 1 | 0.00% | -0.0000 | 100.00% | 0.0000 | 3 | 0.00% | 1.0986 | 33.33% | 0.0000 | 1 | 10.64% | 1.7799 | 25.53% | -0.4942
PreviousDistinctContext | DestructiveRotation->NeutralProcessing+Age1 | 240 | 54.58% | 1.2886 | 54.58% | 0.3725 | 27 | 51.85% | 1.1059 | 51.85% | 0.2393 | 17 | 52.94% | 1.1151 | 52.94% | 0.2545 | 3 | 53.13% | 1.1699 | 53.13% | 0.2887
PreviousDistinctContext | DestructiveRotation->NeutralProcessing+Age2 | 131 | 52.67% | 1.1780 | 52.67% | 0.3960 | 14 | 50.00% | 1.0346 | 50.00% | 0.0583 | 9 | 55.56% | 0.9369 | 55.56% | 0.0000 | 2 | 51.34% | 1.1063 | 51.34% | 0.2271
PreviousDistinctContext | DestructiveRotation->NeutralProcessing+Age3 | 69 | 76.81% | 0.7675 | 76.81% | 0.9826 | 7 | 42.86% | 1.0042 | 42.86% | 0.0000 | 5 | 60.00% | 0.9503 | 60.00% | 0.0000 | 1 | 76.81% | 0.7675 | 76.81% | 0.9826
PreviousDistinctContext | DestructiveRotation->NeutralProcessing+Age4 | 53 | 90.57% | 0.3597 | 90.57% | 1.4839 | 3 | 100.00% | -0.0000 | 100.00% | 0.0000 | 3 | 100.00% | -0.0000 | 100.00% | 0.0000 | 1 | 90.57% | 0.3597 | 90.57% | 1.4839
PreviousDistinctContext | DestructiveRotation->NeutralProcessing+Age5 | 48 | 77.08% | 0.8349 | 77.08% | 1.0757 | 3 | 66.67% | 0.6365 | 66.67% | 0.0000 | 3 | 100.00% | -0.0000 | 100.00% | 0.0000 | 1 | 77.08% | 0.8349 | 77.08% | 1.0757
PreviousDistinctContext | DestructiveRotation->NeutralProcessing+Age6-10 | 104 | 70.19% | 1.0278 | 70.19% | 0.8302 | 4 | 50.00% | 1.0397 | 50.00% | 0.0000 | 4 | 25.00% | 1.3863 | 25.00% | 0.0000 | 1 | 70.19% | 1.0278 | 70.19% | 0.8302
PreviousDistinctContext | DestructiveRotation->ReassertionProcessing+Age1 | 57 | 10.53% | 1.1500 | 54.39% | -0.1805 | 3 | 0.00% | -0.0000 | 100.00% | 0.0000 | 5 | 20.00% | 1.0549 | 40.00% | 0.0000 | 1 | 10.53% | 1.1500 | 54.39% | -0.1805
PreviousDistinctContext | DestructiveRotation->RecoveryResolution+Age1 | 49 | 0.00% | 0.4101 | 85.71% | 0.2655 | 5 | 0.00% | 0.6730 | 60.00% | 0.0000 | 3 | 0.00% | -0.0000 | 100.00% | 0.0000 | 1 | 0.00% | 0.4101 | 85.71% | 0.2655
PreviousDistinctContext | ExhaustionPersistence->CompressionProcessing+Age1 | 167 | 44.91% | 1.1715 | 44.91% | 0.2444 | 9 | 44.44% | 0.6870 | 55.56% | 0.0000 | 5 | 40.00% | 1.3322 | 40.00% | 0.0000 | 1 | 44.91% | 1.1715 | 44.91% | 0.2444
PreviousDistinctContext | ExhaustionPersistence->CompressionProcessing+Age2 | 75 | 42.67% | 1.5299 | 42.67% | -0.0005 | 4 | 0.00% | 1.0397 | 50.00% | 0.0000 | 2 | 100.00% | -0.0000 | 100.00% | 0.0000 | 1 | 42.67% | 1.5299 | 42.67% | -0.0005
PreviousDistinctContext | ExhaustionPersistence->DecayToNeutral+Age1 | 275 | 0.00% | 1.0302 | 56.73% | -0.0729 | 20 | 0.00% | 1.0127 | 50.00% | -0.2305 | 12 | 0.00% | 0.6365 | 66.67% | -0.2516 | 3 | 0.00% | 0.8931 | 57.80% | -0.1850
PreviousDistinctContext | ExhaustionPersistence->DestructiveRotation+Age1 | 59 | 23.73% | 1.0270 | 62.71% | 0.2263 | 5 | 20.00% | 0.9503 | 60.00% | 0.0000 | 8 | 25.00% | 0.9003 | 62.50% | 0.0000 | 1 | 23.73% | 1.0270 | 62.71% | 0.2263
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age1 | 275 | 49.09% | 0.9792 | 49.09% | 0.2755 | 24 | 66.67% | 0.7621 | 66.67% | 0.6396 | 11 | 54.55% | 0.9165 | 54.55% | 0.2567 | 3 | 56.77% | 0.8859 | 56.77% | 0.3906
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age2 | 135 | 60.74% | 1.0949 | 60.74% | 0.5345 | 16 | 56.25% | 0.9841 | 56.25% | 0.2292 | 6 | 50.00% | 1.0114 | 50.00% | 0.0000 | 2 | 58.50% | 1.0395 | 58.50% | 0.3819
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age3 | 82 | 71.95% | 0.6436 | 71.95% | 0.8532 | 9 | 88.89% | 0.3488 | 88.89% | 0.0000 | 3 | 100.00% | -0.0000 | 100.00% | 0.0000 | 1 | 71.95% | 0.6436 | 71.95% | 0.8532
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age4 | 59 | 88.14% | 0.5157 | 88.14% | 1.4423 | 8 | 75.00% | 0.7356 | 75.00% | 0.0000 | 3 | 100.00% | -0.0000 | 100.00% | 0.0000 | 1 | 88.14% | 0.5157 | 88.14% | 1.4423
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age5 | 52 | 84.62% | 0.6859 | 84.62% | 1.3398 | 6 | 66.67% | 0.8676 | 66.67% | 0.0000 | 3 | 100.00% | -0.0000 | 100.00% | 0.0000 | 1 | 84.62% | 0.6859 | 84.62% | 1.3398
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age6-10 | 134 | 75.37% | 0.8861 | 75.37% | 1.0521 | 16 | 81.25% | 0.6886 | 81.25% | 1.1283 | 6 | 50.00% | 1.0114 | 50.00% | 0.0000 | 2 | 78.31% | 0.7873 | 78.31% | 1.0902
PreviousDistinctContext | ExhaustionPersistence->RecoveryResolution+Age1 | 340 | 99.71% | 0.0201 | 99.71% | 1.9651 | 39 | 97.44% | 0.1192 | 97.44% | 1.7767 | 15 | 86.67% | 0.3927 | 86.67% | 1.1668 | 3 | 94.60% | 0.1773 | 94.60% | 1.6362
PreviousDistinctContext | ExhaustionPersistence->RecoveryResolution+Age2 | 339 | 74.04% | 0.5726 | 74.04% | 0.6547 | 38 | 71.05% | 0.6017 | 71.05% | 0.5530 | 13 | 69.23% | 0.6172 | 69.23% | 0.4941 | 3 | 71.44% | 0.5972 | 71.44% | 0.5673
PreviousDistinctContext | ExhaustionPersistence->RecoveryResolution+Age3 | 251 | 6.37% | 0.9486 | 68.92% | 0.0687 | 27 | 3.70% | 1.0085 | 62.96% | -0.0608 | 9 | 0.00% | 0.5297 | 77.78% | 0.0000 | 2 | 5.04% | 0.9786 | 65.94% | 0.0039
PreviousDistinctContext | MixedStructure->CompressionProcessing+Age1 | 98 | 83.67% | 0.4450 | 83.67% | 1.0314 | 6 | 83.33% | 0.4506 | 83.33% | 0.0000 | 4 | 50.00% | 0.6931 | 50.00% | 0.0000 | 1 | 83.67% | 0.4450 | 83.67% | 1.0314
PreviousDistinctContext | MixedStructure->CompressionProcessing+Age2 | 82 | 63.41% | 0.7632 | 63.41% | 0.7177 | 5 | 80.00% | 0.5004 | 80.00% | 0.0000 | 2 | 100.00% | -0.0000 | 100.00% | 0.0000 | 1 | 63.41% | 0.7632 | 63.41% | 0.7177
PreviousDistinctContext | MixedStructure->CompressionProcessing+Age3 | 52 | 53.85% | 1.0906 | 53.85% | 0.2902 | 4 | 50.00% | 0.6931 | 50.00% | 0.0000 | 2 | 0.00% | 0.6931 | 50.00% | 0.0000 | 1 | 53.85% | 1.0906 | 53.85% | 0.2902
PreviousDistinctContext | MixedStructure->DecayToNeutral+Age1 | 789 | 0.00% | 0.9335 | 54.75% | -0.0325 | 52 | 0.00% | 0.7193 | 65.38% | -0.0009 | 43 | 0.00% | 0.6467 | 65.12% | -0.2819 | 3 | 0.00% | 0.7665 | 61.75% | -0.1051
PreviousDistinctContext | MixedStructure->DestructiveRotation+Age1 | 70 | 27.14% | 1.3521 | 34.29% | -0.2259 | 3 | 33.33% | 1.0986 | 33.33% | 0.0000 | 5 | 60.00% | 0.9503 | 60.00% | 0.0000 | 1 | 27.14% | 1.3521 | 34.29% | -0.2259
PreviousDistinctContext | MixedStructure->ExhaustionPersistence+Age1 | 452 | 25.00% | 1.5100 | 30.31% | -0.3851 | 42 | 23.81% | 1.3623 | 35.71% | -0.2512 | 24 | 33.33% | 1.5313 | 33.33% | -0.2848 | 3 | 27.38% | 1.4679 | 33.12% | -0.3070
